lens,seed,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_concurrent_risk_ratio,liquidations
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,is,lev_2,2.0,0.018974465928674727,0.46774193548387094,0.07786591164135201,62,0.20353982300884957,0.1693548387096774,2.9207309792294494,2,0.02,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,is,lev_3,3.0,0.010802399304925712,0.46774193548387094,0.08204320363727301,62,0.20353982300884957,0.1693548387096774,1.8797820696837229,2,0.02,0.0
baseline,0,BTC/USDT:USDT,1h,oos,single,1.0,0.08230160590746054,0.4864864864864865,0.05197145781825852,74,0.45652173913043476,0.21621621621621623,9.606781454310514,1,,
baseline,0,BTC/USDT:USDT,1h,oos,lev_1,1.0,0.04568533008242266,0.4625,0.061870031624930356,80,0.45652173913043476,0.15625,5.28956623143382,3,0.02047562663350586,0.0
baseline,0,BTC/USDT:USDT,1h,oos,lev_2,2.0,0.02719677935638174,0.4625,0.094189287278692,80,0.45652173913043476,0.15625,3.1565430555270315,3,0.026516355842130405,0.0
baseline,0,BTC/USDT:USDT,1h,oos,lev_3,3.0,0.016585621833503136,0.4625,0.10336347479569903,80,0.45652173913043476,0.15625,2.1128735294687058,3,0.030000000000000002,0.0
pen_5bp,0,BTC/USDT:USDT,1h,oos,single,1.0,0.033652867421132035,0.45714285714285713,0.06869231120186357,70,0.41739130434782606,0.14285714285714285,4.543475165079568,1,,
pen_5bp,0,BTC/USDT:USDT,1h,oos,lev_1,1.0,-0.010178748210739287,0.4266666666666667,0.09862902106512529,75,0.41739130434782606,0.06666666666666667,-0.6721095361577579,3,0.020475626633505866,0.0
pen_5bp,0,BTC/USDT:USDT,1h,oos,lev_2,2.0,-0.0365634849617396,0.4266666666666667,0.13138133315330922,75,0.41739130434782606,0.06666666666666667,-3.318748215194707,3,0.026516355842130405,0.0
pen_5bp,0,BTC/USDT:USDT,1h,oos,lev_3,3.0,-0.049880384975678135,0.4266666666666667,0.14017883402022227,75,0.41739130434782606,0.06666666666666667,-4.550684651100657,3,0.030000000000000002,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,oos,single,1.0,0.04329671184351028,0.4897959183673469,0.06536903265877445,49,0.26521739130434785,0.22448979591836735,7.928995376529847,1,,
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,oos,lev_1,1.0,0.01743246185051539,0.46153846153846156,0.07884153319347512,52,0.26521739130434785,0.15384615384615385,3.3694273129380887,2,0.019999999999999997,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,oos,lev_2,2.0,0.011999203774686976,0.46153846153846156,0.09192547391942504,52,0.26521739130434785,0.15384615384615385,2.3231354280700005,2,0.02,0.0
