scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,False,oos,48,12,11808,0.4032012195121951,-0.9999339237218196,-0.1368340666921077,0.999942156760606,12,0,0,555,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,True,full,48,12,42095,0.4063665518470127,-0.9999999999999518,-0.1026528168012858,0.999999999999969,17,0,0,2494,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,True,is,48,12,29318,0.4087932328262501,-0.9999999962719966,-0.0910862680740764,0.9999999971746408,17,0,0,1992,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,True,oos_warm,48,12,12777,0.4007983094623151,-0.999987120714974,-0.1291933251823077,0.9999913026401508,13,0,0,502,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,True,oos,48,12,12465,0.3987164059366225,-0.9999893878337708,-0.135384785755105,0.9999917216581322,13,0,0,501,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,False,full,48,12,35606,0.4128517665561984,-0.999999999558834,-0.0860676701827127,0.9999999998051672,17,0,0,2173,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,False,is,48,12,24466,0.4167824736368838,-0.9999965341084788,-0.0707063948534501,0.9999983056063132,17,0,0,1728,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,False,oos_warm,48,12,11140,0.4042190305206463,-0.9998727118024276,-0.1198045608654558,0.9999051703897008,12,0,0,445,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.003,False,oos,48,12,10911,0.4035377142333425,-0.9998666442359526,-0.1223607698019589,0.9998846459003377,12,0,0,444,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,True,full,48,12,36628,0.4059735721306104,-0.9999999999967824,-0.0854768577902204,0.9999999999984064,17,0,0,1986,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,True,is,48,12,25920,0.4081018518518518,-0.999999959064348,-0.0762632582442442,0.999999974292246,17,0,0,1628,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,True,oos_warm,48,12,10707,0.4007658541141309,-0.9999213993673652,-0.1079268015453405,0.9999496244366534,13,0,0,358,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,True,oos,48,12,10414,0.3985980410985212,-0.9999345241389154,-0.1140739481520206,0.9999517315312892,13,0,0,358,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,False,full,48,12,31074,0.4124991954688807,-0.9999999878540284,-0.0693530463996295,0.999999995682638,17,0,0,1730,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,False,is,48,12,21706,0.4161522159771492,-0.9999790334579568,-0.0563175649386052,0.9999911553971031,17,0,0,1421,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,False,oos_warm,48,12,9368,0.4039282664389411,-0.999416341824076,-0.0998316404990977,0.9995840890053372,12,0,0,309,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.004,False,oos,48,12,9152,0.4034090909090909,-0.9993911744403652,-0.1017670631109882,0.9995038954630918,12,0,0,309,False
15m+1h+2h+4h,bollinger,1.55,1.55,0.0,True,full,48,12,48932,0.4076882203874765,-0.9999999999999992,-0.2610096378923456,0.9999999999999992,17,0,0,3735,False
15m+1h+2h+4h,bollinger,1.55,1.55,0.0,True,is,48,12,32935,0.4103537270381053,-0.999999999393161,-0.2378546397480134,0.9999999994834048,17,0,0,2622,False
15m+1h+2h+4h,bollinger,1.55,1.55,0.0,True,oos_warm,48,12,15996,0.4022255563890973,-0.9999985013616493,-0.3086281687336836,0.9999987170125656,13,0,0,1113,False
