window_index,symbol,timeframe,variant,is_start_time,is_end_time,oos_start_time,oos_end_time,is_num_bars,oos_num_bars,is_total_return,is_max_drawdown,is_win_rate,is_profit_factor,is_sharpe,is_num_trades,is_avg_trade_return,is_fill_rate,is_num_penetrations,oos_total_return,oos_max_drawdown,oos_win_rate,oos_profit_factor,oos_sharpe,oos_num_trades,oos_avg_trade_return,oos_fill_rate,oos_num_penetrations,return_gap,profit_factor_gap
5,BTC/USDT:USDT,1h,A,1728712800000,1760266800000,1760270400000,1768158000000,8766,2192,-0.06547130501878073,0.0728173472526275,0.5,0.6841571522892168,-12.18825442701699,40,-0.0015814316775237141,,,0.012680046955449506,0.022549919059042092,0.5,1.3457920841710618,10.494030011593372,12,0.0011082481273630817,,,-0.07815135197423025,-0.661634931881845
5,BTC/USDT:USDT,1h,B,1728712800000,1760266800000,1760270400000,1768158000000,8766,2192,-0.016109951547743365,0.1296949404627372,0.3728813559322034,0.9556530143753342,-1.0213007793910203,59,-0.00016475432797403064,0.2926829268292683,0.0,0.027813561993131043,0.0357865581664565,0.47058823529411764,1.387900525570085,11.192149076006885,17,0.0017103317391285084,0.3469387755102041,0.0,-0.04392351354087441,-0.4322475111947507
6,BTC/USDT:USDT,1h,A,1736604000000,1768158000000,1768161600000,1776049200000,8766,2192,-0.0621644380685937,0.08895273631433774,0.4782608695652174,0.7002884206180712,-12.00942898137663,46,-0.0013507778413532833,,,-0.07199270925977871,0.07965635721496288,0.42857142857142855,0.4133919833710083,-32.65043366776247,14,-0.005158816190679334,,,0.009828271191185012,0.2868964372470629
6,BTC/USDT:USDT,1h,B,1736604000000,1768158000000,1768161600000,1776049200000,8766,2192,-0.0632713618073094,0.1130232399616454,0.35384615384615387,0.8160371035823891,-6.748680177416718,65,-0.000924754482016957,0.3251231527093596,0.0,-0.02352522021040859,0.05227375649851836,0.5294117647058824,0.8009209001640344,-8.142760344903293,17,-0.00129533755615644,0.32075471698113206,0.0,-0.039746141596900805,0.015116203418354734
0,BTC/USDT:USDT,15m,A,1689257700000,1720814400000,1720815300000,1728703800000,35064,8766,-0.19302349010398648,0.22514644443234458,0.47183098591549294,0.6141774676745131,-31.38376298326923,142,-0.001470841935305179,,,-0.11291119752385112,0.11885216608023202,0.3333333333333333,0.4122014476232587,-55.08758220719545,48,-0.0025622552981509603,,,-0.08011229258013536,0.20197602005125437
0,BTC/USDT:USDT,15m,B,1689257700000,1720814400000,1720815300000,1728703800000,35064,8766,-0.05613763815681159,0.1841967477761229,0.423963133640553,0.9265685631323562,-4.89570004571025,217,-0.00022849459792115425,0.28703703703703703,1.0,-0.03689152868085803,0.09982337148161745,0.44871794871794873,0.8696309904018428,-9.795830588224403,78,-0.00044603310266918037,0.3466666666666667,0.0,-0.01924610947595356,0.056937572730513475
1,BTC/USDT:USDT,15m,A,1697147100000,1728703800000,1728704700000,1736593200000,35064,8766,-0.26048822176234143,0.30441114071811287,0.4294478527607362,0.5674739963296143,-37.87515323853148,163,-0.0018704985238760692,,,-0.052326797777291725,0.05450560595945179,0.5128205128205128,0.6180348370760651,-33.77418915986423,39,-0.0013544548577164698,,,-0.20816142398504972,-0.05056084074645084
1,BTC/USDT:USDT,15m,B,1697147100000,1728703800000,1728704700000,1736593200000,35064,8766,-0.11550073285671787,0.20611398112338405,0.41732283464566927,0.8742811552101393,-9.19249899848942,254,-0.0004428451352183142,0.3182957393483709,0.0,-0.07138400020323352,0.11412032321437678,0.37735849056603776,0.656116464595145,-34.48253543929369,53,-0.0013693342094705451,0.2676767676767677,0.0,-0.044116732653484356,0.21816469061499422
2,BTC/USDT:USDT,15m,A,1705036500000,1736593200000,1736594100000,1744482600000,35064,8766,-0.23299469673129405,0.24072307641726085,0.44886363636363635,0.5806446892586302,-38.189873675526734,176,-0.0016693444517525307,,,0.021086469502875297,0.03918087967651186,0.49056603773584906,1.1537990154518203,11.157242298536202,53,0.0004336635407746054,,,-0.2540811662341694,-0.5731543261931901
2,BTC/USDT:USDT,15m,B,1705036500000,1736593200000,1736594100000,1744482600000,35064,8766,-0.17500795104766695,0.22485469135006353,0.41064638783269963,0.8200073589899727,-14.495165988024437,263,-0.0006917120435920078,0.3234932349323493,0.0,0.04428749092841608,0.09477629675546322,0.4375,1.1482239182331562,11.293071435671758,80,0.0005886313831210555,0.39408866995073893,0.0,-0.21929544197608303,-0.3282165592431835
3,BTC/USDT:USDT,15m,A,1712925900000,1744482600000,1744483500000,1752372000000,35064,8766,-0.25598182815675374,0.29465494507771056,0.435,0.5958928991600434,-33.72961677503854,200,-0.0014225124143704528,,,-0.0952345208430157,0.09814089796112005,0.3617021276595745,0.31749227687260384,-73.26100189496472,47,-0.002025069840454819,,,-0.16074730731373804,0.27840062228743956
3,BTC/USDT:USDT,15m,B,1712925900000,1744482600000,1744483500000,1752372000000,35064,8766,-0.1823239569508154,0.21949106416767372,0.4075342465753425,0.8156181169533928,-13.407414595159432,292,-0.0006484988995644607,0.34844868735083534,0.0,-0.09156654748928722,0.09706266905711242,0.3389830508474576,0.4712371698204123,-58.95636973983798,59,-0.0016134644506752699,0.3010204081632653,0.0,-0.09075740946152819,0.3443809471329805
4,BTC/USDT:USDT,15m,A,1720815300000,1752372000000,1752372900000,1760261400000,35064,8766,-0.20727550840385975,0.20727550840385975,0.421875,0.6142595900460727,-31.913250947329757,192,-0.001237791359518048,,,-0.12869941283192474,0.12869941283192474,0.3018867924528302,0.23648201545497494,-96.15004860475022,53,-0.002743695829029827,,,-0.07857609557193501,0.37777757459109773
4,BTC/USDT:USDT,15m,B,1720815300000,1752372000000,1752372900000,1760261400000,35064,8766,-0.17184379190661075,0.18197781977380553,0.4036363636363636,0.8163194628130346,-15.060893000428587,275,-0.0006527328496867611,0.33172496984318456,0.0,-0.1263421661318578,0.13203825893306276,0.2727272727272727,0.44141432259868807,-63.569991390819176,77,-0.0017396552831225902,0.37799043062200954,0.0,-0.045501625774752946,0.3749051402143465
5,BTC/USDT:USDT,15m,A,1728704700000,1760261400000,1760262300000,1768150800000,35064,8766,-0.23472224000168243,0.23635883091896046,0.40816326530612246,0.5817868231285168,-39.37833869899186,196,-0.0013488457100604564,,,-0.045778857139936915,0.05398651546684531,0.46875,0.5447843489846609,-46.01763007310704,32,-0.0016024072266618266,,,-0.1889433828617455,0.037002474143855935
5,BTC/USDT:USDT,15m,B,1728704700000,1760261400000,1760262300000,1768150800000,35064,8766,-0.24507413370650374,0.2808820628324792,0.3553113553113553,0.7187255715441274,-25.737483783104903,273,-0.001002862158324074,0.33908754623921084,0.0,0.04641077802404179,0.06028367702172342,0.45454545454545453,1.2798661858359925,19.71888859086105,55,0.0008575886052162373,0.270935960591133,1.0,-0.2914849117305455,-0.5611406142918651
6,BTC/USDT:USDT,15m,A,1736594100000,1768150800000,1768151700000,1776040200000,35064,8766,-0.22964933864050455,0.25148290129882284,0.39790575916230364,0.5651235679502364,-42.34581238630167,191,-0.001402307486049109,,,-0.14021174314216697,0.14051111194159457,0.32608695652173914,0.23065604600244163,-102.39412546311418,46,-0.0033980163732765306,,,-0.08943759549833757,0.33446752194779483
6,BTC/USDT:USDT,15m,B,1736594100000,1768150800000,1768151700000,1776040200000,35064,8766,-0.17808126198162808,0.2982124585371281,0.3669064748201439,0.7970010486450316,-16.85967147355852,278,-0.0006771418347241667,0.34146341463414637,1.0,-0.08473039693796564,0.09558766227115188,0.3389830508474576,0.6596263688079564,-30.35184719835698,59,-0.0014599062585936306,0.2955665024630542,0.0,-0.09335086504366244,0.1373746798370752
0,BTC/USDT:USDT,1d,A,1689292800000,1720742400000,1720828800000,1728604800000,365,91,0.04128775648089522,0.0,1.0,,,1,0.041287756480895284,,,0.0,0.0,0.0,,,0,,,,0.04128775648089522,
0,BTC/USDT:USDT,1d,B,1689292800000,1720742400000,1720828800000,1728604800000,365,91,-0.045236086043591424,0.07707067207946057,0.5,0.41305707056826063,-5.155737291610429,2,-0.021288844313437555,0.5,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,-0.045236086043591424,
1,BTC/USDT:USDT,1d,A,1697155200000,1728604800000,1728691200000,1736467200000,365,91,0.04123514803544622,0.0,1.0,,,1,0.04123514803544614,,,0.0,0.0,0.0,,,0,,,,0.04123514803544622,
1,BTC/USDT:USDT,1d,B,1697155200000,1728604800000,1728691200000,1736467200000,365,91,-0.04528926730690946,0.07707067207946057,0.5,0.41236703813590814,-5.165382679037248,2,-0.021317655437815764,0.3333333333333333,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,-0.04528926730690946,
2,BTC/USDT:USDT,1d,A,1705017600000,1736467200000,1736553600000,1744329600000,365,91,0.043735899210707974,0.0,1.0,,,1,0.04373589921070798,,,0.0,0.0,0.0,,,0,,,,0.043735899210707974,
2,BTC/USDT:USDT,1d,B,1705017600000,1736467200000,1736553600000,1744329600000,365,91,-0.04276128713931066,0.07707067207946057,0.5,0.44516784419339833,-4.717648982327214,2,-0.019948113864521836,0.2857142857142857,0.0,0.0,0.0,0.0,,,0,,,0.0,-0.04276128713931066,
3,BTC/USDT:USDT,1d,A,1712880000000,1744329600000,1744416000000,1752192000000,365,91,0.0543199891696775,0.0,1.0,,,1,0.05431998916967755,,,0.0,0.0,0.0,,,0,,,,0.0543199891696775,
3,BTC/USDT:USDT,1d,B,1712880000000,1744329600000,1744416000000,1752192000000,365,91,-0.07205962509473957,0.07205962509473957,0.0,0.0,,1,-0.0720596250947396,0.16666666666666666,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,-0.07205962509473957,
