barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
atr,ETH/USDT:USDT,1h,is,matched_random,10,125.0,99.0,0.0996834173532284,0.0874492361893733,0.4646464646464646
atr,ETH/USDT:USDT,1h,is,matched_random,11,125.0,103.0,-0.0888601193011812,0.2002022806067949,0.3980582524271844
atr,ETH/USDT:USDT,1h,is,matched_random,12,125.0,103.0,-0.1842616457569084,0.2555453777487983,0.3592233009708738
atr,ETH/USDT:USDT,1h,is,matched_random,13,125.0,97.0,0.12899121538181,0.1006480981119394,0.4845360824742268
atr,ETH/USDT:USDT,1h,is,matched_random,14,125.0,98.0,0.043326150644859,0.1177959273126647,0.4591836734693877
atr,ETH/USDT:USDT,1h,is,matched_random,15,125.0,102.0,0.1224806863076388,0.1044222334003182,0.4705882352941176
atr,ETH/USDT:USDT,1h,is,matched_random,16,125.0,93.0,0.1049174925277717,0.0545531489845278,0.4838709677419355
atr,ETH/USDT:USDT,1h,is,matched_random,17,125.0,97.0,-0.083600326525134,0.1408880753079343,0.4020618556701031
atr,ETH/USDT:USDT,1h,is,matched_random,18,125.0,101.0,0.1293644645822358,0.141998727706245,0.495049504950495
atr,ETH/USDT:USDT,1h,is,matched_random,19,125.0,97.0,-0.1034683443685478,0.1537069646762385,0.3814432989690721
atr,ETH/USDT:USDT,1h,is,matched_random,-1,125.0,98.1,-0.0013741161477069,0.1374935940053759,0.4316044004938444
zone,ETH/USDT:USDT,1h,oos,default,-1,205.0,109.0,0.4693311450005869,0.0456730159230223,0.6146788990825688
zone,ETH/USDT:USDT,1h,oos,filter_bot3,-1,81.0,59.0,0.4357742554110746,0.02161006197335,0.7457627118644068
zone,ETH/USDT:USDT,1h,oos,matched_random,0,81.0,58.0,0.3223317876343353,0.0391587575317119,0.6724137931034483
zone,ETH/USDT:USDT,1h,oos,matched_random,1,81.0,58.0,0.2124705957744492,0.0328652267644543,0.603448275862069
zone,ETH/USDT:USDT,1h,oos,matched_random,2,81.0,54.0,0.1362239422827464,0.0435334727433479,0.5925925925925926
zone,ETH/USDT:USDT,1h,oos,matched_random,3,81.0,58.0,0.1760931092775166,0.0323951008213506,0.5862068965517241
zone,ETH/USDT:USDT,1h,oos,matched_random,4,81.0,56.0,0.1199791159404636,0.062443557917966,0.5535714285714286
zone,ETH/USDT:USDT,1h,oos,matched_random,5,81.0,60.0,0.1834686251152212,0.0411259920420013,0.5833333333333334
