symbol,timeframe,segment,lens,unit,buffer,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,would_be_stopped,rescued_tp,deeper_sl,unclosed_eod,rescue_net_r
BTC/USDT:USDT,4h,oos,baseline,atr,0.0,25,20,15,0.8,0.0301715560438087,0.0467661419317679,0.5333333333333333,7.871352314692047,0.3333333333333331,8,7,0,0,0,0,0,0.0
BTC/USDT:USDT,4h,oos,baseline,atr,0.1,25,20,15,0.8,0.021306737167896,0.0486913145247982,0.5333333333333333,5.896678507735297,0.2444619586548025,8,7,0,7,0,7,0,-0.7330277269376726
BTC/USDT:USDT,4h,oos,baseline,atr,0.25,25,20,15,0.8,0.0326170220120215,0.0305585752014511,0.6,9.578548816754422,0.2896038203416651,9,6,0,7,1,6,0,0.953951125882639
BTC/USDT:USDT,4h,oos,baseline,atr,0.5,25,20,15,0.8,0.0144665702388492,0.0374530536039259,0.6,4.754537735416462,0.1620134072097548,9,6,0,7,1,6,0,-0.5920977482347745
BTC/USDT:USDT,4h,oos,pen_5bp,atr,0.0,25,16,13,0.64,0.0309502629834083,0.0395407056323266,0.5384615384615384,8.850623684797526,0.3461538461538467,7,6,0,0,0,0,0,0.0
BTC/USDT:USDT,4h,oos,pen_5bp,atr,0.1,25,16,13,0.64,0.0228613145776891,0.040746564647338,0.5384615384615384,6.9492803573820865,0.2666765829555484,7,6,0,6,0,6,0,-0.616493000292613
BTC/USDT:USDT,4h,oos,pen_5bp,atr,0.25,25,16,13,0.64,0.0353762292686396,0.0213400224317902,0.6153846153846154,11.633072990675064,0.3400601869699325,8,5,0,6,1,5,0,1.2452879424953085
BTC/USDT:USDT,4h,oos,pen_5bp,atr,0.5,25,16,13,0.64,0.0200753401054551,0.026578321145185,0.6153846153846154,7.402712153799505,0.2125636859153566,8,5,0,6,1,5,0,-0.0094241150094356
ETH/USDT:USDT,4h,full,baseline,atr,0.0,120,84,68,0.7,0.367972332430133,0.0471152411781898,0.6176470588235294,18.144179414812896,0.544117647058823,42,26,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,full,baseline,atr,0.1,120,84,72,0.7,0.2934906142390091,0.0495034980927202,0.6388888888888888,15.44360654590157,0.451598820266543,46,26,0,34,1,33,0,-1.3176020275689138
ETH/USDT:USDT,4h,full,baseline,atr,0.25,120,84,72,0.7,0.2053702752303162,0.0517067375270277,0.6388888888888888,12.165736549396629,0.3231648046113149,46,26,0,34,1,33,0,-7.044005068922349
ETH/USDT:USDT,4h,full,baseline,atr,0.5,120,84,71,0.7,0.1410476955183603,0.0582025780814457,0.6619718309859155,9.819027161529082,0.2308419286972767,47,24,0,34,3,31,0,-10.195250620419538
ETH/USDT:USDT,4h,full,pen_5bp,atr,0.0,120,79,66,0.6583333333333333,0.3169563302385257,0.0471152411781897,0.6060606060606061,16.45889091823175,0.5151515151515151,40,26,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,full,pen_5bp,atr,0.1,120,79,67,0.6583333333333333,0.2441153635876362,0.0495034980927202,0.6119402985074627,13.818736722393425,0.402794177081151,41,26,0,33,1,32,0,-1.2138147854498669
ETH/USDT:USDT,4h,full,pen_5bp,atr,0.25,120,79,67,0.6583333333333333,0.1638998317492858,0.0517067375270278,0.6119402985074627,10.428331975251265,0.2818372638680698,41,26,0,33,1,32,0,-6.784536963624721
ETH/USDT:USDT,4h,full,pen_5bp,atr,0.5,120,79,66,0.6583333333333333,0.108762546034274,0.0582025780814459,0.6363636363636364,8.103814885778467,0.1979636274990113,42,24,0,33,3,30,0,-9.676314409824291
ETH/USDT:USDT,4h,is,baseline,atr,0.0,74,53,43,0.7162162162162162,0.1981860095807307,0.0471152411781898,0.6046511627906976,16.581818927915382,0.5116279069767437,26,17,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,is,baseline,atr,0.1,74,53,46,0.7162162162162162,0.1583673867679915,0.0495034980927202,0.6304347826086957,13.889635882998524,0.4206417982600237,29,17,0,22,1,21,0,0.1170373159425048
ETH/USDT:USDT,4h,is,baseline,atr,0.25,74,53,46,0.7162162162162162,0.1090725553417074,0.0517067375270277,0.6304347826086957,10.620788143081198,0.290897251892492,29,17,0,22,1,21,0,-3.4574067101437693
ETH/USDT:USDT,4h,is,baseline,atr,0.5,74,53,45,0.7162162162162162,0.0641584496154308,0.0582025780814457,0.6444444444444445,7.332545728200458,0.1834630898627905,29,16,0,22,2,20,0,-6.403247768653451
ETH/USDT:USDT,4h,is,pen_5bp,atr,0.0,74,49,41,0.6621621621621622,0.1535027840719363,0.0471152411781897,0.5853658536585366,13.828268813069078,0.4634146341463418,24,17,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,is,pen_5bp,atr,0.1,74,49,41,0.6621621621621622,0.1141378282891848,0.0495034980927202,0.5853658536585366,11.147609983054693,0.337084008461137,24,17,0,22,1,21,0,0.0841568310085392
ETH/USDT:USDT,4h,is,pen_5bp,atr,0.25,74,49,41,0.6621621621621622,0.0708911872689503,0.0517067375270278,0.5853658536585366,7.696452447135474,0.2193705964731431,24,17,0,22,1,21,0,-3.5396079224786803
ETH/USDT:USDT,4h,is,pen_5bp,atr,0.5,74,49,40,0.6621621621621622,0.0340155306699914,0.0582025780814459,0.6,4.3688253380019235,0.1232096485595004,24,16,0,22,2,20,0,-6.567650193323274
ETH/USDT:USDT,4h,oos_warm,baseline,atr,0.0,46,31,25,0.6739130434782609,0.1417028086555727,0.0215191183469707,0.64,20.462079315620173,0.5999999999999995,16,9,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,oos_warm,baseline,atr,0.1,46,31,26,0.6739130434782609,0.1166497166741117,0.0214579600672476,0.6538461538461539,17.862463810030018,0.506368936124231,17,9,0,12,0,12,0,-1.4346393435114186
ETH/USDT:USDT,4h,oos_warm,baseline,atr,0.25,46,31,26,0.6739130434782609,0.0868272498717988,0.0211970258914533,0.6538461538461539,14.624455621649004,0.3802535517292327,17,9,0,12,0,12,0,-3.5865983587785784
ETH/USDT:USDT,4h,oos_warm,baseline,atr,0.5,46,31,26,0.6739130434782609,0.0722535689405243,0.0219163342492197,0.6923076923076923,13.971587658959509,0.3128437651415797,18,8,0,12,1,11,0,-3.792002851766082
ETH/USDT:USDT,4h,oos_warm,pen_5bp,atr,0.0,46,30,25,0.6521739130434783,0.1417019086764476,0.0215241034881543,0.64,20.461299467211095,0.5999999999999996,16,9,0,0,0,0,0,0.0
