window_index,symbol,timeframe,variant,is_start_time,is_end_time,oos_start_time,oos_end_time,is_num_bars,oos_num_bars,is_total_return,is_max_drawdown,is_win_rate,is_profit_factor,is_sharpe,is_num_trades,is_avg_trade_return,is_fill_rate,is_num_penetrations,oos_total_return,oos_max_drawdown,oos_win_rate,oos_profit_factor,oos_sharpe,oos_num_trades,oos_avg_trade_return,oos_fill_rate,oos_num_penetrations,return_gap,profit_factor_gap
1,BTC/USDT:USDT,1d,B,1697155200000,1728604800000,1728691200000,1736467200000,365,91,-0.04386285161426349,0.076332336743421,0.5,0.4253699875361944,-4.989950357918008,2,-0.020589778929495005,0.3333333333333333,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,-0.04386285161426349,
2,BTC/USDT:USDT,1d,A,1705017600000,1736467200000,1736553600000,1744329600000,365,91,0.043735899210707974,0.0,1.0,,,1,0.04373589921070798,,,0.0,0.0,0.0,,,0,,,,0.043735899210707974,
2,BTC/USDT:USDT,1d,B,1705017600000,1736467200000,1736553600000,1744329600000,365,91,-0.04133158408352447,0.076332336743421,0.5,0.4585311304899005,-4.546125032504666,2,-0.01921955258541443,0.2857142857142857,0.0,0.0,0.0,0.0,,,0,,,0.0,-0.04133158408352447,
3,BTC/USDT:USDT,1d,A,1712880000000,1744329600000,1744416000000,1752192000000,365,91,0.0543199891696775,0.0,1.0,,,1,0.05431998916967755,,,0.0,0.0,0.0,,,0,,,,0.0543199891696775,
3,BTC/USDT:USDT,1d,B,1712880000000,1744329600000,1744416000000,1752192000000,365,91,-0.07139545490728706,0.07139545490728706,0.0,0.0,,1,-0.07139545490728698,0.16666666666666666,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,-0.07139545490728706,
4,BTC/USDT:USDT,1d,A,1720742400000,1752192000000,1752278400000,1760054400000,365,91,-0.06370594090077139,0.06370594090077139,0.0,0.0,,1,-0.06370594090077147,,,0.0,0.0,0.0,,,0,,,,-0.06370594090077139,
4,BTC/USDT:USDT,1d,B,1720742400000,1752192000000,1752278400000,1760054400000,365,91,-0.10671171345011608,0.10671171345011608,0.0,0.0,,1,-0.10671171345011608,0.16666666666666666,0.0,-0.06561413925267516,0.06561413925267516,0.0,0.0,,1,-0.06561413925267509,0.3333333333333333,0.0,-0.04109757419744092,0.0
5,BTC/USDT:USDT,1d,A,1728604800000,1760054400000,1760140800000,1767916800000,365,91,-0.06370594090077139,0.06370594090077139,0.0,0.0,,1,-0.06370594090077147,,,0.0,0.0,0.0,,,0,,,,-0.06370594090077139,
5,BTC/USDT:USDT,1d,B,1728604800000,1760054400000,1760140800000,1767916800000,365,91,-0.16532405547658363,0.16532405547658363,0.0,0.0,-56.64553492219472,2,-0.08616292635139558,0.3333333333333333,0.0,0.0,0.0,0.0,,,0,,,0.0,-0.16532405547658363,
6,BTC/USDT:USDT,1d,A,1736467200000,1767916800000,1768003200000,1775779200000,365,91,0.010457055505926837,0.06370594090077139,0.5,1.1641456881111707,1.4654578928278534,2,0.007751572420497933,,,0.0,0.0,0.0,,,0,,,,0.010457055505926837,
6,BTC/USDT:USDT,1d,B,1736467200000,1767916800000,1768003200000,1775779200000,365,91,-0.06966695549328415,0.16532405547658363,0.3333333333333333,0.5786036382155428,-3.122595483134739,3,-0.019240658287137263,0.5,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,-0.06966695549328415,
7,BTC/USDT:USDT,1d,A,1744329600000,1775779200000,1775865600000,1783641600000,365,91,0.07920908574176265,0.0,1.0,,,1,0.07920908574176273,,,0.0,0.0,0.0,,,0,,,,0.07920908574176265,
7,BTC/USDT:USDT,1d,B,1744329600000,1775779200000,1775865600000,1783641600000,365,91,0.12032086624315524,0.06561413925267516,0.5,2.8337643016211596,6.809492365364164,2,0.06668876678706821,0.2222222222222222,0.0,0.0,0.0,0.0,,,0,,,0.0,0.12032086624315524,
0,ETH/USDT:USDT,4h,A,1689249600000,1720800000000,1720814400000,1728691200000,2192,548,-0.10818790010258089,0.10818790010258089,0.0,0.0,-32.358034784550696,6,-0.018587684330753116,,,0.011511038707668559,0.01633776493876012,0.5,1.7045663070080992,8.873978053421178,2,0.006464888833614055,,,-0.11969893881024946,-1.7045663070080992
0,ETH/USDT:USDT,4h,B,1689249600000,1720800000000,1720814400000,1728691200000,2192,548,-0.1454216145421431,0.1454216145421431,0.1,0.13728215327128307,-41.16749060802861,10,-0.015451922319410085,0.37037037037037035,0.0,0.033445915052751116,0.03216794720816069,0.3333333333333333,2.039727988743601,11.36399290827637,3,0.011789501690193294,0.3,0.0,-0.17886752959489421,-1.9024458354723177
1,ETH/USDT:USDT,4h,A,1697140800000,1728691200000,1728705600000,1736582400000,2192,548,-0.09233689386563128,0.11922815464275718,0.16666666666666666,0.22554455243981686,-22.015609720106497,6,-0.015544775528671987,,,0.0006389962035302232,0.08972349461383997,0.5,1.0066957863290962,1.3485556428412981,4,0.0021596707048964366,,,-0.0929758900691615,-0.7811512338892793
