timeframe,segment,feature,control,n,correlation
4h,oos,rvol_sma50,zone_width_atr,215,0.1847321295047345
4h,oos,rvol_sma50,stop_width_atr,215,0.22420557487623438
4h,oos,reg_4h_trend,zone_width_atr,0,
4h,oos,reg_4h_trend,stop_width_atr,0,
4h,oos,reg_4h_ema_slope,zone_width_atr,0,
4h,oos,reg_4h_ema_slope,stop_width_atr,0,
4h,oos,reg_4h_vol_pctl,zone_width_atr,0,
4h,oos,reg_4h_vol_pctl,stop_width_atr,0,
4h,oos,reg_4h_dev_pctl,zone_width_atr,0,
4h,oos,reg_4h_dev_pctl,stop_width_atr,0,
4h,oos,reg_1d_trend,zone_width_atr,215,0.03156083141723088
4h,oos,reg_1d_trend,stop_width_atr,215,-0.024189148637302267
4h,oos,reg_1d_ema_slope,zone_width_atr,215,0.03418197286052311
4h,oos,reg_1d_ema_slope,stop_width_atr,215,0.01272405448152794
4h,oos,reg_1d_vol_pctl,zone_width_atr,215,-0.10904214050054019
4h,oos,reg_1d_vol_pctl,stop_width_atr,215,-0.202599246752823
4h,oos,reg_1d_dev_pctl,zone_width_atr,215,-0.05879177489894953
4h,oos,reg_1d_dev_pctl,stop_width_atr,215,-0.12537876874476833
4h,oos,band_lower_slope_3_atr,zone_width_atr,215,0.17315576698063487
4h,oos,band_lower_slope_3_atr,stop_width_atr,215,0.05503747649541106
4h,oos,band_lower_slope_3_pct,zone_width_atr,215,0.2169533806812867
4h,oos,band_lower_slope_3_pct,stop_width_atr,215,0.10503695329723649
4h,oos,band_lower_slope_5_atr,zone_width_atr,215,0.13675695177152575
4h,oos,band_lower_slope_5_atr,stop_width_atr,215,0.049102552304004426
4h,oos,band_lower_slope_5_pct,zone_width_atr,215,0.1763513418387906
4h,oos,band_lower_slope_5_pct,stop_width_atr,215,0.08893639518845849
