timeframe,segment,barrier,arm,bucket,n_trades,survival_rate,win_rate,mean_net_r,cost_r_median,breakeven_win_rate,win_rate_margin,cap_hit_rate,effective_risk_mean
1h,is,zone,matched_random,0~0.2%,113,0.9292035398230089,0.8141592920353983,0.348770808610668,0.7872503552992418,0.7149001421196968,0.0992591499157015,1.0,0.001301935439096
1h,is,zone,matched_random,0.2~0.3%,92,0.8695652173913043,0.8695652173913043,0.7221598146519179,0.4613814772304137,0.5845525908921655,0.2850126264991388,1.0,0.0024680898735707
1h,is,zone,matched_random,0.3~0.5%,196,0.7346938775510203,0.7346938775510204,0.5606324284347329,0.2695138933438104,0.5078055573375242,0.2268883202134962,1.0,0.0040661452218387
1h,is,zone,matched_random,0.5~1%,425,0.6141176470588235,0.6141176470588235,0.3833243414398029,0.1487703178650317,0.4595081271460127,0.1546095199128108,1.0,0.0074907588659579
1h,is,zone,matched_random,1~2%,453,0.6136865342163356,0.6136865342163356,0.4509152410917988,0.0831352156992413,0.4332540862796965,0.180432447936639,0.0,0.01
1h,is,zone,matched_random,>2%,227,0.5022026431718062,0.5022026431718062,0.2104843003143177,0.0423891973067686,0.4169556789227074,0.0852469642490987,0.0,0.01
1h,is,zone_height,default,0~0.2%,4,0.5,0.5,-0.3783257593572406,0.6111456933454278,0.6444582773381711,-0.144458277338171,1.0,0.0017686223293353
1h,is,zone_height,default,0.2~0.3%,14,0.5714285714285714,0.5714285714285714,-0.0024420196188712,0.4263645149383732,0.5705458059753493,0.000882765453222,1.0,0.0025640767506639
1h,is,zone_height,default,0.3~0.5%,105,0.5904761904761905,0.5904761904761905,0.2052557220242049,0.2693562738224386,0.5077425095289755,0.082733680947215,1.0,0.0041039276489167
1h,is,zone_height,default,0.5~1%,328,0.4603658536585365,0.4603658536585366,0.0011236862481838,0.1465387770338366,0.4586155108135347,0.0017503428450019,1.0,0.0076529880405134
1h,is,zone_height,default,1~2%,373,0.514745308310992,0.514745308310992,0.2032724219501451,0.0832960732271889,0.4333184292908756,0.0814268790201163,0.0,0.01
1h,is,zone_height,default,>2%,232,0.4655172413793104,0.4655172413793103,0.1169977567374156,0.0450358957535798,0.4180143583014319,0.0475028830778783,0.0,0.0099999999999999
1h,is,zone_height,filter_bot3,0~0.2%,4,0.5,0.5,-0.3783257593572405,0.6111456933454278,0.6444582773381711,-0.144458277338171,1.0,0.0017686223293353
1h,is,zone_height,filter_bot3,0.2~0.3%,14,0.5714285714285714,0.5714285714285714,-0.0024420196188712,0.4263645149383732,0.5705458059753493,0.000882765453222,1.0,0.0025640767506639
1h,is,zone_height,filter_bot3,0.3~0.5%,106,0.5660377358490566,0.5660377358490566,0.142290201523716,0.2672898138309879,0.5069159255323952,0.0591218103166614,1.0,0.0041141407103174
1h,is,zone_height,filter_bot3,0.5~1%,222,0.5135135135135135,0.5135135135135135,0.1326009017177778,0.1509395147972353,0.4603758059188941,0.0531377075946193,1.0,0.0075635547089108
1h,is,zone_height,filter_bot3,1~2%,149,0.5771812080536913,0.5771812080536913,0.3553605156482175,0.0902713134938111,0.4361085253975244,0.1410726826561669,0.0,0.01
1h,is,zone_height,filter_bot3,>2%,19,0.5263157894736843,0.5263157894736842,0.2691706145483664,0.0480180978260894,0.4192072391304357,0.1071085503432484,0.0,0.01
1h,is,zone_height,matched_random,0~0.2%,10,0.8,0.8,0.385363298711314,0.6055106625763161,0.6422042650305265,0.1577957349694735,1.0,0.0017996744161249
1h,is,zone_height,matched_random,0.2~0.3%,38,0.8421052631578947,0.8421052631578947,0.6719340869362285,0.3988292078137834,0.5595316831255134,0.2825735800323813,1.0,0.0025847474753089
1h,is,zone_height,matched_random,0.3~0.5%,143,0.6993006993006994,0.6993006993006993,0.4750276378803089,0.2595642754456909,0.5038257101782764,0.1954749891224229,1.0,0.0040879420978819
1h,is,zone_height,matched_random,0.5~1%,429,0.5617715617715617,0.5617715617715617,0.2537432098095448,0.1463742362502821,0.4585496945001129,0.1032218672714488,1.0,0.0076076022643062
1h,is,zone_height,matched_random,1~2%,471,0.613588110403397,0.613588110403397,0.4513918927448023,0.0820881816417311,0.4328352726566924,0.1807528377467045,0.0,0.01
1h,is,zone_height,matched_random,>2%,251,0.5059760956175299,0.5059760956175299,0.218850143977923,0.0436739289900749,0.41746957159603,0.0885065240214998,0.0,0.01
1h,oos,atr,default,0~0.2%,0,,,,,,,,
1h,oos,atr,default,0.2~0.3%,0,,,,,,,,
1h,oos,atr,default,0.3~0.5%,61,0.3770491803278688,0.3770491803278688,-0.3029411096070368,0.2379743602703624,0.4951897441081449,-0.1181405637802761,1.0,0.0042541019564751
1h,oos,atr,default,0.5~1%,239,0.4267782426778242,0.4267782426778242,-0.0802629922766239,0.1432442482255747,0.4572976992902299,-0.0305194566124056,1.0,0.0077423398747799
1h,oos,atr,default,1~2%,301,0.4086378737541528,0.4086378737541528,-0.0590765670380589,0.0813360445906214,0.4325344178362486,-0.0238965440820957,0.0,0.01
1h,oos,atr,default,>2%,64,0.578125,0.578125,0.4000887991708969,0.0465220124367011,0.4186088049746804,0.1595161950253195,0.0,0.01
1h,oos,atr,filter_bot3,0~0.2%,0,,,,,,,,
1h,oos,atr,filter_bot3,0.2~0.3%,0,,,,,,,,
