arm,lens,symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,depth,is_n,is_wins,is_stops,is_gross_r_sum,is_net_pp_sum,oos_n,oos_wins,oos_stops,oos_gross_r_sum,oos_net_pp_sum,funding_coverage
band,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,5,0,0,0,0.0,0.0,1,0,1,-1.0,-0.7312915028424674,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,1,60,37,23,32.50000000000002,37.667801282528835,27,15,12,10.499999999999993,2.054737496710659,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,2,26,19,7,21.500000000000018,25.844468169985994,11,7,4,6.499999999999982,2.794541286418556,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,3,9,4,5,1.0000000000000067,-3.2319948471714546,5,2,3,-1.554312234475219e-14,-0.7755473152686582,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,4,1,0,1,-1.0,-3.478153639542351,1,0,1,-1.0,-0.7312915028424674,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,1,67,39,28,30.500000000000064,46.11353609731748,28,15,13,9.499999999999957,1.769143770193946,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,2,23,13,10,9.500000000000021,12.461748044325184,11,7,4,6.499999999999961,3.7055835530711523,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,3,9,4,5,1.0000000000000067,-3.1346765279235607,5,2,3,-1.554312234475219e-14,-1.2564174326122446,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,4,2,0,2,-2.0,-4.170360775076643,1,0,1,-1.0,-0.7312915028424674,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,1,52,34,18,33.00000000000007,27.021046764079323,20,12,8,9.99999999999999,3.1753049016984702,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,2,16,13,3,16.50000000000003,6.539700769651481,8,4,4,1.999999999999969,0.0471305066393326,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,3,5,4,1,5.000000000000018,1.1123728800473174,3,1,2,-0.5000000000000155,-0.7629055512655852,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,138,4,0,0,0,0.0,0.0,1,0,1,-1.0,-0.7312915028424674,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,1,18,11,7,9.499999999999984,16.979622798745037,12,4,8,-2.0,-0.13778143658525832,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,2,8,5,3,4.49999999999998,2.8300805363521686,3,1,2,-0.5,-3.7489875720351167,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,3,3,2,1,1.9999999999999858,3.251170843465292,1,0,1,-1.0,-2.893883190935007,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,4,2,1,1,0.4999999999999887,-2.024491934436836,0,0,0,0.0,0.0,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,5,1,0,1,-1.0,-0.6585298197888776,0,0,0,0.0,0.0,0.8647003745318352
zone,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,1,20,12,8,9.999999999999984,22.045645796616096,14,5,9,-1.500000000000004,-1.0593529979030658,0.8647003745318352
zone,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,2,7,4,3,2.9999999999999902,4.509146569492982,4,1,3,-1.5,-5.4406151152330535,0.8647003745318352
zone,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,3,3,2,1,1.9999999999999938,7.541211493495275,1,0,1,-1.0,-2.893883190935007,0.8647003745318352
zone,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,4,2,1,1,0.49999999999999667,2.335548715593149,0,0,0,0.0,0.0,0.8647003745318352
band,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,1,16,7,9,1.4999999999999796,-7.0945602745428,11,4,7,-0.9999999999999991,2.1048303927330574,0.8647003745318352
band,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,2,5,3,2,2.4999999999999902,9.876760209088424,3,0,3,-3.0,-10.073047942140033,0.8647003745318352
band,baseline,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,3,2,1,1,0.49999999999999667,2.335548715593149,0,0,0,0.0,0.0,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,1,16,8,8,3.9999999999999813,4.765653864426676,12,4,8,-2.0,-0.16430249032573951,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,2,6,4,2,3.9999999999999822,1.4276648018613112,3,1,2,-0.5,-3.7489875720351167,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,3,2,1,1,0.4999999999999971,2.555994113781958,1,0,1,-1.0,-2.893883190935007,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,4,1,0,1,-1.0,-2.72966866412017,0,0,0,0.0,0.0,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,1,18,9,9,4.499999999999988,4.118476327289782,12,4,8,-2.0,-1.2065900299565266,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,2,6,3,3,1.4999999999999938,-0.5260708102203357,3,1,2,-0.5,-3.7489875720351167,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,3,2,1,1,0.4999999999999971,2.555994113781958,1,0,1,-1.0,-2.893883190935007,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,4,1,0,1,-1.0,-2.72966866412017,0,0,0,0.0,0.0,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,1,14,5,9,-1.4999999999999731,-17.48928492080264,10,4,6,3.552713678800501e-15,3.836239516541732,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,2,4,2,2,0.9999999999999938,5.049341492953887,3,0,3,-3.0,-10.050982455681552,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,66,40,3,1,0,1,-1.0,-2.72966866412017,0,0,0,0.0,0.0,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,1,29,18,11,16.0,38.436112337761145,23,12,11,6.999999999999986,0.7919534310475527,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,2,10,5,5,2.500000000000016,-0.39644228561011563,5,3,2,2.499999999999983,1.1554047689530167,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,3,3,0,3,-3.0,-12.883653457486126,2,0,2,-2.0,-2.838781688473405,0.8647003745318352
zone,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,1,33,22,11,21.999999999999993,49.098235822673104,25,12,13,4.99999999999998,1.7092142987988743,0.8647003745318352
zone,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,2,12,5,7,0.5,-4.676203785670507,7,3,4,0.499999999999992,-2.4224575096070877,0.8647003745318352
zone,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,3,3,0,3,-3.0,-12.883653457486126,2,0,2,-2.0,-2.433596536034174,0.8647003745318352
band,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,1,24,16,8,15.999999999999975,30.85417715178069,21,13,8,11.499999999999996,6.561314981196464,0.8647003745318352
band,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,2,6,4,2,3.999999999999983,6.720155447346239,7,3,4,0.4999999999999929,-3.0424885715381365,0.8647003745318352
