symbol,timeframe,segment,arm,fill,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
SOL/USDT:USDT,4h,is,long_only,baseline,False,0.0974695439538169,82,82,0,219,-0.0244742090260622,-0.1430615493650699,0.1063910923771338,0.055,200,0,243,49.09800307219662
SOL/USDT:USDT,4h,oos,long_only,baseline,False,0.0491706649716425,47,47,0,80,0.0610779676733497,-0.0337017626273391,0.1518324053436968,0.625,200,0,106,-0.5093534417644393
BNB/USDT:USDT,4h,is,long_only,baseline,False,0.180475727038461,88,88,0,217,0.0927101074466554,-0.0371088366805059,0.2165760943215073,0.08,200,0,241,16.737564322469982
BNB/USDT:USDT,4h,oos,long_only,baseline,False,0.1310152601489744,50,50,0,95,0.10726448071426,0.0125690231020558,0.2021081046795272,0.35,200,0,123,0.1131613705228808
XRP/USDT:USDT,4h,is,long_only,baseline,False,0.6047762464455724,88,88,0,218,0.2049617999188965,0.0535590400721184,0.3631745366762983,0.0,200,0,268,1.4945366248482397
XRP/USDT:USDT,4h,oos,long_only,baseline,False,0.0132468497968315,41,41,0,94,0.0018061274369855,-0.0882881973877452,0.0856687982888173,0.355,200,0,126,0.8586072242108689
TRX/USDT:USDT,4h,is,long_only,baseline,False,0.5665128851893442,86,86,0,212,0.2108568286687679,0.0736808179609568,0.3563364635420188,0.0,200,0,246,3.2390651085141897
TRX/USDT:USDT,4h,oos,long_only,baseline,False,0.0555208835223451,55,55,0,100,0.0857132572791129,-0.0030787887900323,0.1675736113236458,0.74,200,0,130,1.5987361769352293
DOGE/USDT:USDT,4h,is,long_only,baseline,False,0.4385804015314512,103,103,0,238,0.2129511213634533,0.067710275032814,0.3593370884309846,0.005,200,0,236,37.374419435512685
DOGE/USDT:USDT,4h,oos,long_only,baseline,False,0.1712485043808874,45,45,0,123,0.1108919515130067,0.0197554479589558,0.2091579049004831,0.095,200,0,122,-0.3078882808076996
LINK/USDT:USDT,4h,is,long_only,baseline,False,0.0229478337758308,94,94,0,231,0.0065586724744319,-0.1213700373656303,0.1308380994668725,0.385,200,0,248,-0.1082987551867221
LINK/USDT:USDT,4h,oos,long_only,baseline,False,0.1148996043287417,37,37,0,91,0.0595305280613957,-0.0129370388410858,0.1332922483527532,0.08,200,0,125,-0.1834135295782621
LTC/USDT:USDT,4h,is,long_only,baseline,False,0.2157005476278509,87,87,0,204,0.0447915100318611,-0.0667914859526412,0.1558960776790243,0.01,200,0,238,0.2315131976627038
LTC/USDT:USDT,4h,oos,long_only,baseline,False,0.040336488318992,41,41,0,108,0.0080990529968537,-0.0825493891490472,0.0883013304030324,0.215,200,0,117,-0.2288819364399802
BTC/USDT:USDT,15m,is,long_only,baseline,False,2.105065213902851,1293,1293,0,3847,0.13387600694627153,-0.18258689818283838,0.5538062949593061,0.0,200,0,3974,4.772530119579576
BTC/USDT:USDT,15m,oos,long_only,baseline,False,-0.10342116977946535,530,530,0,1887,-0.16547475153415153,-0.321916633940701,0.014702618964577596,0.2,200,0,2024,0.08188141693379314
ETH/USDT:USDT,15m,is,long_only,baseline,False,0.948591107817935,1354,1354,0,3584,-0.18789308675034286,-0.4792551092137279,0.15510103412868284,0.0,200,0,3966,6.102044599819906
ETH/USDT:USDT,15m,oos,long_only,baseline,False,0.6754722031556488,740,740,0,2082,0.17776422829527902,-0.08406808406102137,0.4801938070025584,0.0,200,0,2026,-0.27809001376998144
SOL/USDT:USDT,15m,is,long_only,baseline,False,2.5074683062350074,1570,1570,0,3803,0.0442510142658814,-0.4360200332923387,0.6296077685219238,0.0,200,0,3946,48.62689065400651
SOL/USDT:USDT,15m,oos,long_only,baseline,False,0.4959246347927883,769,769,0,1881,-0.0811094882022313,-0.32190313410585625,0.19026546998218147,0.0,200,0,1982,-0.5184184887836522
BNB/USDT:USDT,15m,is,long_only,baseline,False,1.1136476741447252,1384,1384,0,3682,-0.20195273890326057,-0.4710020292144555,0.2180816889030144,0.0,200,0,3965,16.054225212744903
BNB/USDT:USDT,15m,oos,long_only,baseline,False,-0.21583786503061048,559,559,0,1691,-0.3685533314093815,-0.49163334990383717,-0.23795829358573492,0.015,200,0,1993,0.11660413305079809
XRP/USDT:USDT,15m,is,long_only,baseline,False,3.6715024644678786,1432,1432,0,3629,0.28287024220083157,-0.12591456261550302,0.9299444820295047,0.0,200,0,3781,1.5036555645816407
XRP/USDT:USDT,15m,oos,long_only,baseline,False,0.3027009611880008,701,701,0,1864,-0.07284421918100549,-0.2911174172086632,0.14121451411892302,0.005,200,0,1952,0.8594664931685101
TRX/USDT:USDT,15m,is,long_only,baseline,False,-0.22168513903479625,1153,1153,0,3255,-0.4134854090808983,-0.589367081852579,-0.22861898076387951,0.015,200,0,3745,3.2109452736318405
TRX/USDT:USDT,15m,oos,long_only,baseline,False,-0.24253145743882323,318,318,0,1628,-0.14179287693305154,-0.24266456081662655,-0.037432583017578694,0.975,200,0,1913,1.6015470834319996
DOGE/USDT:USDT,15m,is,long_only,baseline,False,9.24269141950553,1386,1386,0,3628,0.8134029241602846,0.22270174914203145,1.6908182117557802,0.0,200,0,3798,37.553481694185216
DOGE/USDT:USDT,15m,oos,long_only,baseline,False,0.06550970081629093,758,758,0,1859,-0.1776755426758382,-0.39299387450290135,0.09329770052308577,0.04,200,0,1982,-0.31249414190645797
LINK/USDT:USDT,15m,is,long_only,baseline,False,4.148648258914897,1599,1599,0,3814,-0.02882984961302941,-0.4444527063559125,0.5437943952069303,0.0,200,0,3925,-0.12034383954154737
LINK/USDT:USDT,15m,oos,long_only,baseline,False,0.3587491353915306,735,735,0,1885,-0.22894772048358847,-0.4258787875926883,0.0024230471217260856,0.0,200,0,1980,-0.19051627384960723
LTC/USDT:USDT,15m,is,long_only,baseline,False,2.819265155161466,1457,1457,0,3695,0.44384545571331585,-0.045779028134050534,1.1209797321221378,0.0,200,0,3877,0.2465837242504587
LTC/USDT:USDT,15m,oos,long_only,baseline,False,0.15118128443159312,736,736,0,1960,-0.13907883161799905,-0.3450955323229625,0.147149903660376,0.025,200,0,1955,-0.23141309699655344
