arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,reentry,multiple,adopted_point,net_r_stderr,mean_gross_r_after_slippage,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61679,0.6713305987451158,-0.008336043760203794,0.1404260699655394,0.08714433179996096,0.026531922325136226,0.018207678481284028,0.016668131364894475,1.6690180762739393e-06,0.00020838073639255659,0.148762113725744,2.842170943040401e-14,0.00858196322012947,0.026536703593264,-0.00801029618404632,24347,0.39473726876246373,9192,0,-1.5202446989468892,1.4313263454313085,-1.0621230467806322,21,8.333306066133673,8.333306066133673,7590,0,4038,True,0.6,False,0.0031964571939349564,0.053281738165533596,17996,0.29176867329236855,,-DOT
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18472,0.6752381983542659,-0.010745235918729388,0.1546032617921869,0.09695729001743496,0.02970309486989611,0.020624506134427827,0.01817466291865862,5.57294098779235e-06,-0.00011662917049045689,0.16534849771091573,2.842170943040401e-14,0.007279523223888278,0.02125693172358299,-0.008978373617766534,7340,0.3973581637072326,2463,0,-1.409353977035235,2.317195726802102,-0.6082153357758197,15,17.20755338006441,17.20755338006441,7575,0,848,True,0.6,False,0.005848428089337755,0.057645971774759774,4816,0.2607189259419662,,-DOT
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,62079,0.6710320720372429,-0.007671435721842863,0.13917088901515004,0.08603289253012365,0.026220752702344703,0.01802997492156131,0.016401152496240325,1.65826392059312e-06,0.00015589382280402591,0.1468423247369952,2.842170943040401e-14,0.00873165183410166,0.026859284246749084,-0.007749455337687298,24518,0.3949483722353775,9227,0,-1.6493469548322799,1.4165896097416597,-1.1643082396552857,19,0.9740231103146268,0.9740231103146268,7589,0,4046,True,0.6,False,0.003183288885843806,0.053137996484980646,17969,0.2894537605309364,,-ETH
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18243,0.6726415611467412,-0.014179096569443037,0.14989641293973016,0.09627563107279166,0.029482085072208036,0.02045442964648698,0.01807111626741101,5.642896778298542e-06,-0.0002133954465047072,0.1640755095091722,2.842170943040401e-14,0.007340610168229219,0.02157068875213097,-0.008725641025637712,7220,0.39576823987282794,2373,0,-2.079433877752429,2.876453267531954,-0.722915926089986,15,3.1517203329599317,3.1517203329599317,7673,0,856,True,0.6,False,0.005890775591493422,0.053620781866945307,4641,0.25439894754152276,,-ETH
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61865,0.6715590398448235,-0.008008413974516394,0.1408966406456181,0.08726784824725718,0.026573969853189723,0.01824241904609339,0.016682889131056283,1.6640000957973054e-06,0.00013626434244334523,0.1489050546201362,2.842170943040401e-14,0.008549020884758462,0.026332034972098198,-0.008077455048410216,24448,0.3951830598884668,9291,0,-1.17472354249467,1.3763228598281056,-0.8535232370124157,20,320.6724374718898,320.6724374718898,7608,0,4034,True,0.6,False,0.0031912813083838395,0.053628792398315445,18080,0.292249252404429,,-LINK
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18555,0.6763136620856912,-0.008779702515047115,0.15629939689708292,0.0968174358016583,0.029693249919066522,0.020661106986131224,0.018082530638132695,5.548012176044209e-06,-0.0001807719450359137,0.16507909941213003,2.842170943040401e-14,0.007293127221633682,0.020978791191979127,-0.009309687034272325,7389,0.3982215036378335,2512,0,-1.2282677355913834,2.463776170695114,-0.49853056872647966,15,1.9363016906318686,1.9363016906318686,7613,0,841,True,0.6,False,0.005829193873709791,0.05948196109543119,4894,0.26375639989221233,,-LINK
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61808,0.6724695832254725,-0.005927836991554174,0.14194057946933206,0.08663883634431026,0.026408714865709334,0.01816388779247764,0.01651010930905901,1.6655346545188374e-06,0.0001452026146767088,0.14786841646088705,2.842170943040401e-14,0.008637636289839429,0.02660042474613058,-0.00782660158633221,24370,0.39428552938130984,9196,0,-0.5299036877321519,1.3430389700383494,-0.39455570504928905,19,38.51481961355397,38.51481961355397,7271,0,4042,True,0.6,False,0.0031890872149404922,0.05530174312497667,18021,0.29156419880921564,,-LTC
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18451,0.6788791935396455,-0.004261167627699448,0.16026881103729756,0.09646725041435285,0.029639044949455434,0.02069361926254015,0.017910792714251153,5.5792838288710805e-06,-0.00018630795943299562,0.16452997866499608,2.842170943040401e-14,0.007288135731410789,0.02125699865192989,-0.008717890995260094,7311,0.39623868625006775,2463,0,-0.5901542183202775,2.2794905342331684,-0.25889742004074967,15,26.39363570984666,26.39363570984666,7384,0,848,True,0.6,False,0.0058330820627439505,0.06380156062294884,4905,0.2658392499051542,,-LTC
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61861,0.6699697709380709,-0.010774149870487058,0.13843769230405675,0.08741675174730949,0.026607539381542984,0.01824947136035867,0.016734880310899404,1.6641076918656392e-06,0.0002015352667425094,0.1492118421745454,2.842170943040401e-14,0.008557037039446313,0.026347067951561703,-0.008080402010048279,24410,0.3945943324550201,9250,0,-2.8267228926907126,1.6738363054224836,-1.6887690173366359,20,1320.952939453384,1320.952939453384,16982,0,4049,True,0.6,False,0.003194647895409105,0.051020940556701214,18034,0.2915245469682029,,-SOL
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18350,0.6765122615803815,-0.00801703772484259,0.15641144768897483,0.09638965447788712,0.02961091866301565,0.020667661703807388,0.01790491264300745,5.609992693542251e-06,-0.00015027206659519349,0.16442848541381702,2.842170943040401e-14,0.007344489625823858,0.021383311963351893,-0.00914500584795215,7340,0.4,2398,0,-1.2982372241562432,2.488613146386044,-0.5216709660324422,16,6.993952566171875,6.993952566171875,7530,0,853,True,0.6,False,0.005855933206966634,0.06002179321109406,4784,0.26070844686648503,,-SOL
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,63652,0.6734430968390624,-0.0032649827399596236,0.14262869250704038,0.08535179146493137,0.026060742724607778,0.017983246882875364,0.016176285159806823,1.6172840747580642e-06,0.0003199917307039963,0.14589367524700025,2.842170943040401e-14,0.008786939462918468,0.026940187688258545,-0.007595633187771168,25227,0.39632690253252056,9547,0,0.00836381078288723,1.2734000696325263,0.006568093549186652,20,8.15078264720465,8.15078264720465,6606,0,5080,True,0.6,False,0.0031368513541208164,0.05727690104206046,18687,0.2935807201659021,,-TRX
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,19352,0.680549813972716,-0.0002969499068419993,0.16208219179623803,0.09501405186276339,0.02929505656199332,0.020587628400882903,0.017436364057425324,5.319520769248672e-06,4.0721299244859115e-05,0.16237914170308063,2.842170943040401e-14,0.007402098039687572,0.021662768566190177,-0.008518288770050071,7753,0.4006304257957834,2618,0,-0.6193197768781279,2.1733197804656714,-0.2849648645563921,16,23.526675472330002,23.526675472330002,7693,0,1403,True,0.6,False,0.005678801519618184,0.06706813993347782,5157,0.26648408433236875,,-TRX
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61725,0.6742162818955042,-0.002851387345959987,0.1446974158211117,0.08640006958712167,0.02639355443722852,0.0182296401585138,0.01634947972166758,1.6677742555933625e-06,0.00017439148828438206,0.1475488031670724,2.842170943040401e-14,0.008646000472555978,0.026611732769303256,-0.007808905852414286,24300,0.393681652490887,9107,0,0.41309202520604577,1.219847575070745,0.3386423301141444,21,47.01000228565678,47.01000228565678,5037,0,4036,True,0.6,False,0.003185625314731479,0.058297346233942414,17927,0.29043337383556095,,-XRP
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18641,0.6801137278043023,-0.0018550117036075214,0.16202853383105736,0.09604766729465086,0.02955279522847337,0.020689391219633205,0.017747677947797653,5.522416497317757e-06,-0.0001595085723883645,0.16388354553466472,2.842170943040401e-14,0.00734567186130807,0.021232338898074028,-0.008787303500603194,7384,0.3961160881926935,2522,0,-0.4663510723891034,2.228904945945341,-0.20922878440260753,15,186.22908095913976,186.22908095913976,7310,0,844,True,0.6,False,0.005795002918072843,0.06598086653641042,4941,0.26506088729145433,,-XRP
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,36,9,50512,0.6720383275261324,-0.008102193183616999,0.14242451647238663,0.08829919891695293,0.026878709610719573,0.01843935928097629,0.01690035078650892,0.0,9.091060847589447e-06,0.15052670965600484,2.842170943040401e-14,0.008441156109855606,0.025812375711737456,-0.008150528541226826,19909,0.39414396579030725,7409,0,-0.7461867576948409,1.370828883354402,-0.5443325324959092,19,53.619866568477704,53.619866568477704,8672,0,4084,True,0.6,False,0.003533558954519087,0.054125317555397526,14468,0.2864269876464998,,-new3
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,36,9,15077,0.6794455130330967,-0.005012482131274377,0.16231816042059596,0.09821033768751357,0.030097176894972988,0.02091260021119351,0.01839479649665234,0.0,-0.00028426873846235605,0.16733064255187016,2.842170943040401e-14,0.007183987249855059,0.02031653415347347,-0.009321379310343244,6001,0.39802347947204353,1995,0,-0.057467977754473216,1.7220857267096166,-0.0333711480579292,13,2081.6435891814704,2081.6435891814704,4425,0,863,True,0.6,False,0.0064648085757311865,0.06410782273308845,3949,0.26192213305034157,,-new3
