symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
ETH/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,74,49,41,0.6621621621621622,0.1985575662432107,0.032028720599551,0.5609756097560976,15.667359430963211,0.6515797773281188,23,18,0
ETH/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,46,31,25,0.6739130434782609,0.1417028086555727,0.0215191183469707,0.64,20.462079315620173,0.5999999999999995,16,9,0
ETH/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,46,31,25,0.6739130434782609,0.1273029168791334,0.0318503998137986,0.6,17.4543471017015,0.5505401848786825,15,10,0
ETH/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,46,30,25,0.6521739130434783,0.1417019086764476,0.0215241034881543,0.64,20.461299467211095,0.5999999999999996,16,9,0
ETH/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,46,30,25,0.6521739130434783,0.1271244242097582,0.0318503998137986,0.6,17.4379839142022,0.5498996836671037,15,10,0
ETH/USDT:USDT,4h,oos,baseline,entry_r,1.5,40,28,22,0.7,0.0934849063160525,0.0215191183469708,0.5909090909090909,15.338473444274523,0.4772727272727269,13,9,0
ETH/USDT:USDT,4h,oos,baseline,zone_height,1.5,40,28,22,0.7,0.073816618816933,0.0318503998137986,0.5454545454545454,11.798414400137158,0.3958119203734023,12,10,0
ETH/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,40,27,22,0.675,0.0934840443460354,0.0215241034881544,0.5909090909090909,15.337813552237206,0.477272727272727,13,9,0
ETH/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,40,27,22,0.675,0.0736465949556963,0.0318503998137986,0.5454545454545454,11.778333793651417,0.3950840780875172,12,10,0
SOL/USDT:USDT,4h,full,baseline,entry_r,1.5,126,88,76,0.6984126984126984,0.3364607263108504,0.0412724490098484,0.5789473684210527,14.83467162665423,0.4473684210526316,44,32,0
SOL/USDT:USDT,4h,full,baseline,zone_height,1.5,126,88,77,0.6984126984126984,0.3248976493598566,0.047675348503122,0.5324675324675324,12.927367919667129,0.4153427569927519,41,36,0
