scope,hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
6h,16,0.03,25.0,oos_warm,134,0.40695266157494614,0.20810554394439032,0.5453165665104271,0.08858224487425304,0.6611146181779131,0.1417049131927305,False
8h,16,0.03,25.0,full,387,0.23258563671608432,0.11538981172280287,0.9001064140912487,0.18331300180248133,1.2362192779069923,0.25136733123033683,False
8h,16,0.03,25.0,is,264,0.11793994631604154,0.13713745425623725,0.31136145827435113,0.18331300180248133,0.2834597816665345,0.25136733123033683,False
8h,16,0.03,25.0,oos_warm,123,0.47204012744624724,0.21109374190277308,0.580609356758885,0.12121285954694028,0.7285887879425987,0.1980577047050025,False
12h,16,0.03,25.0,full,251,0.1269099216150115,0.14493618859331645,0.3185439032536783,0.20944457588183663,0.29154368236287653,0.25473010349730185,False
12h,16,0.03,25.0,is,172,0.08327569199880046,0.17152704529443574,0.14323419023793682,0.20944457588183663,0.10737842988193047,0.253987704528467,False
12h,16,0.03,25.0,oos_warm,79,0.22739610772459434,0.2719927834189722,0.17964292510242896,0.1366185548170581,0.17113294594241824,0.1646903273796485,False
1d,16,0.03,25.0,full,154,-0.2084388242097528,0.1292475842240888,-0.3209957892830191,0.5073545950064218,-0.2886341000251036,0.4160651589436737,False
1d,16,0.03,25.0,is,97,-0.42307137795254157,0.12365429744433441,-0.410379236613965,0.43518385130520165,-0.3418301884193169,0.36983320264968744,False
1d,16,0.03,25.0,oos_warm,57,0.15681306549288782,0.2737153065961203,0.0893834473309465,0.09891198378394539,0.08082426063640846,0.0969867666609382,False
1w,16,0.03,25.0,full,12,2.212582018562602,1.4020817127071887,0.26550984222751217,0.033544357257593305,0.28499552716337795,0.0331404680025994,False
1w,16,0.03,25.0,is,9,1.4754070140887103,1.6311036133952934,0.13278663126798373,0.033544357257593305,0.13099426483756837,0.0331404680025994,False
1w,16,0.03,25.0,oos_warm,3,0.34568328830652123,0.28888098705065346,0.010370498649195703,0.0015445170094701144,0.010381266010611734,0.001562948421452326,False
__all__,24,0.03,25.0,full,4669,0.10109247098803877,0.031109039249237014,4.720007470431538,0.4859426249854395,40.42726671024675,0.9525801044112121,False
__all__,24,0.03,25.0,is,3423,0.09199817325300882,0.03706998964861222,3.1490974704505117,0.4859426249854395,9.960371325291606,0.9525801044112121,False
__all__,24,0.03,25.0,oos_warm,1247,0.11133962840777559,0.05528449681069653,1.3884051662449672,0.68565195305709,2.185645529973764,0.7278338452460232,False
__no15m__,24,0.03,25.0,full,4147,0.07185411805653827,0.033074952530662366,2.9797902758046546,0.6856141833595037,7.106144596196408,0.9485297623972602,False
__no15m__,24,0.03,25.0,is,2967,0.04471860212789125,0.03973456874535174,1.3268009251345414,0.6856141833595037,0.9673841038012176,0.9485297623972602,False
__no15m__,24,0.03,25.0,oos_warm,1181,0.12451181345758153,0.05783684203873525,1.470484516934044,0.6616553925923132,2.472654889894921,0.7250085782727995,False
15m,24,0.03,25.0,full,529,0.34102415991738405,0.09044520076736867,1.804017805962964,0.09434765039821658,4.437600566094656,0.24988613528882264,False
15m,24,0.03,25.0,is,461,0.39207859027773057,0.10091567311438077,1.8074823011803414,0.056178985739346765,4.487774820235078,0.15083479521641074,False
15m,24,0.03,25.0,oos_warm,68,-0.005094845907906959,0.1594989848534835,-0.003464495217376684,0.17241709357755652,-0.009142914165396032,0.16472513526935817,False
1h,24,0.03,25.0,full,789,0.12646896105818128,0.08138124348587994,0.9978401027490527,0.43278199387273586,1.2482859207662194,0.4601296718099248,False
1h,24,0.03,25.0,is,605,0.1688004442644506,0.09926507628022833,1.0212426877999277,0.43278199387273586,1.3591544799534372,0.4601296718099248,False
1h,24,0.03,25.0,oos_warm,184,-0.012718796223302164,0.12335133661230316,-0.02340258505087678,0.25432586207414987,-0.04699504001510113,0.24300723475744435,False
2h,24,0.03,25.0,full,722,0.021977500255573677,0.06574803339137963,0.15867755184524102,0.30849434328730496,0.05147610012364767,0.39139165567373946,False
2h,24,0.03,25.0,is,511,0.036212519290920106,0.08175650987467332,0.18504597357660013,0.2723500011583624,0.1068936258015909,0.3355702693311968,False
2h,24,0.03,25.0,oos_warm,211,-0.012496882337137274,0.10707143753218114,-0.026368421731359115,0.2399398701402885,-0.05006580974554953,0.2271347647348868,False
3h,24,0.03,25.0,full,725,0.009773992477456639,0.0683957625063354,0.07086144546155992,0.5193988341248997,-0.04535726754982128,0.5714836869652304,False
3h,24,0.03,25.0,is,520,-0.0014439680175057693,0.08460957511077313,-0.0075086336910311635,0.5106321847011439,-0.09440553846104505,0.5492961477568168,False
3h,24,0.03,25.0,oos_warm,205,0.038229306903702735,0.11185459390488596,0.07837007915259142,0.3479872142363172,0.0541614077761392,0.329468301009021,False
4h,24,0.03,25.0,full,672,0.0777094243969196,0.08310934190253133,0.5222073319473013,0.4842283658877472,0.45203494753425066,0.5302507850769531,False
4h,24,0.03,25.0,is,477,-0.011992386210678805,0.09537517417055144,-0.05720368222493655,0.4842283658877472,-0.14449193663261484,0.5302507850769531,False
4h,24,0.03,25.0,oos_warm,195,0.29576298495778874,0.16535563042660775,0.5767378206676883,0.22576008100074096,0.6928884111288154,0.23238779917445163,False
6h,24,0.03,25.0,full,491,0.1343260581255629,0.10730556202315482,0.6595409453965146,0.3117134225326187,0.6980783447157073,0.4133514910429166,False
6h,24,0.03,25.0,is,357,0.052866647657385864,0.12087502970904326,0.1887339321368684,0.27787253476327944,0.10789156951370416,0.3800144596773568,False
6h,24,0.03,25.0,oos_warm,134,0.3492301300320593,0.22510923379325565,0.46796837424295923,0.12215251589800169,0.5284975567840957,0.18598348146294186,False
8h,24,0.03,25.0,full,387,0.16837721710919334,0.12044698707006299,0.6516198302125822,0.2645884136591494,0.7309275270512527,0.3651078492531038,False
8h,24,0.03,25.0,is,264,0.11914409787584136,0.15343516507779592,0.3145404183922236,0.2645884136591494,0.26841971551263644,0.3651078492531038,False
8h,24,0.03,25.0,oos_warm,123,0.2689783160621244,0.187642723997934,0.3308433287564141,0.1535279745988073,0.3563195707408333,0.20830088970740568,False
12h,24,0.03,25.0,full,251,0.06237421871628283,0.13856523061013412,0.15655928897786953,0.27933914271421756,0.10369270651780549,0.29038176879604105,False
12h,24,0.03,25.0,is,172,0.03220001048037008,0.17347168962753454,0.05538401802623594,0.27933914271421756,0.013048685396410908,0.29038176879604105,False
12h,24,0.03,25.0,oos_warm,79,0.15246458154970347,0.23312845770434756,0.12044701942426594,0.1376797929672643,0.10981406714692121,0.15758575435191113,False
1d,24,0.03,25.0,full,154,-0.19236640371365488,0.1470461917682057,-0.29624426171902885,0.48399940557018994,-0.27472641849905777,0.405840790519185,False
1d,24,0.03,25.0,is,97,-0.3802937613970581,0.13815526804314562,-0.3688849485551462,0.4046353833692734,-0.3150113596976243,0.3518207850368247,False
1d,24,0.03,25.0,oos_warm,57,0.12743980146687353,0.31784776546563925,0.07264068683611868,0.13092038951519236,0.05881110843062065,0.13017215999282428,False
1w,24,0.03,25.0,full,12,2.5366960350922807,1.5537354071923568,0.30440352421107386,0.03523453224880191,0.33118673341487526,0.03478034421182208,False
