scope,arm,sizing_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
15m,book,fixed_notional,3.0,full,XRP,5,1664,0.5528846153846154,1.343114442166176,0.05263428748963391,3.0,0.0180261204876947,1.5014532488160142,0.0,0.0,300.0,0.0
15m,book,fixed_notional,5.0,full,XRP,5,1664,0.5528846153846154,3.0711595393719544,0.08636044077849017,3.0,0.03004353414615783,2.5040596346425583,0.0,0.0,300.0,0.0
15m,isolated,risk_pct,1.0,is,,6,1413,0.5365970095937571,0.30930725608944915,0.061309668415620466,,,,,,,
15m,book,risk_pct,1.0,is,,6,1224,0.5514705882352942,2.768954479442947,0.10136148645188504,2.0,0.02,1.0000000000000002,0.0,1139.0,216.0,305.0
15m,book,risk_pct,2.0,is,,6,1222,0.5474631751227496,12.355149176099204,0.19374128229592447,2.0,0.04,2.0000000000000004,0.0,1137.0,214.0,308.0
15m,book,risk_pct,3.0,is,,6,1224,0.5490196078431373,42.449784481318275,0.2777920950078193,2.0,0.06,3.000000000000001,0.0,1139.0,223.0,309.0
15m,book,risk_pct,5.0,is,,6,1214,0.5494233937397035,394.1189673942578,0.42335652555889836,2.0,0.1,5.000000000000001,0.0,1129.0,214.0,314.0
15m,book,fixed_notional,1.0,is,,6,1413,0.5470629865534324,0.3043490454218625,0.02074094048227185,4.0,0.007288490123577364,0.6666666666666666,0.0,0.0,253.0,0.0
15m,book,fixed_notional,2.0,is,,6,1413,0.5470629865534324,0.695948782126954,0.041109755408063484,4.0,0.014576980247154725,1.3333333333333333,0.0,0.0,253.0,0.0
15m,book,fixed_notional,3.0,is,,6,1413,0.5470629865534324,1.1981589765630178,0.06111186472556105,4.0,0.021865470370732092,2.0,0.0,0.0,253.0,0.0
15m,book,fixed_notional,5.0,is,,6,1413,0.5470629865534324,2.6579954229405938,0.1000373818969758,4.0,0.03644245061788681,3.333333333333333,0.0,0.0,253.0,0.0
15m,isolated,risk_pct,1.0,is,BNB,5,1231,0.5439164115125086,0.36349476840753925,0.06158428423914928,,,,,,,
15m,book,risk_pct,1.0,is,BNB,5,1090,0.5577981651376147,2.83504136161765,0.10155773732358112,2.0,0.02,1.0000000000000002,0.0,1004.0,202.0,224.0
15m,book,risk_pct,2.0,is,BNB,5,1088,0.5579044117647058,12.810133171181564,0.19501085183280076,2.0,0.04,2.0000000000000004,0.0,1002.0,201.0,222.0
15m,book,risk_pct,3.0,is,BNB,5,1088,0.5569852941176471,46.42518616985101,0.2807222821389526,2.0,0.06,3.000000000000001,0.0,1002.0,202.0,225.0
15m,book,risk_pct,5.0,is,BNB,5,1089,0.5564738292011019,442.76948370045096,0.43047283346413223,3.0,0.1,5.000000000000001,0.0,1003.0,201.0,223.0
15m,book,fixed_notional,1.0,is,BNB,5,1231,0.554021121039805,0.2950882878844039,0.019996201948384747,4.0,0.0072884901235773635,0.6666666666666666,0.0,0.0,223.0,0.0
15m,book,fixed_notional,2.0,is,BNB,5,1231,0.554021121039805,0.6724861691883077,0.039743393369945354,4.0,0.01457698024715473,1.333333333333333,0.0,0.0,223.0,0.0
15m,book,fixed_notional,3.0,is,BNB,5,1231,0.554021121039805,1.153732308099775,0.059240772850394786,4.0,0.02186547037073209,2.0,0.0,0.0,223.0,0.0
15m,book,fixed_notional,5.0,is,BNB,5,1231,0.554021121039805,2.541250852707086,0.09748351974034364,4.0,0.03644245061788682,3.333333333333333,0.0,0.0,223.0,0.0
15m,isolated,risk_pct,1.0,is,BTC,5,1220,0.5351081213570681,0.3417313735178935,0.05799836862583838,,,,,,,
15m,book,risk_pct,1.0,is,BTC,5,1096,0.5456204379562044,2.16781687897285,0.10188787234114484,2.0,0.02,1.0000000000000002,0.0,1006.0,187.0,196.0
15m,book,risk_pct,2.0,is,BTC,5,1098,0.5473588342440802,8.412217187463565,0.1943222424985234,2.0,0.04,2.0000000000000004,0.0,1008.0,186.0,193.0
15m,book,risk_pct,3.0,is,BTC,5,1096,0.5474452554744526,25.240303138830665,0.2780871043704354,2.0,0.06,3.000000000000001,0.0,1006.0,187.0,195.0
