symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,77,0.3896103896103896,-0.0972434580422514,0.15036831507456,-10.521169340743148,0.7933246015187639,-0.0259740259740259,0.6877828054298643,221,152,1.0,L2u
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1689292800000,1752476400000,17552,178,0.4662921348314606,0.1265412390149518,0.10548736257484,6.36818180168619,1.1354012091666272,0.1657303370786516,1.0,183,183,1.0,L0
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,223,0.4573991031390134,0.0997040950884333,0.136580905673117,4.208559006780269,1.0780832572837336,0.1434977578475336,1.0,459,459,1.0,L0r
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,192,0.4479166666666667,0.0696190938771978,0.1259037954086755,3.5251231433184396,1.0646885330258884,0.1197916666666666,0.5620915032679739,459,258,1.0,L1
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,126,0.492063492063492,0.1406091892315908,0.0986830738724918,9.484430513839552,1.2074435652944293,0.2301587301587301,0.4084821428571428,448,183,1.0,L2
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,146,0.5,0.164494325123583,0.0814755105101669,9.484296993856884,1.202674769720369,0.25,0.7388392857142857,448,331,1.0,L2u
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1752480000000,1784070000000,8776,94,0.425531914893617,-0.0518877105191042,0.1597297890021627,-4.53594073112293,0.8902310511477161,0.0638297872340425,1.0,97,97,1.0,L0
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,130,0.4384615384615384,-0.0749201737096174,0.1990743883704893,-4.884272683226065,0.880856767652888,0.0961538461538461,1.0,216,216,1.0,L0r
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,108,0.4259259259259259,-0.0737723160823774,0.1869781159056906,-5.760755298707685,0.86518933040839,0.0648148148148148,0.6574074074074074,216,142,1.0,L1
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,78,0.4358974358974359,-0.0722017040990895,0.130000098359106,-7.998332343572341,0.8205872796841384,0.0897435897435897,0.5463414634146342,205,112,1.0,L2
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,90,0.4555555555555555,-0.0511132456571875,0.1535566199400096,-4.7175429012813055,0.8836870907820372,0.1388888888888889,0.7902439024390244,205,162,1.0,L2u
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1689292800000,1752476400000,17552,190,0.5105263157894737,0.3819888211937819,0.1263461568397646,14.404899570660076,1.3544183633660642,0.2763157894736842,1.0,197,197,1.0,L0
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,270,0.5148148148148148,0.6020379301971978,0.1118584247147009,14.687934969237125,1.3466613335157978,0.287037037037037,1.0,451,451,1.0,L0r
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,219,0.5205479452054794,0.5287475735757453,0.1305054526007644,16.22719509833554,1.4069046130140188,0.3013698630136986,0.5986696230598669,451,270,1.0,L1
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,157,0.5414012738853503,0.4075213738739175,0.070522487788583,18.42265497091264,1.472074651380978,0.3535031847133758,0.4645308924485126,437,203,1.0,L2
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,196,0.5408163265306123,0.5669608952644613,0.0808139792704531,19.278796619535292,1.4839778367646297,0.3520408163265306,0.7437070938215103,437,325,1.0,L2u
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1752480000000,1784070000000,8776,86,0.4534883720930232,-0.0243980212843964,0.0944988005753705,-1.9801756588824897,0.945625289430122,0.1337209302325581,1.0,90,90,1.0,L0
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,124,0.4435483870967742,-0.0473745149116779,0.1223082957822628,-2.917861702975165,0.9259217041230372,0.1088709677419354,1.0,211,211,1.0,L0r
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,101,0.4257425742574257,-0.0656271129723312,0.1263841864647488,-5.302059354305203,0.8767888835190384,0.0643564356435643,0.5876777251184834,211,124,1.0,L1
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,65,0.3846153846153846,-0.1123653640306533,0.1638821382098565,-16.15761561889305,0.6809697080448704,-0.0384615384615384,0.3990147783251231,203,81,1.0,L2
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,75,0.4266666666666667,-0.08180881037049,0.1533641847298068,-9.996045516800033,0.7875308370335955,0.0666666666666666,0.6798029556650246,203,138,1.0,L2u
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1689292800000,1752476400000,17552,147,0.5102040816326531,0.1197937471599041,0.0635726568481387,8.020352115131677,1.185154205661897,0.2755102040816326,1.0,164,164,1.0,L0
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,197,0.4771573604060913,0.0482872849322539,0.0845338988399829,2.8029959086736804,1.0532326943984038,0.1928934010152284,1.0,372,372,1.0,L0r
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,178,0.4775280898876404,0.0516018611013121,0.0624149288545404,3.2006326848914,1.0626371846948626,0.1938202247191011,0.6505376344086021,372,242,1.0,L1
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,133,0.4962406015037593,0.0768093213039583,0.0464928936836311,5.88895063408427,1.1292989053487976,0.2406015037593984,0.5305555555555556,360,191,1.0,L2
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,144,0.4861111111111111,0.0593262900576077,0.0585676881146633,4.390756485146214,1.090742487403335,0.2152777777777778,0.775,360,279,1.0,L2u
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1752480000000,1784070000000,8776,69,0.4057971014492754,-0.1057306057562718,0.1435855790353528,-20.01854378089694,0.625755884440737,0.0144927536231884,1.0,90,90,1.0,L0
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,98,0.4489795918367347,-0.0934669125541466,0.1574081073522475,-12.738395181640938,0.7358039285503847,0.1224489795918367,1.0,173,173,1.0,L0r
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,80,0.4375,-0.0851137834304774,0.144069069918097,-13.607648166033188,0.7210213867279528,0.09375,0.6763005780346821,173,117,1.0,L1
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,58,0.4137931034482758,-0.0752791475271622,0.1164104139170146,-16.477667671794162,0.6742293924875374,0.0344827586206896,0.5602409638554217,166,93,1.0,L2
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,65,0.4307692307692308,-0.0737961219822003,0.127483638409722,-14.47778969013626,0.7076373530917317,0.0769230769230769,0.7771084337349398,166,129,1.0,L2u
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1689292800000,1752479100000,70208,530,0.4867924528301887,0.055440494513579686,0.19388293166847542,3.2392082177784163,1.0276830381095323,0.2169811320754717,1.0,819,819,1.0,L0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,738,0.4959349593495935,0.19916727600801695,0.1649026376187309,6.762160668787818,1.0651821940476431,0.23983739837398374,1.0,1936,1936,1.0,L0r
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,623,0.5024077046548957,0.21352132547634065,0.14760042243545413,8.273474243155185,1.0827636153266058,0.25601926163723915,0.568698347107438,1936,1101,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,448,0.5200892857142857,0.3076258887556425,0.1078451203016651,15.102728940107843,1.1600119978267347,0.3002232142857143,0.46166134185303515,1878,867,1.0,L2
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,531,0.5178907721280602,0.3895838281702823,0.11448409325322606,15.678483058459877,1.1638283905295743,0.2947269303201507,0.7960596379126731,1878,1495,1.0,L2u
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1752480000000,1784072700000,35104,258,0.4263565891472868,-0.11613572980851186,0.15537099094892595,-10.831014911945164,0.8756265105676507,0.06589147286821706,1.0,410,410,1.0,L0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,357,0.4369747899159664,-0.14474807294863348,0.236319777086492,-9.669280989610785,0.8896348144426232,0.09243697478991597,1.0,947,947,1.0,L0r
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,317,0.42902208201892744,-0.16498567889668847,0.21958680899857488,-12.583141500984349,0.8606558867234724,0.07255520504731862,0.5881731784582893,947,557,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,232,0.4482758620689655,-0.06379353896112806,0.11859366684155816,-6.0089993172961185,0.9263706399747503,0.1206896551724138,0.4839067702552719,901,436,1.0,L2
