symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
BNB/USDT:USDT,4h,is,long,128,0.921875,0.37241671833299905,0.9375,0.90625,-0.03125,25.0,10.0,55.0,45.0,10,0.0,144.39809888179707,0.0775270702596276,1.0,1.5,1.475922072334809
BNB/USDT:USDT,4h,is,short,113,1.0,0.5107169103531365,1.0,1.0,0.0,38.0,20.0,57.5,37.5,0,,,,,,
BNB/USDT:USDT,4h,oos_warm,long,66,0.9696969696969697,0.3575284039389631,0.9696969696969697,0.9696969696969697,0.0,31.0,27.5,36.5,9.0,2,0.0,9.009813007279414,0.43578299549809574,0.5,0.7959121415497252,0.7707771750252407
BNB/USDT:USDT,4h,oos_warm,short,58,0.8448275862068966,0.31886437948365176,0.9310344827586207,0.7586206896551724,-0.1724137931034483,21.0,19.0,23.5,4.5,9,0.0,4.804828660436134,0.26152647975077986,0.7777777777777778,1.1803884971678007,1.155024546875408
XRP/USDT:USDT,4h,full,long,195,0.958974358974359,0.42228990441056824,0.9795918367346939,0.9381443298969072,-0.04144750683778664,21.0,12.0,26.0,14.0,8,0.0,75.4711956755825,0.4172254703649315,0.75,1.1661898753733655,1.142166519521286
XRP/USDT:USDT,4h,full,short,199,0.949748743718593,0.37078025983304663,0.93,0.9696969696969697,0.039696969696969675,26.0,23.0,34.0,11.0,10,0.0,6.673435077150026,0.31611373172910745,1.0,1.5,1.4775699430061937
XRP/USDT:USDT,4h,is,long,136,0.9705882352941176,0.4469081241960624,0.9705882352941176,0.9705882352941176,0.0,17.0,10.0,22.5,12.5,4,0.0,81.54250924636146,0.5748482989769771,1.0,1.5,1.4807359833907168
XRP/USDT:USDT,4h,is,short,132,1.0,0.40591883895187686,1.0,1.0,0.0,33.0,25.0,39.0,14.0,0,,,,,,
XRP/USDT:USDT,4h,oos_warm,long,59,0.9322033898305084,0.3521466303398731,1.0,0.8620689655172413,-0.13793103448275867,32.0,17.5,49.0,31.5,4,0.0,37.00783008553603,0.23303174455119358,0.5,0.832379750746731,0.8035970556518552
XRP/USDT:USDT,4h,oos_warm,short,67,0.8507462686567164,0.3317493824722064,0.8235294117647058,0.8787878787878788,0.05525846702317294,23.0,19.0,28.5,9.5,10,0.0,6.673435077150026,0.31611373172910745,1.0,1.5,1.4775699430061937
