symbol,timeframe,side,entry_time,exit_time,window_start,window_end
BTC/USDT:USDT,15m,long,1765418700000,1765420320000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1765555380000,1765556760000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1765557420000,1765559160000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1765810980000,1765811100000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1765813200000,1765813440000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1765893720000,1765893900000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1766165580000,1766165580000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1767717780000,1767721200000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1767803760000,1767812160000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1769015640000,1769017380000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1769442360000,1769443380000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1769699640000,1769701140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1769787120000,1769787240000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1770002460000,1770006360000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1770140580000,1770142620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1770908640000,1770909720000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1770910680000,1770912360000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1770913260000,1770915180000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1771162200000,1771177500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1771588680000,1771592580000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1772212560000,1772213400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1772721720000,1772722440000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1772726760000,1772760360000,1689292800000,1784073600000
