axis,timeframe,segment,bucket,lo,hi,n,share,stop_rate,mean_net_r,net_r_se,mean_stop_width
B_접근변동성,4h,oos_warm,Q3,0.9339352619336141,1.154455757023486,114,0.20917431192660552,0.5789473684210527,0.0008761371224491025,0.11809656608995896,0.023988968762382074
B_접근변동성,4h,oos_warm,Q4,1.154455757023486,1.473935650891049,93,0.1706422018348624,0.5161290322580645,0.15216815001965964,0.13325775263938303,0.02429027220078867
B_접근변동성,4h,oos_warm,Q5,1.473935650891049,5.514704028919873,109,0.2,0.6146788990825688,-0.07787494223949012,0.11876239733105447,0.02774877517342124
C_일봉추세,15m,is,Q1,-0.51257168997717,-0.1066285323480981,3024,0.19993388429752065,0.5720899470899471,-0.034633152903780405,0.023332193058797315,0.010992821310420195
C_일봉추세,15m,is,Q2,-0.1066285323480981,-0.028132645320025684,3025,0.2,0.5798347107438017,-0.08422165485706473,0.023512872531913236,0.007793142273124547
C_일봉추세,15m,is,Q3,-0.028132645320025684,0.042238656860656976,3024,0.19993388429752065,0.5710978835978836,-0.06033787242701949,0.023572533005899034,0.008066011918790132
C_일봉추세,15m,is,Q4,0.042238656860656976,0.15275985045389684,3027,0.20013223140495867,0.5675586389164189,-0.040552709396867614,0.023510717779455563,0.008917333542117477
C_일봉추세,15m,is,Q5,0.15275985045389684,3.7921649898504377,3025,0.2,0.5685950413223141,-0.010194938889430466,0.02324880885317843,0.01353706116748981
C_일봉추세,15m,oos_warm,Q1,-0.51257168997717,-0.1066285323480981,1538,0.22846108140225788,0.5663198959687906,-0.036658859451013305,0.032931080768104734,0.008720167155927383
C_일봉추세,15m,oos_warm,Q2,-0.1066285323480981,-0.028132645320025684,1748,0.25965537730243615,0.5543478260869565,-0.024685193455199508,0.031221025430751094,0.007134249388025938
C_일봉추세,15m,oos_warm,Q3,-0.028132645320025684,0.042238656860656976,1619,0.2404931669637552,0.6108709079678815,-0.18530207175167776,0.03195244223769746,0.006362541412344762
C_일봉추세,15m,oos_warm,Q4,0.042238656860656976,0.15275985045389684,1123,0.166815210932858,0.5672306322350846,-0.06176124678052445,0.03892285195819356,0.006879353388325669
C_일봉추세,15m,oos_warm,Q5,0.15275985045389684,3.7921649898504377,704,0.10457516339869281,0.5639204545454546,-0.01216242268954142,0.04847313963803529,0.010137789912689937
C_일봉추세,1h,is,Q1,-0.49001397268627966,-0.09699746188005681,864,0.2,0.5787037037037037,-0.008903599162016267,0.04293121799719262,0.02059662976737378
C_일봉추세,1h,is,Q2,-0.09699746188005681,-0.02646423837002949,864,0.2,0.5891203703703703,-0.05618833389718328,0.04307330929875331,0.014047425223758537
C_일봉추세,1h,is,Q3,-0.02646423837002949,0.03544522590018015,864,0.2,0.6099537037037037,-0.1124620998145633,0.042765286460925124,0.0140786971397076
C_일봉추세,1h,is,Q4,0.03544522590018015,0.136346775078118,863,0.1997685185185185,0.5561993047508691,0.03541506415218917,0.04335183099317243,0.015795278429609604
C_일봉추세,1h,is,Q5,0.136346775078118,2.857677604760505,865,0.20023148148148148,0.5641618497109827,0.03816482992680358,0.042923309530910905,0.02463568757918759
C_일봉추세,1h,oos_warm,Q1,-0.49001397268627966,-0.09699746188005681,400,0.20554984583761562,0.5475,0.05743119577645988,0.06403941996869011,0.01619352385346732
C_일봉추세,1h,oos_warm,Q2,-0.09699746188005681,-0.02646423837002949,473,0.24306269270298048,0.5496828752642706,0.04280165841335492,0.058935091910972515,0.013273107560710071
C_일봉추세,1h,oos_warm,Q3,-0.02646423837002949,0.03544522590018015,513,0.263617677286742,0.6510721247563352,-0.23845058664203478,0.05456582731448826,0.010938011440366652
C_일봉추세,1h,oos_warm,Q4,0.03544522590018015,0.136346775078118,359,0.18448098663926002,0.6155988857938719,-0.13523081790869565,0.06643589162383255,0.012315081880021376
C_일봉추세,1h,oos_warm,Q5,0.136346775078118,2.857677604760505,201,0.10328879753340185,0.5373134328358209,0.09401213592504044,0.09031497941943802,0.020228299443540352
C_일봉추세,2h,is,Q1,-0.4637098205164658,-0.09256545022974941,437,0.2,0.5995423340961098,-0.041776795660033866,0.05945196291507705,0.030877263344989987
C_일봉추세,2h,is,Q2,-0.09256545022974941,-0.024494414806773255,437,0.2,0.585812356979405,-0.028023859087447676,0.06043600935647124,0.020777036319028375
C_일봉추세,2h,is,Q3,-0.024494414806773255,0.03623643012026302,437,0.2,0.6109839816933639,-0.090795767263771,0.05941026654612689,0.0203779644002427
C_일봉추세,2h,is,Q4,0.03623643012026302,0.13563535878421615,437,0.2,0.5903890160183066,-0.029758305732501496,0.05996292062361123,0.023119921594943933
C_일봉추세,2h,is,Q5,0.13563535878421615,1.3226861924717586,437,0.2,0.5469107551487414,0.09427157530444058,0.060472235948625205,0.03510056552913302
C_일봉추세,2h,oos_warm,Q1,-0.4637098205164658,-0.09256545022974941,236,0.224976167778837,0.5805084745762712,-0.0022310441322605915,0.08212639844082675,0.023296694207026736
C_일봉추세,2h,oos_warm,Q2,-0.09256545022974941,-0.024494414806773255,250,0.23832221163012393,0.572,0.0008608860335739976,0.0804119333700541,0.018532673108448357
C_일봉추세,2h,oos_warm,Q3,-0.024494414806773255,0.03623643012026302,289,0.2755004766444233,0.5986159169550173,-0.07642596116910301,0.0741416556843282,0.015278969005994623
