symbol,timeframe,entry_ms,entry_utc,day,ordinal,chain_size,is_reentry,engine_entry,engine_take_profit,stop_price,net_r,tick_count,ohlc_match,solo_verdict,solo_outcome_ok,chain_verdict,chain_outcome_ok,fill_offset_s
DOGE/USDT:USDT,15m,1761167460000,2025-10-22 21:11,2025-10-22,1,1,False,0.184926978,0.1875624449999999,0.18317,1.3828931929648562,4031,True,인공물,False,인공물,False,59.155
DOGE/USDT:USDT,15m,1765117500000,2025-12-07 14:25,2025-12-07,1,1,False,0.134966988,0.13587747,0.13436,1.2541039606944318,3341,True,인공물,False,인공물,False,16.696
DOGE/USDT:USDT,15m,1765555080000,2025-12-12 15:58,2025-12-12,1,3,False,0.134966988,0.13587747,0.13436,1.254103960694432,2533,True,인공물,False,인공물,False,34.412
DOGE/USDT:USDT,15m,1765555080000,2025-12-12 15:58,2025-12-12,2,3,True,0.134966988,0.13587747,0.13436,1.2541039606944318,2533,True,인공물,False,인공물,False,
DOGE/USDT:USDT,15m,1765555080000,2025-12-12 15:58,2025-12-12,3,3,True,0.134966988,0.13587747,0.13436,1.2541039606944322,2533,True,인공물,False,인공물,False,
DOGE/USDT:USDT,15m,1767587160000,2026-01-05 04:26,2026-01-05,1,1,False,0.1490403637035826,0.1498209092589564,0.14852,1.183650251240541,1996,True,순서역전-성립,True,순서역전-성립,True,22.43
DOGE/USDT:USDT,15m,1767855660000,2026-01-08 07:01,2026-01-08,1,1,False,0.141498294,0.142680735,0.14071,1.3012368682839237,3430,False,인공물,False,인공물,False,28.816
DOGE/USDT:USDT,4h,1768577580000,2026-01-16 15:33,2026-01-16,1,1,False,0.1353496092104318,0.1361140230260795,0.13484,1.2065490248219255,1863,True,인공물,False,인공물,False,34.853
DOGE/USDT:USDT,4h,1770337140000,2026-02-06 00:19,2026-02-06,1,2,False,0.080476092,0.08209023,0.0794,1.4164011930634193,6314,True,인공물,False,인공물,False,48.204
DOGE/USDT:USDT,4h,1770337140000,2026-02-06 00:19,2026-02-06,2,2,True,0.080476092,0.08209023,0.0794,1.4164011930634193,6314,True,인공물,False,인공물,False,
DOGE/USDT:USDT,1h,1771478460000,2026-02-19 05:21,2026-02-19,1,1,False,0.0967193399999999,0.0974233499999999,0.09625,1.2720087818425945,2302,True,인공물,False,인공물,False,37.465
DOGE/USDT:USDT,15m,1774137660000,2026-03-22 00:01,2026-03-22,1,2,False,0.090248046,0.091070115,0.0897,1.3175436027687624,3388,True,인공물,False,인공물,False,33.0
DOGE/USDT:USDT,15m,1774137660000,2026-03-22 00:01,2026-03-22,2,2,True,0.090248046,0.091070115,0.0897,1.3175436027687624,3388,True,인공물,False,인공물,False,
DOGE/USDT:USDT,15m,1776192360000,2026-04-14 18:46,2026-04-14,1,1,False,0.0930185999999999,0.0936014999999999,0.09263,1.2353928211528689,1578,True,인공물,False,인공물,False,22.498
DOGE/USDT:USDT,15m,1778074080000,2026-05-06 13:28,2026-05-06,1,1,False,0.1135827119999999,0.1143967799999999,0.11304,1.2684761622297,4782,True,인공물,False,인공물,False,35.638
DOGE/USDT:USDT,15m,1778075220000,2026-05-06 13:47,2026-05-06,1,1,False,0.1112222399999999,0.1120355999999999,0.11068,1.273063438920038,6270,True,순서역전-성립,True,순서역전-성립,True,15.75
DOGE/USDT:USDT,15m,1778161620000,2026-05-07 13:47,2026-05-07,1,1,False,0.108101616,0.10895904,0.10753,1.2906607453395318,6262,True,순서역전-성립,True,순서역전-성립,True,52.09
DOGE/USDT:USDT,2h,1778161620000,2026-05-07 13:47,2026-05-07,1,1,False,0.1079215799999999,0.1092289499999999,0.10705,1.3624698533582753,6262,True,인공물,False,인공물,False,53.909
DOGE/USDT:USDT,15m,1779522600000,2026-05-23 07:50,2026-05-23,1,2,False,0.0972594479999999,0.0979786199999999,0.09678,1.2755480221504838,10676,True,순서역전-성립,True,순서역전-성립,True,52.091
DOGE/USDT:USDT,15m,1779522600000,2026-05-23 07:50,2026-05-23,2,2,True,0.0972594479999999,0.09797861999999974,0.09678,1.2755480221504838,10676,True,순서역전-성립,True,같은분아님,False,59.452
DOGE/USDT:USDT,15m,1780685520000,2026-06-05 18:52,2026-06-05,1,2,False,0.079735944,0.08023986,0.0794,1.2376139629581195,1691,True,인공물,False,인공물,False,51.684
DOGE/USDT:USDT,15m,1780685520000,2026-06-05 18:52,2026-06-05,2,2,True,0.079735944,0.08023986000000001,0.0794,1.237613962958119,1691,True,인공물,False,인공물,False,
DOGE/USDT:USDT,15m,1780685580000,2026-06-05 18:53,2026-06-05,1,2,True,0.079735944,0.08023986000000001,0.0794,1.2376139629581195,941,True,진짜,True,진짜,True,0.031
DOGE/USDT:USDT,15m,1780685580000,2026-06-05 18:53,2026-06-05,2,2,True,0.079735944,0.08023986000000001,0.0794,1.237613962958119,941,True,진짜,True,미체결,False,
DOT/USDT:USDT,15m,1724795280000,2024-08-27 21:48,2024-08-27,1,1,False,4.329865799999999,4.359664499999999,4.31,1.2589425405923973,1088,True,인공물,False,인공물,False,46.487
DOT/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,1,1,False,4.2588516,4.3156289999999995,4.221,1.3749069182227582,824,True,인공물,False,인공물,False,54.248
DOT/USDT:USDT,15m,1727803200000,2024-10-01 17:20,2024-10-01,1,1,False,4.0598118,4.110529500000001,4.026,1.3665963715596332,1177,True,인공물,False,인공물,False,27.561
DOT/USDT:USDT,15m,1729706580000,2024-10-23 18:03,2024-10-23,1,1,False,4.113822600000001,4.146556500000003,4.092,1.291324770710205,480,True,인공물,False,인공물,False,53.427
DOT/USDT:USDT,15m,1733128860000,2024-12-02 08:41,2024-12-02,1,1,False,8.5147026,8.622256499999999,8.443,1.3680487608719734,3046,True,진짜,True,진짜,True,1.047
DOT/USDT:USDT,15m,1733776740000,2024-12-09 20:39,2024-12-09,1,1,False,8.9137824,9.129456,8.77,1.4304682562761444,2546,True,인공물,False,인공물,False,53.847
DOT/USDT:USDT,2h,1736262900000,2025-01-07 15:15,2025-01-07,1,1,False,7.1994396,7.345598999999999,7.102,1.4173902817725088,2712,True,인공물,False,인공물,False,58.366
DOT/USDT:USDT,15m,1740595140000,2025-02-26 18:39,2025-02-26,1,1,False,4.695079195049975,4.717697987624938,4.68,1.156215038594942,630,True,인공물,False,인공물,False,49.928
DOT/USDT:USDT,15m,1740595200000,2025-02-26 18:40,2025-02-26,1,1,True,4.704831672561791,4.742079181404478,4.68,1.29027231577009,750,True,진짜,True,진짜,True,0.072
DOT/USDT:USDT,15m,1755482940000,2025-08-18 02:09,2025-08-18,1,1,False,3.935787,3.954967499999999,3.923,1.1601362980761716,546,True,인공물,False,인공물,False,35.947
