symbol,timeframe,segment,side,setups_no_band,setups_with_band,reject_rate,fill_rate_no_band,fill_rate_with_band,filled,path_proximal,path_band,r_shrink_median,qty_amp_median,stops,revert_10,revert_20,revert_50,fee_pct,funding_pct,funding_total,old_gate_pass_frac
SOL/USDT:USDT,15m,oos,long,887,862,0.028184892897407,1.0,0.7784222737819025,344,247,97,0.8240970725667013,1.2134492807812534,170,0.4647058823529412,0.5588235294117647,0.6882352941176471,0.0006004891463762467,-7.374479882062844e-06,-55.10294294908205,0.33430232558139533
SOL/USDT:USDT,15m,oos,short,823,792,0.0376670716889429,1.0,0.7651515151515151,296,220,76,0.8084293835477611,1.2369664195177303,158,0.5253164556962026,0.620253164556962,0.7088607594936709,0.0005997362159162257,-6.737824776440169e-06,-42.40245330757166,0.3277027027027027
BNB/USDT:USDT,15m,full,long,2365,2277,0.037209302325581395,1.0,0.7856829161176987,736,554,182,0.8376680863245697,1.1937902569354084,397,0.5088161209068011,0.6171284634760705,0.743073047858942,0.0006001476048460185,-1.5133766655582362e-05,-88.54932596464411,0.34646739130434784
BNB/USDT:USDT,15m,full,short,2474,2355,0.04810024252223122,1.0,0.7558386411889597,613,432,181,0.848091066644981,1.179118657570543,332,0.4819277108433735,0.5963855421686747,0.6918429003021148,0.0005999337831568438,7.399502091250482e-06,36.338639657152974,0.32300163132137033
BNB/USDT:USDT,15m,is,long,1554,1497,0.03667953667953672,1.0,0.7942551770207081,488,362,126,0.844698601868717,1.1838542147313982,260,0.5269230769230769,0.6461538461538462,0.7576923076923077,0.0006002224860910719,-2.20825317788435e-05,-93.76980060633791,0.3155737704918033
BNB/USDT:USDT,15m,is,short,1600,1512,0.05500000000000005,1.0,0.7533068783068783,409,283,126,0.8681350149066767,1.1518945588290763,225,0.48,0.6177777777777778,0.7244444444444444,0.0005999963635634178,1.4662438908951953e-05,52.32776484555313,0.32273838630806845
BNB/USDT:USDT,15m,oos,long,811,780,0.038224414303329235,1.0,0.7692307692307693,248,192,56,0.8307144389325349,1.2037830969749321,137,0.4744525547445255,0.5620437956204379,0.7153284671532847,0.0005999494645361513,3.2530867377964806e-06,5.2204746416937855,0.40725806451612906
BNB/USDT:USDT,15m,oos,short,874,843,0.035469107551487467,1.0,0.7603795966785291,204,149,55,0.7786441095633557,1.2842837796086009,107,0.48598130841121495,0.5514018691588785,0.6226415094339622,0.0005997673764260447,-1.1913277067292296e-05,-15.989125188400143,0.3235294117647059
XRP/USDT:USDT,15m,full,long,2507,2452,0.021938571998404433,1.0,0.7573409461663948,902,655,247,0.8356879642036851,1.1966188850797743,461,0.5206073752711496,0.6247288503253796,0.7483731019522777,0.0006003982517736865,1.8447583080010088e-05,209.25017173994428,0.2771618625277162
XRP/USDT:USDT,15m,full,short,2327,2226,0.04340352385045121,1.0,0.734052111410602,772,600,172,0.8154487396248632,1.2263186530400885,394,0.5050761421319797,0.6081424936386769,0.7430025445292621,0.0005997361377442661,-2.1302511442588845e-05,-209.6233693773163,0.3329015544041451
XRP/USDT:USDT,15m,is,long,1613,1590,0.014259144451332917,1.0,0.7603773584905661,580,432,148,0.8345210243949496,1.1982921589363518,298,0.5436241610738255,0.6577181208053692,0.7751677852348994,0.0006004781464674368,3.486892608051599e-05,233.63454060784937,0.2620689655172414
XRP/USDT:USDT,15m,is,short,1484,1427,0.03840970350404316,1.0,0.7463209530483532,495,383,112,0.8045528101238041,1.2429264896186498,245,0.5306122448979592,0.636734693877551,0.7714285714285715,0.0005996720704082257,-3.1773316255750756e-05,-183.07133097746507,0.3090909090909091
XRP/USDT:USDT,15m,oos,long,894,862,0.03579418344519014,1.0,0.7517401392111369,322,223,99,0.8461387141491385,1.1818393169795824,163,0.4785276073619632,0.5644171779141104,0.6993865030674846,0.0006002829447490234,-5.252316293853693e-06,-24.38436886790506,0.30434782608695654
XRP/USDT:USDT,15m,oos,short,843,799,0.0521945432977462,1.0,0.7121401752190237,277,217,60,0.8242966951002789,1.2131554159371536,149,0.46308724832214765,0.5608108108108109,0.6959459459459459,0.00059982664681754,-6.510217917901618e-06,-26.552038399851256,0.37545126353790614
TRX/USDT:USDT,15m,full,long,2199,2111,0.04001819008640295,1.0,0.7749881572714353,481,370,111,0.870972835591857,1.1481414335045987,284,0.38380281690140844,0.4894366197183099,0.6338028169014085,0.0005998761761287662,-6.043736819744303e-06,-19.084620030339124,0.45322245322245325
TRX/USDT:USDT,15m,full,short,2125,2027,0.046117647058823485,1.0,0.7508633448445979,360,256,104,0.8902778610935536,1.1232448246794227,226,0.45132743362831856,0.5442477876106194,0.6637168141592921,0.0006003542752081941,-3.178615489927319e-05,-71.02455343619633,0.38333333333333336
TRX/USDT:USDT,15m,is,long,1422,1362,0.04219409282700426,1.0,0.7701908957415565,357,273,84,0.8648504365654337,1.1562692897182125,210,0.37142857142857144,0.4666666666666667,0.5952380952380952,0.0005998643022864696,-2.4544513638364405e-08,-0.06379049858182817,0.42857142857142855
TRX/USDT:USDT,15m,is,short,1318,1253,0.04931714719271618,1.0,0.75658419792498,238,162,76,0.8909482535734576,1.1223996410444181,153,0.43790849673202614,0.5686274509803921,0.6862745098039216,0.0006003875938156284,-3.976477419905365e-05,-67.77838080473416,0.36554621848739494
TRX/USDT:USDT,15m,oos,long,777,749,0.036036036036036,1.0,0.7837116154873164,124,97,27,0.8783357026650641,1.1385168529137317,74,0.4189189189189189,0.5540540540540541,0.7432432432432432,0.0005999314032090892,-3.403993288353604e-05,-19.020829531757293,0.5241935483870968
TRX/USDT:USDT,15m,oos,short,807,774,0.040892193308550207,1.0,0.7416020671834626,122,94,28,0.8823354250449882,1.1333558322777444,73,0.4794520547945205,0.4931506849315068,0.6164383561643836,0.0006002471155817003,-6.125242576753183e-06,-3.2461726314621777,0.4180327868852459
