symbol,timeframe,segment,direction,entry_point,stop_variant,runway_atr,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,real_win_rate,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,runway_density_corr,buy_hold
BTC/USDT:USDT,4h,is,short,B_open,ob,,-0.1786629583943857,79,-0.2954955825412977,0.2150032345340174,0.3164556962025316,705,1952,0.0128235105784893,-0.138185214213011,0.1702838045367196,0.995,200,,,,4.737081522462245
BTC/USDT:USDT,4h,is,short,B_open,atr,,0.0195900407229068,94,0.0285880290675346,0.0714415448932197,0.4361702127659574,0,1952,,,,,0,,,,4.737081522462245
BTC/USDT:USDT,4h,is,both,A_close,ob,,-0.1183205845104024,149,-0.1037462169096461,0.2046075396957511,0.4026845637583892,1449,1952,0.0271162479963661,-0.1733751468083987,0.2348607483741492,0.935,200,,,,4.737081522462245
BTC/USDT:USDT,4h,is,both,A_close,atr,,0.0068828902057744,181,0.0120995853625433,0.1077308831448961,0.43646408839779,0,1952,,,,,0,,,,4.737081522462245
BTC/USDT:USDT,4h,is,both,B_open,ob,,-0.0955837767690967,158,-0.0813683287318991,0.1723434395341104,0.4113924050632911,1449,1952,0.0786938840978041,-0.1698204231505631,0.3299376038676679,0.945,200,,,,4.737081522462245
BTC/USDT:USDT,4h,is,both,B_open,atr,,0.05130224286886,186,0.035200088799235,0.1077310452099599,0.4462365591397849,0,1952,,,,,0,,,,4.737081522462245
BTC/USDT:USDT,4h,oos_warm,long,A_close,ob,,-0.0827680984754535,38,-0.2448706311499658,0.1328521291965937,0.3684210526315789,344,2904,-0.0606317544794582,-0.1450794785026515,0.0215995513311043,0.645,200,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,long,A_close,atr,,-0.052878306655589,43,-0.119277319636248,0.1155329383466439,0.3953488372093023,0,2904,,,,,0,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,long,B_open,ob,,-0.0672648327104656,41,-0.1853537000071387,0.1326338436280141,0.3902439024390244,344,2904,-0.056824535384439,-0.1483243566435985,0.0467303051254355,0.57,200,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,long,B_open,atr,,-0.000869247752591,47,0.0053647455798083,0.1039410844658874,0.4468085106382978,0,2904,,,,,0,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,short,A_close,ob,,0.0097693088441084,40,-0.0197834898256945,0.0506166600399927,0.45,363,2904,-0.007725767348583,-0.1027381407517552,0.0958810563288007,0.385,200,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,short,A_close,atr,,0.1057390632801818,43,0.2506272603832893,0.0493114547456526,0.5348837209302325,0,2904,,,,,0,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,short,B_open,ob,,0.0366868904079919,42,0.0439144427260349,0.0418861250627164,0.4761904761904761,363,2904,0.0141223325885366,-0.1021732287637474,0.1261386170436173,0.345,200,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,short,B_open,atr,,0.1211561571426136,44,0.2765521358277383,0.0495429269312049,0.5454545454545454,0,2904,,,,,0,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,both,A_close,ob,,-0.0738073767477913,78,-0.1294413279067498,0.1404163784918799,0.4102564102564102,707,2904,-0.0675467990547366,-0.1980274656323881,0.0794259772200141,0.505,200,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,both,A_close,atr,,0.070391506507286,84,0.0930950621588722,0.0565208725467684,0.4761904761904761,0,2904,,,,,0,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,both,B_open,ob,,-0.033045679848435,83,-0.0693384952505931,0.1394183448332878,0.4337349397590361,707,2904,-0.0390789405623153,-0.172360875536499,0.0941831219473444,0.44,200,,,,0.0802191530647187
BTC/USDT:USDT,4h,oos_warm,both,B_open,atr,,0.1449569819615215,89,0.1640015315597188,0.0526579345629856,0.5056179775280899,0,2904,,,,,0,,,,0.0802191530647187
ETH/USDT:USDT,2h,is,long,A_close,ob,,-0.1447398083197993,151,-0.1079131574885117,0.2621080880150753,0.4105960264900662,1397,3744,-0.0737614033140238,-0.2594652423245848,0.1520031727705758,0.76,200,,,,6.136823335285038
ETH/USDT:USDT,2h,is,long,A_close,atr,,0.0920903681601083,170,0.0590207960601308,0.1159652444135578,0.4647058823529412,0,3744,,,,,0,,,,6.136823335285038
ETH/USDT:USDT,2h,is,long,B_open,ob,,-0.1084002103162278,155,-0.0726350396104855,0.2526262725517057,0.4258064516129032,1398,3744,-0.077842638212551,-0.267778123144676,0.1247826908805689,0.605,200,,,,6.136823335285038
ETH/USDT:USDT,2h,is,long,B_open,atr,,0.1288143327796655,176,0.0760661272174713,0.1219292865178096,0.4715909090909091,0,3744,,,,,0,,,,6.136823335285038
ETH/USDT:USDT,2h,is,short,A_close,ob,,-0.217357362465785,150,-0.1978158582741115,0.3136564203555071,0.3666666666666666,1357,3744,-0.0538333456956673,-0.2275961040214183,0.157450412469484,0.97,200,,,,6.136823335285038
ETH/USDT:USDT,2h,is,short,A_close,atr,,0.0270440717216086,181,0.0153874566918688,0.1757222121560041,0.43646408839779,0,3744,,,,,0,,,,6.136823335285038
ETH/USDT:USDT,2h,is,short,B_open,ob,,-0.2247165903828206,155,-0.1920975839292046,0.3219060916585183,0.3677419354838709,1357,3744,-0.0578893213133594,-0.2884365096692853,0.2087292815362598,0.975,200,,,,6.136823335285038
ETH/USDT:USDT,2h,is,short,B_open,atr,,-0.0267937935637262,186,-0.0138213319954608,0.2041051497127425,0.4247311827956989,0,3744,,,,,0,,,,6.136823335285038
ETH/USDT:USDT,2h,is,both,A_close,ob,,-0.3127887745524405,292,-0.1487103194460101,0.4280457850650621,0.3904109589041096,2754,3744,-0.0968880134322675,-0.3291139941796184,0.2380033601204229,0.965,200,,,,6.136823335285038
ETH/USDT:USDT,2h,is,both,A_close,atr,,0.0840587767117895,343,0.0270717618778713,0.2061375258838383,0.446064139941691,0,3744,,,,,0,,,,6.136823335285038
ETH/USDT:USDT,2h,is,both,B_open,ob,,-0.3126310698035122,299,-0.13775194888053,0.4272007261974293,0.3946488294314381,2755,3744,-0.1209840556144138,-0.3289070086458524,0.1569758285523315,0.955,200,,,,6.136823335285038
ETH/USDT:USDT,2h,is,both,B_open,atr,,0.0767997049196805,355,0.0245028145543443,0.2264840734984108,0.4450704225352113,0,3744,,,,,0,,,,6.136823335285038
ETH/USDT:USDT,2h,oos_warm,long,A_close,ob,,-0.0816112880633627,79,-0.1191916862949965,0.1217255689294282,0.4050632911392405,774,5776,-0.0720488566120051,-0.1973094468705616,0.0451346455596072,0.565,200,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,long,A_close,atr,,-0.117655283073053,91,-0.1304648003993785,0.194309440676592,0.3846153846153846,0,5776,,,,,0,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,long,B_open,ob,,-0.0883838751614548,82,-0.1249011272542036,0.1215518908055332,0.4024390243902439,774,5776,-0.0849031587319554,-0.2282973209828212,0.0542210058303877,0.53,200,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,long,B_open,atr,,-0.1005607792537914,96,-0.103270534788461,0.1830441409106794,0.3958333333333333,0,5776,,,,,0,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,short,A_close,ob,,0.0535912362612658,89,0.0361918233150917,0.0985915422209776,0.4606741573033708,884,5776,0.004659864981405,-0.1526954006317099,0.1606507038476938,0.255,200,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,short,A_close,atr,,0.0770496971943892,106,0.0774847785559264,0.0898708712477532,0.4622641509433962,0,5776,,,,,0,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,short,B_open,ob,,0.0808560300955698,94,0.0539190719636054,0.0858682316331966,0.4680851063829787,883,5776,0.0489332748645469,-0.1134041979446545,0.2300197420320146,0.365,200,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,short,B_open,atr,,0.1421209531561146,112,0.1261887393270677,0.0898531244567816,0.4821428571428571,0,5776,,,,,0,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,both,A_close,ob,,-0.0014434329419038,165,-0.0185635684894184,0.1511112956217726,0.4424242424242424,1658,5776,-0.0684761850601181,-0.2351642096318894,0.1261025220073317,0.24,200,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,both,A_close,atr,,-0.0445238326794909,192,-0.0164194061263297,0.1931336719782505,0.4270833333333333,0,5776,,,,,0,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,both,B_open,ob,,0.0060566103629374,174,-0.0178285867019487,0.1478457454058676,0.4425287356321839,1657,5776,-0.0254467183581908,-0.2254984954308433,0.2075490721468266,0.395,200,,,,-0.2809501867481839
ETH/USDT:USDT,2h,oos_warm,both,B_open,atr,,0.0457469843061864,204,0.0292940079686311,0.1789360377045823,0.446078431372549,0,5776,,,,,0,,,,-0.2809501867481839
ETH/USDT:USDT,4h,is,long,A_close,ob,,-0.0890402176534238,84,-0.1241261316259144,0.1641985495842044,0.3928571428571428,768,1984,-0.0102644037319004,-0.1621995537310798,0.1481716135193912,0.835,200,,,,6.128286238337011
ETH/USDT:USDT,4h,is,long,A_close,atr,,-0.0493927843038432,88,-0.0502490199376495,0.0998470001464968,0.4090909090909091,0,1984,,,,,0,,,,6.128286238337011
ETH/USDT:USDT,4h,is,long,B_open,ob,,-0.0974932245714171,85,-0.1333510878231741,0.1725163702426818,0.388235294117647,768,1984,-0.0264827950847791,-0.2048392888710121,0.1422379737984778,0.79,200,,,,6.128286238337011
ETH/USDT:USDT,4h,is,long,B_open,atr,,-0.0589341362060295,89,-0.0609504741329319,0.1090343083084553,0.4044943820224719,0,1984,,,,,0,,,,6.128286238337011
ETH/USDT:USDT,4h,is,short,A_close,ob,,-0.1003787533252463,78,-0.150631946638577,0.1799258960701841,0.3717948717948718,691,1984,0.0002144581472939,-0.1498672060038247,0.1371256475652673,0.92,200,,,,6.128286238337011
ETH/USDT:USDT,4h,is,short,A_close,atr,,0.087786419526796,89,0.102158912763556,0.1158861518848092,0.4606741573033708,0,1984,,,,,0,,,,6.128286238337011
ETH/USDT:USDT,4h,is,short,B_open,ob,,-0.0889941057711466,79,-0.1329120039827351,0.1689915783344063,0.379746835443038,691,1984,-0.0060375033231085,-0.1629115810557832,0.158912790295758,0.88,200,,,,6.128286238337011
ETH/USDT:USDT,4h,is,short,B_open,atr,,0.0866181858933854,89,0.1009483218385181,0.1162814208553614,0.4606741573033708,0,1984,,,,,0,,,,6.128286238337011
