symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
XRP/USDT:USDT,1h,is,long_only,baseline,0.3571219775859183,85,85,0,168,0.1179850322317443,-0.0230310151686435,0.2551579180553203,0.0,200,0,2.7753382690834822
XRP/USDT:USDT,1h,is,short_only,baseline,0.3183200036103703,89,0,89,162,0.1864488150964643,0.0448614057759827,0.3167317979416986,0.02,200,0,2.7753382690834822
XRP/USDT:USDT,1h,is,both,baseline,0.7891210503907805,174,85,89,330,0.330075426933534,0.1402614763244569,0.5883826217703796,0.0,200,0,2.7753382690834822
XRP/USDT:USDT,1h,oos,long_only,baseline,0.0010710319663105,46,46,0,116,0.0098913325714442,-0.0890222774891564,0.1127721364191927,0.585,200,0,-0.6271351387630457
XRP/USDT:USDT,1h,oos,short_only,baseline,0.0779896649846063,46,0,46,83,0.0793026489725543,0.0039520701959418,0.164240018079945,0.505,200,0,-0.6271351387630457
XRP/USDT:USDT,1h,oos,both,baseline,0.084357322860768,91,46,45,199,0.0941061885467414,-0.0305624171560417,0.223415699905903,0.515,200,0,-0.6271351387630457
TRX/USDT:USDT,1h,is,long_only,baseline,0.0783182247881846,57,57,0,124,0.0411500632268271,-0.0220123600835708,0.1145912477512916,0.17,200,0,2.7044954800879553
TRX/USDT:USDT,1h,is,short_only,baseline,-0.021574048854027,47,0,47,149,-0.0515767456508822,-0.1165870307634491,0.0127361589903457,0.185,200,0,2.7044954800879553
TRX/USDT:USDT,1h,is,both,baseline,0.055054534726418,104,57,47,273,-0.0188481458012173,-0.1197256186125745,0.0971203722750946,0.12,200,0,2.7044954800879553
TRX/USDT:USDT,1h,oos,long_only,baseline,0.0172520096458074,31,31,0,91,0.0039439676088827,-0.0372260067904717,0.0442144386166804,0.255,200,0,0.0743428213331574
TRX/USDT:USDT,1h,oos,short_only,baseline,0.0194926743740983,28,0,28,83,0.0157334564721475,-0.0223049585992283,0.0519810251033715,0.43,200,0,0.0743428213331574
TRX/USDT:USDT,1h,oos,both,baseline,0.0370809718262296,59,31,28,174,0.0199392503973484,-0.0323963561851975,0.0716138142534011,0.29,200,0,0.0743428213331574
BTC/USDT:USDT,15m,is,long_only,baseline,0.14718666894722737,193,193,0,744,0.026747438364551672,-0.08292953380340695,0.13754334444752586,0.02,200,0,2.900357839741186
BTC/USDT:USDT,15m,is,short_only,baseline,0.018306273824378515,131,0,131,687,-0.025782168619070428,-0.09807643036683439,0.04414425294305274,0.11,200,0,2.900357839741186
BTC/USDT:USDT,15m,is,both,baseline,0.16818738223664914,324,193,131,1431,-0.006917891516782038,-0.11655577598599902,0.13271607527116994,0.01,200,0,2.900357839741186
BTC/USDT:USDT,15m,oos,long_only,baseline,0.015894403381469965,61,61,0,340,-0.023093431240518488,-0.07457734238939956,0.02556722867588469,0.065,200,0,-0.46876948255955997
BTC/USDT:USDT,15m,oos,short_only,baseline,0.002199820298386112,61,0,61,389,0.006780132416074646,-0.04230858066592791,0.05428002317508599,0.59,200,0,-0.46876948255955997
BTC/USDT:USDT,15m,oos,both,baseline,0.018129188511046414,122,61,61,729,-0.019946062456305227,-0.08278312912294933,0.0447516192992056,0.12,200,0,-0.46876948255955997
ETH/USDT:USDT,15m,is,long_only,baseline,0.23863109400441118,249,249,0,749,0.0746764274455649,-0.06959988773560945,0.2140922922140413,0.01,200,0,0.5135007458975633
ETH/USDT:USDT,15m,is,short_only,baseline,0.0071954388073512746,246,0,246,757,-0.03902165450017987,-0.1487057678414527,0.084510049885224,0.23,200,0,0.5135007458975633
ETH/USDT:USDT,15m,is,both,baseline,0.2475435882461992,495,249,246,1506,0.020721173737930053,-0.14210546585583705,0.21400190320558887,0.015,200,0,0.5135007458975633
ETH/USDT:USDT,15m,oos,long_only,baseline,0.06718849207587227,139,139,0,410,0.04418942604312723,-0.04666171924958671,0.14853743355567203,0.35,200,0,-0.37563719922875793
ETH/USDT:USDT,15m,oos,short_only,baseline,0.10471481161837747,112,0,112,347,0.025078221115461197,-0.0583958179218851,0.12369081805084661,0.05,200,0,-0.37563719922875793
ETH/USDT:USDT,15m,oos,both,baseline,0.17893893398489671,251,139,112,757,0.07581513978194193,-0.06378863512947847,0.225457200763694,0.08,200,0,-0.37563719922875793
SOL/USDT:USDT,15m,is,long_only,baseline,0.9153052328099762,425,425,0,867,0.2234207926783236,-0.030317703709319722,0.45919621273406447,0.0,200,0,5.425963644748473
SOL/USDT:USDT,15m,is,short_only,baseline,0.17824192387214935,386,0,386,875,-0.03236697465875318,-0.2486903104573431,0.17339250959868405,0.025,200,0,5.425963644748473
SOL/USDT:USDT,15m,is,both,baseline,1.25669292230842,811,425,386,1742,0.17550788857105623,-0.13282546746303997,0.5685551212298345,0.0,200,0,5.425963644748473
SOL/USDT:USDT,15m,oos,long_only,baseline,0.32535311191140026,178,178,0,384,0.18486753233433625,0.0699151347304005,0.3213351732966423,0.025,200,0,-0.5328090292369574
SOL/USDT:USDT,15m,oos,short_only,baseline,-0.012900414565341271,138,0,138,386,0.008760895727379243,-0.09730042558031618,0.12919833959371482,0.62,200,0,-0.5328090292369574
SOL/USDT:USDT,15m,oos,both,baseline,0.30825550732227874,316,178,138,770,0.19281584909553262,0.018928352173535314,0.3713213654473662,0.115,200,0,-0.5328090292369574
BNB/USDT:USDT,15m,is,long_only,baseline,0.038369694498998796,182,182,0,654,-0.04126292142025477,-0.14646850889353463,0.04613704715391414,0.05,200,0,1.7524629103228069
