symbol,timeframe,segment,fill,cost_multiplier,total_return,num_trades,win_rate
SOL/USDT:USDT,4h,OOS,pen_5bp,2.0,0.09425641903834567,19,0.631578947368421
SOL/USDT:USDT,1d,IS,baseline,1.0,-0.0012129359407110315,5,0.4
SOL/USDT:USDT,1d,IS,baseline,1.5,-0.0015432787356927293,5,0.4
SOL/USDT:USDT,1d,IS,baseline,2.0,-0.0018734800847514635,5,0.4
SOL/USDT:USDT,1d,IS,pen_5bp,1.0,-0.0012123190445992805,5,0.4
SOL/USDT:USDT,1d,IS,pen_5bp,1.5,-0.0015426620192916744,5,0.4
SOL/USDT:USDT,1d,IS,pen_5bp,2.0,-0.0018728635479923468,5,0.4
SOL/USDT:USDT,1d,OOS,baseline,1.0,-0.02001887621423939,2,0.0
SOL/USDT:USDT,1d,OOS,baseline,1.5,-0.020137122852600442,2,0.0
SOL/USDT:USDT,1d,OOS,baseline,2.0,-0.020255342966388163,2,0.0
SOL/USDT:USDT,1d,OOS,pen_5bp,1.0,-0.02001887621423939,2,0.0
SOL/USDT:USDT,1d,OOS,pen_5bp,1.5,-0.020137122852600442,2,0.0
SOL/USDT:USDT,1d,OOS,pen_5bp,2.0,-0.020255342966388163,2,0.0
