segment,axis,bucket,metric,conditional,num_bars,p25,p50,p75,p90,p99,share_above_5bp,percentile_of_5bp
full,symbol,DOT/USDT:USDT,bar_range_bp,True,2647,43.03023440154032,80.56394763343411,205.36083773340064,496.273382724407,1129.4439319666,1.0,0.0
full,symbol,DOT/USDT:USDT,adverse_bp,True,2647,7.373514936752576,21.5568862275436,64.04518348078618,180.38052878675444,606.1289586721165,0.8050623347185493,0.1949376652814507
full,symbol,DOT/USDT:USDT,bar_range_bp,False,3074948,8.017987866167925,13.259668508285833,21.253985122211382,32.92354885015525,76.50409699011259,0.8966057312188694,0.1033942687811306
full,symbol,ETH/USDT:USDT,bar_range_bp,True,2510,45.664727856123925,78.93592112790105,156.3446045886849,358.14519418609683,2551.185534369943,1.0,0.0
full,symbol,ETH/USDT:USDT,adverse_bp,True,2510,8.40177907309206,23.655261387075527,52.85936660313563,129.37581693402876,686.270186362794,0.8298804780876494,0.1701195219123506
full,symbol,ETH/USDT:USDT,bar_range_bp,False,3074948,5.1585332648158495,9.095526555869126,15.474502934380464,25.03747705211586,61.41566241626531,0.76126165385561,0.23873834614439007
full,symbol,LINK/USDT:USDT,bar_range_bp,True,2547,41.6094388940695,78.46410684474074,180.15690840978127,550.8138464955412,2267.767920872846,0.9996073812328229,0.00039261876717707107
full,symbol,LINK/USDT:USDT,adverse_bp,True,2547,7.016091697003077,20.388582393858794,60.27566414721069,188.8767359835702,1063.9669012018953,0.806438947781704,0.19356105221829603
full,symbol,LINK/USDT:USDT,bar_range_bp,False,3074948,8.129639985749215,13.285253368760054,21.496238158321923,33.44609605659241,75.13772132577547,0.9044400100424462,0.09555998995755376
full,symbol,LTC/USDT:USDT,bar_range_bp,True,2668,43.29409268704908,85.73531488348364,209.98719552102605,576.743803394795,3248.112977842707,0.9996251874062968,0.0003748125937031484
full,symbol,LTC/USDT:USDT,adverse_bp,True,2668,7.92393026941393,23.69432030334444,69.29959109135837,227.29630082517514,1348.8260079965141,0.8219640179910045,0.1780359820089955
