arm,segment,timeframe,tap_class,taps,zones,first_fill_on_retap_share,share_filled,share_never_rested,share_no_touch,share_cancelled_expired,share_cancelled_invalidated,share_cancelled_condition_failed
zone_top,full,all,retap,63526,50086,0.01363684941754836,0.9656990838396877,0.022982715738437805,0.0,0.006375342379498159,0.0049428580423763495,0.0
zone_top,full,15m,first_tap,35143,35143,0.0133966630130313,0.9220612924337706,0.05713797911390604,0.0,0.01311783285433799,0.007682895597985374,0.0
zone_top,full,15m,retap,44568,35143,0.0133966630130313,0.9657153114342129,0.022863938251660384,0.0,0.006619098905043978,0.00480165140908275,0.0
zone_top,full,1h,first_tap,8567,8567,0.014364226829877591,0.921092564491654,0.058130033850822924,0.0,0.013773783121279328,0.007003618536243726,0.0
zone_top,full,1h,retap,10968,8567,0.014364226829877591,0.9651714077315828,0.02324945295404814,0.0,0.006291028446389497,0.005288110867979577,0.0
zone_top,full,2h,first_tap,4222,4222,0.013181242078580482,0.9220748460445286,0.0556608242539081,0.0,0.013263855992420654,0.009000473709142587,0.0
zone_top,full,2h,retap,5329,4222,0.013181242078580482,0.9645336836179396,0.024394820791893413,0.0,0.004128354287858885,0.0069431413023081255,0.0
zone_top,full,4h,first_tap,2154,2154,0.015577889447236181,0.9094707520891365,0.06731662024141133,0.0,0.015784586815227482,0.007428040854224698,0.0
zone_top,full,4h,retap,2661,2154,0.015577889447236181,0.9699361142427658,0.021044720030063885,0.0,0.007140172867343104,0.0018789928598271326,0.0
zone_top,is,all,first_tap,33355,33355,0.012768817204301076,0.9248688352570829,0.05522410433218408,0.0,0.012681756858042273,0.007225303552690751,0.0
zone_top,is,all,retap,42646,33355,0.012768817204301076,0.9710406603198424,0.019439103315668525,0.0,0.005463583923462927,0.004056652441026122,0.0
zone_top,is,15m,first_tap,23361,23361,0.012981076880884908,0.9243611146783101,0.05530585163306365,0.0,0.012884722400582168,0.007448311288044176,0.0
zone_top,is,15m,retap,29944,23361,0.012981076880884908,0.9703446433342239,0.019603259417579483,0.0,0.005810846914239914,0.004241250333956719,0.0
zone_top,is,1h,first_tap,5741,5741,0.01242812094231126,0.927364570632294,0.054694304128200665,0.0,0.01201881205364919,0.005922313185856122,0.0
zone_top,is,1h,retap,7265,5741,0.01242812094231126,0.9710942876806608,0.019408121128699243,0.0,0.0057811424638678595,0.0037164487267721956,0.0
zone_top,is,2h,first_tap,2808,2808,0.010606060606060607,0.9301994301994302,0.05128205128205128,0.0,0.010683760683760684,0.007834757834757835,0.0
zone_top,is,2h,retap,3596,2808,0.010606060606060607,0.9738598442714127,0.019744160177975527,0.0,0.001946607341490545,0.004449388209121246,0.0
zone_top,is,4h,first_tap,1445,1445,0.014936519790888723,0.91280276816609,0.06366782006920416,0.0,0.01591695501730104,0.007612456747404845,0.0
zone_top,is,4h,retap,1841,1445,0.014936519790888723,0.9766431287343835,0.016295491580662683,0.0,0.005431830526887561,0.0016295491580662683,0.0
zone_top,oos_warm,all,first_tap,16731,16808,0.015382635000321812,0.9143506066582989,0.062399139322216246,0.0,0.014703245472476242,0.008547008547008548,0.0
zone_top,oos_warm,all,retap,20880,16808,0.015382635000321812,0.9547892720306513,0.030220306513409963,0.0,0.008237547892720307,0.006752873563218391,0.0
zone_top,oos_warm,15m,first_tap,11782,11823,0.014225788801750867,0.917501273128501,0.06077066711933458,0.0,0.0135800373451027,0.00814802240706162,0.0
zone_top,oos_warm,15m,retap,14624,11823,0.014225788801750867,0.9562363238512035,0.02954048140043764,0.0,0.008274070021881838,0.0059491247264770244,0.0
zone_top,oos_warm,1h,first_tap,2826,2841,0.01835564053537285,0.9083510261854211,0.06510969568294409,0.0,0.017338995046001414,0.009200283085633405,0.0
zone_top,oos_warm,1h,retap,3703,2841,0.01835564053537285,0.9535511747231974,0.03078584931136916,0.0,0.007291385363219011,0.00837159060221442,0.0
zone_top,oos_warm,2h,first_tap,1414,1423,0.01839080459770115,0.905940594059406,0.06435643564356436,0.0,0.018387553041018388,0.011315417256011316,0.0
zone_top,oos_warm,2h,retap,1733,1423,0.01839080459770115,0.9451817657241778,0.034045008655510675,0.0,0.008655510675129832,0.012117714945181766,0.0
zone_top,oos_warm,4h,first_tap,709,721,0.016897081413210446,0.9026798307475318,0.07475317348377997,0.0,0.015514809590973202,0.007052186177715092,0.0
zone_top,oos_warm,4h,retap,820,721,0.016897081413210446,0.9548780487804878,0.03170731707317073,0.0,0.01097560975609756,0.0024390243902439024,0.0
