symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752476400000,17552,189,0.455026455026455,-0.03915680533094037,0.15542012595735794,-1.4235589489758644,0.9576779504416705,0.13756613756613756,0.616,375,231,1.0,L1
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752476400000,17552,108,0.48148148148148145,0.003662621859716819,0.060487915367461696,0.7870919747831058,1.0068748835640555,0.2037037037037037,0.328,375,123,1.0,L1
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752476400000,17552,98,0.3877551020408163,-0.11517066843619286,0.149686421106371,-10.674118477932682,0.7771316021711399,-0.030612244897959183,0.30666666666666664,375,115,1.0,L1
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752476400000,17552,100,0.43,-0.07094474495261092,0.13162553221343956,-6.13997198703611,0.8646465285812999,0.075,0.2986666666666667,375,112,1.0,L1
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752476400000,17552,105,0.4,-0.1525261264533712,0.22677474956947796,-14.328826766868831,0.7121794723848501,0.0,0.328,375,123,1.0,L1
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752476400000,17552,100,0.46,-0.031142939704065793,0.1086035911767691,-2.316308723643575,0.9393058303171417,0.15,0.30133333333333334,375,113,1.0,L1
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752476400000,17552,132,0.4772727272727273,0.027812385871039805,0.10451718031183485,2.3393277882774743,1.0419904496800518,0.19318181818181818,0.5118343195266272,338,173,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752476400000,17552,127,0.47244094488188976,0.010599573636513013,0.09930370764025843,1.2256480352740449,1.0166668399218959,0.18110236220472442,0.4822485207100592,338,163,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752476400000,17552,78,0.44871794871794873,-0.021108948813593452,0.11143576196032311,-1.895658597662622,0.9494287634491003,0.12179487179487179,0.27218934911242604,338,92,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752476400000,17552,68,0.4117647058823529,-0.08552344293634015,0.11034227576906278,-11.45408958468614,0.7636547246193552,0.029411764705882353,0.23964497041420119,338,81,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752476400000,17552,71,0.4788732394366197,-0.005528358920760184,0.11312402872238497,-0.23664771342608767,0.9837816570394149,0.19718309859154928,0.2514792899408284,338,85,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752476400000,17552,75,0.4533333333333333,0.0012340201492324922,0.08380784424420486,0.6503751058440727,1.0030768958163652,0.13333333333333333,0.257396449704142,338,87,1.0,L2
