arm,segment,scope,timeframe,n,tp_on_tp,tp_on_tp_broke_share,tp_on_stop,tp_on_stop_broke_share,tp_on_stop_break_r_p25,tp_on_stop_break_r_median,tp_on_stop_break_r_p75,tp_on_stop_minutes_to_exit_median,tp_on_stop_bars_to_exit_median,no_tp_broke_share,no_tp_break_r_median,no_tp_break_mfe_r_median,closed,stop_cut,stop_saved_gross_mean,stop_saved_net_mean,tp_cut,tp_lost_gross_mean,tp_lost_net_mean,delta_gross_r,delta_net_r,bad_days_stop,bad_days_stop_broke_share
band,is,first_fill,1h,4723,1987,0.04831404126824358,2736,0.09722222222222222,-0.7292290266721656,-0.5336205927362153,-0.21122865021481194,76.5,1.275,0.18420495447808596,0.0625435340179312,1.97775691167937,4723,266,0.554297872164268,0.5537990040793196,96,1.4448244416583558,1.494380498856417,0.0018505372848810315,0.000815161379395083,0,
band,is,first_fill,2h,2361,974,0.050308008213552365,1387,0.09516943042537851,-0.6758201995764002,-0.5437705586902517,-0.3040943173960651,190.0,1.5833333333333333,0.18466751376535367,-0.0515200283822395,1.9441781437599315,2361,132,0.5297933133581256,0.5293164993761036,49,1.575807861332758,1.6166800362107419,-0.003084230343935855,-0.0039591460638207,0,
band,is,first_fill,4h,1203,525,0.05333333333333334,678,0.10176991150442478,-0.6641649069979007,-0.4785314625698357,-0.1704643762458735,427.0,1.7791666666666666,0.18952618453865336,0.021377572723300653,1.8354779401452221,1203,69,0.5981970393401288,0.5976586620047225,28,1.2730260488935206,1.307262905270157,0.004680686903948718,0.0038529395933179222,0,
band,is,all,all,54468,21831,0.0391644908616188,32637,0.08628244017526121,-0.763609800466491,-0.5699597118118731,-0.30482356870932725,40.0,,0.16571197767496512,-0.0455373362437391,2.064902132061808,54468,2816,0.5135808796342958,0.5131186568426256,855,1.4857360254315135,1.5578172470412217,0.003230143484362065,0.002074766678574378,0,
band,is,all,15m,36583,14699,0.037689638750935436,21884,0.08458234326448547,-0.7562290745985842,-0.5572406044209163,-0.3008983821260706,24.0,1.6,0.16425662192821802,-0.0456854281681949,2.0886838346009933,36583,1851,0.5222003812394456,0.5217304008963315,554,1.4813151591653715,1.569416852052247,0.003989402386261323,0.0026314418178433954,0,
band,is,all,1h,10163,4053,0.04145077720207254,6110,0.09034369885433716,-0.7767655497358757,-0.6060171836496169,-0.31967663358722664,75.5,1.2583333333333333,0.16776542359539506,-0.0196322700225092,2.0614538097119173,10163,552,0.5009985806015094,0.5005476818789688,168,1.471712656314314,1.5215194677961317,0.0028833504114167507,0.0020355259084365515,0,
band,is,all,2h,5138,2028,0.04585798816568047,3110,0.09260450160771704,-0.7840657391221902,-0.5917685456689449,-0.37096662551005327,199.0,1.6583333333333334,0.17282989490073958,-0.1530577334402936,1.874515735885311,5138,288,0.47378671342186696,0.4733603053797872,93,1.660893890068392,1.6958528287889927,-0.003505752882612451,-0.004162426066173143,0,
band,is,all,4h,2584,1051,0.038058991436726926,1533,0.08153946510110893,-0.7433233683035176,-0.5454493519828898,-0.2065723757403716,361.0,1.5041666666666667,0.16408668730650156,0.14577901522404196,2.2045372505781957,2584,125,0.5331924913474604,0.5327126181052476,40,1.198621138228986,1.228680662904329,0.007238473641359565,0.006749942239544425,0,
band,oos_warm,first,all,10274,4341,0.07417645703754895,5931,0.1392682515596021,-0.7278484142628727,-0.530527553586604,-0.23713096399325317,50.0,,0.23447537473233404,-0.1542996439020186,1.6256002263592455,10272,826,0.5476466684705948,0.5471537864689706,322,1.6010265419362364,1.6892451063738827,-0.006150155602293301,-0.008955208005161653,830,0.04939759036144578
band,oos_warm,first,15m,6733,2869,0.06971070059254096,3863,0.1312451462593839,-0.7387048483168706,-0.5443155993240407,-0.24474025802008495,24.0,1.6,0.22575375018565275,-0.15908791840600922,1.6715674105707423,6732,507,0.5343282728231948,0.5338473773776549,200,1.6087998635702252,1.7155841195306658,-0.007554298632306191,-0.010762953591155991,391,0.043478260869565216
band,oos_warm,first,1h,1946,804,0.08706467661691543,1142,0.15236427320490367,-0.6920096868646611,-0.49557751036577535,-0.20733334893203506,125.5,2.091666666666667,0.249743062692703,-0.169676431009471,1.4714895897350853,1946,174,0.5702516448440272,0.5697384183636679,70,1.5963248355458821,1.6672586089253785,-0.006433171780755913,-0.00903063608915636,205,0.06341463414634146
band,oos_warm,first,2h,1050,435,0.0735632183908046,614,0.16286644951140064,-0.7476633575205963,-0.4932405541346347,-0.21706688642108538,174.0,1.45,0.25333333333333335,-0.1782805987651581,1.539314245062334,1049,100,0.5722791892059897,0.5717641379357047,32,1.658605189251955,1.7027929417517704,0.003958582330349295,0.002561524935666172,143,0.055944055944055944
band,oos_warm,first,4h,545,233,0.08583690987124463,312,0.14423076923076922,-0.722912294152071,-0.5380197278062192,-0.2794164942322943,276.0,1.15,0.25137614678899084,0.0105391645836691,1.7764797757052395,545,45,0.5555557491531432,0.5550557489789054,20,1.447623462257442,1.481131179271205,-0.007252221161940179,-0.008523146571327259,91,0.03296703296703297
band,oos_warm,first_fill,all,11376,4784,0.07483277591973245,6590,0.13990895295902883,-0.7230169896503514,-0.5262214429372283,-0.23170203285418337,55.0,,0.23426511954992968,-0.1466134975332625,1.6110800946445296,11374,922,0.5532728973411932,0.5527749517335854,358,1.5924429735408634,1.6811503165126336,-0.005273164513719797,-0.008105618763245745,922,0.049891540130151846
band,oos_warm,first_fill,15m,7429,3157,0.07095343680709534,4271,0.13064856005619294,-0.7345122480593388,-0.5442453636199538,-0.2387702127516937,25.0,1.6666666666666667,0.22519854623771707,-0.1466134975332625,1.6534573668674428,7428,558,0.5395460884524237,0.5390604969728165,224,1.5955798680311932,1.702021431738043,-0.007585241395063928,-0.010831589041261448,429,0.04195804195804196
band,oos_warm,first_fill,1h,2185,897,0.08472686733556299,1288,0.15605590062111802,-0.6899431971841089,-0.4942724900358048,-0.215848122162603,137.0,2.283333333333333,0.25125858123569794,-0.1567476084305375,1.4628313242910602,2185,201,0.568159720196784,0.5676483764486069,76,1.577134688564594,1.6494255004815412,-0.0025913650212153706,-0.005152866988753845,229,0.06986899563318777
band,oos_warm,first_fill,2h,1157,475,0.08,681,0.16740088105726872,-0.7360309190790777,-0.47378784315932554,-0.20677072008059746,177.0,1.475,0.2549697493517718,-0.2095343120421613,1.451352591055346,1156,114,0.5897311524980007,0.5892003944607527,38,1.680789171383769,1.7268434468468465,0.0029060232458381022,0.0013397871871502045,156,0.057692307692307696
band,oos_warm,first_fill,4h,605,255,0.0784313725490196,350,0.14,-0.704808287956521,-0.534787183029036,-0.2794164942322943,319.0,1.3291666666666666,0.24462809917355371,0.010512729216999799,1.7824290430658447,605,49,0.5637028336286073,0.5631955010783415,20,1.447623462257442,1.481131179271205,-0.0022000502435488953,-0.003348833111711352,108,0.027777777777777776
band,oos_warm,all,all,24026,9612,0.060861423220973786,14385,0.11505039972193257,-0.7485954060862412,-0.5508499276513009,-0.2470481715590854,51.0,,0.20631815533172396,-0.1238899404353043,1.7772741359708968,23997,1655,0.5394659924702495,0.5389804730770272,585,1.5938203341764559,1.681849142268716,-0.0016489010274185875,-0.0038283562647297114,1597,0.042579837194740136
