symbol,timeframe,segment,arm,definition,num_trades,win_rate,total_return,max_drawdown,fill_rate,eligible_setups,mean_r,sharpe,n_from_15m,n_from_5m,n_from_1m
SOL/USDT:USDT,1h,oos,A,none,76,0.4473684210526316,0.003053996914815,0.0891933250168172,0.7127659574468085,188,0.1184210526315789,0.8546034080902041,0,0,0
SOL/USDT:USDT,1h,oos,B,contained,76,0.4473684210526316,0.003053996914815,0.0891933250168172,0.7127659574468085,188,0.1184210526315789,0.8546034080902041,62,9,5
SOL/USDT:USDT,1h,oos,C,contained,58,0.4482758620689655,-0.0554725217757366,0.0887671576567452,0.6153846153846154,156,0.1206896551724138,-10.16827949501396,51,7,0
SOL/USDT:USDT,1h,oos,B,proximal_in,76,0.4473684210526316,0.003053996914815,0.0891933250168172,0.7127659574468085,188,0.1184210526315789,0.8546034080902041,65,7,4
SOL/USDT:USDT,1h,oos,C,proximal_in,60,0.45,-0.0480838645458316,0.0833042214867584,0.5914634146341463,164,0.125,-8.119240879822742,55,5,0
SOL/USDT:USDT,1h,oos,B,touch,76,0.4473684210526316,0.003053996914815,0.0891933250168172,0.7127659574468085,188,0.1184210526315789,0.8546034080902041,70,4,2
SOL/USDT:USDT,1h,oos,C,touch,60,0.35,-0.1290740315569737,0.1290740315569737,0.6291390728476821,151,-0.125,-24.556444398852378,57,3,0
BNB/USDT:USDT,1h,full,A,none,249,0.4899598393574297,0.2297230503408232,0.1827741764216863,0.8031358885017421,574,0.2248995983935743,7.633954461382201,0,0,0
BNB/USDT:USDT,1h,full,B,contained,247,0.48582995951417,0.2056606115811104,0.1894568033099357,0.8067375886524822,564,0.2145748987854251,7.001309195653065,188,43,16
BNB/USDT:USDT,1h,full,C,contained,154,0.6103896103896104,0.4118328250593791,0.0447720853280644,0.6659959758551308,497,0.525974025974026,25.899253189683687,132,22,0
BNB/USDT:USDT,1h,full,B,proximal_in,248,0.4879032258064516,0.2126357419457195,0.1894568033099348,0.8063380281690141,568,0.219758064516129,7.184211946533892,202,39,7
BNB/USDT:USDT,1h,full,C,proximal_in,163,0.6073619631901841,0.4358329063003848,0.0447720853280644,0.6424361493123772,509,0.5184049079754601,24.995100918480677,143,20,0
BNB/USDT:USDT,1h,full,B,touch,248,0.4879032258064516,0.2126357419457195,0.1894568033099348,0.8052631578947368,570,0.219758064516129,7.184211946533892,216,30,2
BNB/USDT:USDT,1h,full,C,touch,175,0.5371428571428571,0.2306661311072128,0.0494622487258534,0.6952789699570815,466,0.3428571428571428,13.245330252137464,160,15,0
BNB/USDT:USDT,1h,is,A,none,146,0.4863013698630137,0.1668958737151566,0.0900672396690468,0.792,375,0.2157534246575342,9.595482572134038,0,0,0
BNB/USDT:USDT,1h,is,B,contained,144,0.4791666666666667,0.14406279720053,0.0975079506148433,0.7950819672131147,366,0.1979166666666666,8.532026597019808,104,28,12
BNB/USDT:USDT,1h,is,C,contained,105,0.6190476190476191,0.2816204124234595,0.0447720853280644,0.66875,320,0.5476190476190477,27.47712897559201,88,17,0
