lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,reentry
baseline,12,all,oos_warm,DOGE,44,5679,0.5513294594118683,1385.4370977820408,0.20219142995646888,12,0.10993990853396354,5.000000000000001,0,4429,2561,209,band
baseline,12,all,oos_warm,DOT,44,5711,0.5529679565750306,1928.1647955113124,0.17826193147296363,13,0.11466849199012652,5.000000000000001,0,4399,2534,189,band
baseline,12,all,oos_warm,ETH,44,5756,0.547776233495483,1096.1103838083798,0.23099959468356254,11,0.09621518477328185,5.000000000000001,0,4453,2648,211,band
baseline,12,all,oos_warm,LINK,44,5737,0.5535994422171867,1740.2833420048562,0.21306484432732747,11,0.10115523747102415,5.000000000000001,0,4469,2594,193,band
baseline,12,all,oos_warm,LTC,44,5768,0.5565187239944521,2458.3827714311,0.19139144012998843,13,0.11466850949697724,5.0,0,4455,2580,186,band
baseline,12,all,oos_warm,SOL,44,5658,0.5514316012725344,1295.820344358508,0.23872265071369703,12,0.1090005077810053,5.000000000000001,0,4394,2565,193,band
baseline,12,all,oos_warm,TRX,44,6051,0.5529664518261445,2581.721452098285,0.21245597295177446,13,0.11467020508800406,5.0,0,4670,2775,247,band
baseline,12,all,oos_warm,XRP,44,5797,0.5545972054510954,2014.7768224088245,0.208248846027593,13,0.11466849199012649,5.000000000000001,0,4488,2594,188,band
baseline,15,15m,full,,15,16424,0.5807963955187531,1513417700099.5159,0.22057839346493088,9,0.09009807781146596,5.0,0,13790,7199,49,band
baseline,15,15m,oos_warm,,15,5500,0.5561818181818182,322.0924058014986,0.22057839346493058,6,0.04814361048702272,5.0,0,5079,2456,13,band
baseline,15,1h,full,,15,4375,0.5915428571428571,420261.6200304112,0.1600718107028422,7,0.06938815352194348,5.0,0,1999,1958,1,band
baseline,15,1h,oos_warm,,15,1495,0.551170568561873,17.09354641973911,0.1600718107028422,6,0.05958692181920322,5.0,0,846,680,0,band
baseline,15,2h,full,,15,2160,0.5962962962962963,2173.0089100396763,0.1216090643734732,7,0.06999999999999999,5.0,0,507,946,0,band
baseline,15,2h,oos_warm,,15,760,0.5723684210526315,6.948632602128518,0.11847963623227152,7,0.06606961815057981,5.0,0,245,354,0,band
baseline,15,4h,full,,15,1103,0.5784224841341795,47.78828107403431,0.19345298020525678,7,0.06999999999999999,3.9206255897983544,0,102,468,0,band
baseline,15,4h,oos_warm,,15,407,0.5528255528255528,2.178871322701876,0.08329313202283109,7,0.06535375294728063,3.920625589798354,0,50,197,0,band
baseline,15,all,full,,60,23345,0.5814521310773185,5.55593392421211e+20,0.31050397024346627,15,0.14813465687437213,5.000000000000001,0,16230,10302,1115,band
baseline,15,all,full,ADA,56,21754,0.5830651834145445,4.810764853219853e+19,0.30198025787022964,15,0.14455227619827257,5.000000000000001,0,15095,9509,849,band
baseline,15,all,full,ATOM,56,21612,0.581667592078475,1.4835959408167406e+19,0.3061253210012857,15,0.1450079056358374,5.000000000000001,0,15082,9498,906,band
baseline,15,all,full,BCH,56,21929,0.5812850563181176,3.82838981477078e+19,0.29976895317413443,15,0.14813465687437202,5.000000000000001,0,15204,9630,915,band
baseline,15,all,full,BNB,56,22103,0.5817309867438809,7.296990970237383e+19,0.28275649266872,15,0.14502586835044368,5.000000000000001,0,15247,9791,900,band
baseline,15,all,full,BTC,56,22227,0.5811850452152787,1.0212984449031373e+20,0.32536605518298356,14,0.13915626407427578,5.000000000000001,0,15269,9792,831,band
baseline,15,all,full,DOGE,56,21822,0.5798735221336266,1.4562207245598654e+19,0.27143208262950214,15,0.146222625805183,5.000000000000001,0,15182,9627,846,band
baseline,15,all,full,DOT,56,21752,0.5826130930489151,3.3742985915747308e+19,0.30231669098877045,15,0.14743463291584172,5.000000000000001,0,15081,9524,838,band
baseline,15,all,full,ETC,56,21815,0.5793261517304606,1.3593131362476806e+19,0.2856112797356263,15,0.14500939331651577,5.000000000000001,0,15179,9570,881,band
baseline,15,all,full,ETH,56,22024,0.5809117326552852,4.983664240513171e+19,0.2773464398990188,15,0.14690815944120844,5.000000000000001,0,15241,9792,883,band
baseline,15,all,full,LINK,56,21802,0.5825612329144115,4.3063040941706e+19,0.2741260803538494,15,0.1481346568743721,5.000000000000001,0,15193,9636,844,band
baseline,15,all,full,LTC,56,21926,0.5831433001915534,8.161039032190666e+19,0.299477036794762,14,0.13752487833682236,5.000000000000001,0,15201,9661,854,band
baseline,15,all,full,SOL,56,21531,0.5826947192420231,1.7380186681851236e+19,0.2772829843486103,14,0.13813465687437207,5.000000000000001,0,15087,9534,865,band
baseline,15,all,full,TRX,56,22330,0.5823107926556202,1.1041048874940464e+20,0.3014152695014537,15,0.14813465687437208,5.000000000000001,0,15425,9929,941,band
baseline,15,all,full,XLM,56,21990,0.5829922692132787,7.1754334915277685e+19,0.2945096383289953,14,0.13826040097665698,5.000000000000001,0,15192,9698,906,band
baseline,15,all,full,XRP,56,21898,0.5801443054160197,1.6239200584169144e+19,0.2958843745160634,15,0.1481346568743721,5.000000000000001,0,15171,9654,888,band
baseline,15,all,oos_warm,,60,7806,0.5500896746092749,15476.763312576246,0.24878075667416574,13,0.11460900587306747,5.000000000000001,0,6091,3551,563,band
baseline,15,all,oos_warm,ADA,56,7288,0.5539242590559824,12053.076164499316,0.23903101165239454,13,0.11463513829353307,5.000000000000001,0,5699,3320,438,band
baseline,15,all,oos_warm,ATOM,56,7255,0.5510682288077188,7911.952343573804,0.24490900975325208,13,0.11460900587232144,5.000000000000001,0,5642,3296,456,band
baseline,15,all,oos_warm,BCH,56,7307,0.5483782674148078,7745.110519474368,0.2537838840410749,12,0.11078360971798697,5.000000000000001,0,5690,3310,490,band
baseline,15,all,oos_warm,BNB,56,7472,0.5513918629550322,13113.157988414268,0.24267821479658386,12,0.10380006576989122,5.000000000000001,0,5804,3411,474,band
baseline,15,all,oos_warm,BTC,56,7486,0.5520972481966337,15789.184131648915,0.23699656117089926,12,0.11219412043140353,5.000000000000001,0,5792,3410,457,band
baseline,15,all,oos_warm,DOGE,56,7243,0.5497721938423306,8429.036104893894,0.22956083479848988,12,0.10987847067826173,5.000000000000001,0,5663,3286,424,band
baseline,15,all,oos_warm,DOT,56,7263,0.5517003992840424,10811.253892782848,0.21418977877133452,13,0.11460900587306751,5.000000000000001,0,5628,3253,428,band
baseline,15,all,oos_warm,ETC,56,7294,0.5486701398409651,8457.512397889634,0.2856112797356259,13,0.11466849198773535,5.000000000000001,0,5670,3313,447,band
baseline,15,all,oos_warm,ETH,56,7303,0.547172394906203,6894.979650588055,0.2509125593450176,11,0.09621518477328186,5.000000000000001,0,5680,3358,458,band
baseline,15,all,oos_warm,LINK,56,7290,0.5508916323731139,9852.427110216962,0.25758430130427645,11,0.10109533719627818,5.000000000000001,0,5697,3320,416,band
baseline,15,all,oos_warm,LTC,56,7318,0.5538398469527194,13654.304193816986,0.23452775474018772,13,0.11460774452155076,5.000000000000001,0,5687,3289,438,band
baseline,15,all,oos_warm,SOL,56,7207,0.549604551130845,7193.508109908558,0.270172980210489,12,0.10893382360321827,5.000000000000001,0,5623,3283,428,band
baseline,15,all,oos_warm,TRX,56,7582,0.5513057240833553,14101.702868096367,0.23928306252145537,13,0.11460847147718475,5.000000000000001,0,5880,3490,503,band
baseline,15,all,oos_warm,XLM,56,7371,0.5512142178808845,10179.27493987492,0.23621450515657558,13,0.1146090058730675,5.000000000000001,0,5743,3348,464,band
baseline,15,all,oos_warm,XRP,56,7334,0.552904281428961,12342.18214010988,0.2631394230007424,13,0.11460900587306748,5.000000000000001,0,5708,3298,458,band
baseline,19,15m,full,,19,21909,0.5775252179469624,6913917060150792.0,0.27546719572522604,9,0.09009807781146596,5.000000000000001,0,18152,9876,145,band
baseline,19,15m,oos_warm,,19,7449,0.5528258826688146,1844.8424232841667,0.27546719572522654,7,0.05814361048702272,5.000000000000001,0,6789,3399,55,band
baseline,19,1h,full,,19,5779,0.5897214050873854,24805418.378085822,0.16670369238344004,8,0.07187605468583881,5.0,0,2494,2677,3,band
baseline,19,1h,oos_warm,,19,2014,0.5556107249255213,56.10015049420154,0.16154059039843738,8,0.07187605468583881,5.0,0,1060,955,1,band
baseline,19,2h,full,,19,2823,0.597945448104853,24711.26983282621,0.1372930242136922,9,0.08377091255378333,5.0,0,614,1285,0,band
baseline,19,2h,oos_warm,,19,986,0.5730223123732252,13.312198702274038,0.137293024213692,9,0.08377091255378331,5.0,0,301,472,0,band
baseline,19,4h,full,,19,1432,0.5810055865921788,164.766863848712,0.23996843498423653,8,0.08031136955523044,4.539025901646119,0,123,639,0,band
baseline,19,4h,oos_warm,,19,540,0.5648148148148148,4.3588675760808355,0.12310171067930345,7,0.07,4.539025901646119,0,62,279,0,band
baseline,19,all,full,,76,30407,0.5788140888611175,1.0227763747863452e+26,0.3863856335443076,18,0.17128080071944157,5.000000000000001,0,21004,13837,2495,band
baseline,19,all,full,ADA,72,28927,0.5799080443875964,1.3118603255744991e+25,0.37895206098485706,18,0.17212910705896245,5.000000000000001,0,19915,13107,2045,band
baseline,19,all,full,ALGO,72,28647,0.580549446713443,1.1054943077420849e+25,0.380019943512442,18,0.1777505817273292,5.000000000000001,0,19822,12912,2066,band
baseline,19,all,full,ATOM,72,28799,0.5789437133233792,5.375258338239573e+24,0.38239415889463513,19,0.1802987290105435,5.000000000000001,0,19905,13085,2093,band
baseline,19,all,full,BCH,72,29078,0.5785473553889539,9.243811860428583e+24,0.3768023250876959,18,0.17128080071944163,5.000000000000001,0,20000,13199,2173,band
baseline,19,all,full,BNB,72,29263,0.5788538427365615,1.7826296242383397e+25,0.3617462306906116,19,0.17794366277389465,5.000000000000001,0,20044,13397,2109,band
baseline,19,all,full,BTC,72,29390,0.5785981626403539,2.99285751696627e+25,0.3860596537957958,18,0.17362185188462684,5.000000000000001,0,20072,13379,2038,band
baseline,19,all,full,DOGE,72,28983,0.5775799606665977,3.5768394742715274e+24,0.3575385831441602,19,0.1842365349471596,5.000000000000001,0,20004,13195,2083,band
baseline,19,all,full,DOT,72,28902,0.5795792678707355,9.196064829858164e+24,0.37907062147115755,18,0.17225595467388258,5.000000000000001,0,19875,13099,2077,band
baseline,19,all,full,ETC,72,28977,0.5769748421161611,3.048478301487519e+24,0.3735322818521886,19,0.17587343406207498,5.000000000000001,0,19996,13175,2081,band
baseline,19,all,full,ETH,72,29210,0.578226634714139,1.3351017382174713e+25,0.3549519388903828,18,0.16966864837981674,5.000000000000001,0,20078,13378,2066,band
baseline,19,all,full,LINK,72,28990,0.579372197309417,1.0844352851864245e+25,0.3634118947951662,18,0.17128080071944163,5.000000000000001,0,20015,13230,2022,band
baseline,19,all,full,LTC,72,29089,0.5794286500051566,1.7347191474756917e+25,0.3854648541240192,18,0.1676466361210076,5.000000000000001,0,20022,13241,2079,band
baseline,19,all,full,SOL,72,28674,0.5796540419892585,4.5130111610372537e+24,0.36998566014478523,18,0.17179398144601846,5.000000000000001,0,19874,13094,2134,band
baseline,19,all,full,THETA,72,28674,0.5805259119760061,7.656577896360237e+24,0.3474526844378484,18,0.17132451443675265,5.000000000000001,0,19891,12939,2151,band
baseline,19,all,full,TRX,72,29468,0.579476041808063,3.1723943990596e+25,0.37828493540308916,18,0.17128080071944168,5.000000000000001,0,20239,13512,2182,band
baseline,19,all,full,VET,72,28828,0.5800610517552379,1.0141433636697183e+25,0.37136507159369,18,0.1675891247006309,5.000000000000001,0,19941,13109,2018,band
baseline,19,all,full,XLM,72,29145,0.5795505232458398,1.9272560314454638e+25,0.36443497432442373,18,0.17483257947179676,5.000000000000001,0,19996,13283,2131,band
baseline,19,all,full,XMR,72,28563,0.5767601442425515,1.8892823404654992e+24,0.38996301492908253,18,0.17142690272198968,5.000000000000001,0,19605,12922,2136,band
