symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
ETH/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752505200000,17536,191,0.5130890052356021,0.34792892005405374,0.1403057806100272,12.343331413991029,1.3161865111827138,0.28272251308900526,0.7652370203160271,443,339,1.0
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784070000000,8768,97,0.5979381443298969,0.36847433470714475,0.042535851598996845,27.589232365625463,1.7498326478846447,0.4948453608247423,0.7586206896551724,232,176,1.0
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784070000000,8768,103,0.5728155339805825,0.38066591442341213,0.06393545499408802,24.385751277877127,1.607253912367262,0.4320388349514563,0.7586206896551724,232,176,1.0
ETH/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784059200000,6576,58,0.5517241379310345,0.20565323652515036,0.04382494759900946,12.38403996753751,1.7016535931923045,0.3793103448275862,0.6923076923076923,130,90,1.0
ETH/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784059200000,6576,61,0.5409836065573771,0.1940101779031831,0.046990562985633366,11.126384704028052,1.6138400976279317,0.3524590163934426,0.6923076923076923,130,90,1.0
ETH/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752494400000,4384,35,0.5428571428571428,0.10936370793182122,0.04382494759900946,11.351900463809308,1.6506621664173542,0.35714285714285715,0.6506024096385542,83,54,1.0
ETH/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752494400000,4384,36,0.5277777777777778,0.09430057060985182,0.046990562985633366,9.545496903745871,1.5203593816835563,0.3194444444444444,0.6506024096385542,83,54,1.0
ETH/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784059200000,2192,19,0.47368421052631576,0.02573261337610529,0.030727741069496085,5.16586266574605,1.237451617507044,0.18421052631578946,0.775,40,31,1.0
ETH/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784059200000,2192,20,0.45,0.014865985311874465,0.03072774106949629,2.9880375605634613,1.1253425347476795,0.125,0.775,40,31,1.0
SOL/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784072700000,105216,1124,0.5088967971530249,1.3576447123538928,0.13549469840628578,15.517817406882646,1.1552068715902426,0.2722419928825623,0.7677873338545739,2558,1964,1.0
SOL/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784072700000,105216,1189,0.49957947855340623,1.8412760944960767,0.17951776837121453,14.41144909944086,1.1278237497712897,0.24894869638351555,0.7677873338545739,2558,1964,1.0
