scope,unit,offset_ms,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr
self,coin,-300000,is,4,5,0.003171339165,0.08318737149,3003,1767,0.5884115884,-0.07171586105,0.02328645966
self,coin,-300000,oos_warm,0,5,-0.3694325089,-0.001166873612,1804,1068,0.5920177384,-0.08866145685,0.0300827853
self,coin,-300000,oos_warm,1,5,-0.001166873612,-0.0001030128915,1354,801,0.5915805022,-0.1032621465,0.0349177414
self,coin,-300000,oos_warm,2,5,-0.0001030128915,0.0008204010664,1650,949,0.5751515152,-0.06236499967,0.03175466424
self,coin,-300000,oos_warm,3,5,0.0008204010664,0.003171339165,2475,1357,0.5482828283,0.01022270325,0.02608315487
self,coin,-300000,oos_warm,4,5,0.003171339165,0.08318737149,2792,1641,0.5877507163,-0.07833862726,0.02420782985
self,usdt,-86400000,is,0,5,-0.671664238,-0.01861639135,2995,1708,0.5702838063,-0.04367643782,0.0235436285
self,usdt,-86400000,is,1,5,-0.01861639135,0.007782451436,2998,1754,0.5850567045,-0.08550245334,0.02348178002
self,usdt,-86400000,is,2,5,0.007782451436,0.03306356817,2992,1741,0.5818850267,-0.06676631108,0.02343239923
self,usdt,-86400000,is,3,5,0.03306356817,0.07283805907,3000,1754,0.5846666667,-0.06196079534,0.02328854183
self,usdt,-86400000,is,4,5,0.07283805907,0.8795720935,2997,1690,0.5638972306,0.006135969821,0.02336764895
self,usdt,-86400000,oos_warm,0,5,-0.671664238,-0.01861639135,1296,737,0.5686728395,-0.05437036989,0.03603231519
self,usdt,-86400000,oos_warm,1,5,-0.01861639135,0.007782451436,1862,1061,0.5698174006,-0.05562742079,0.03001816612
self,usdt,-86400000,oos_warm,2,5,0.007782451436,0.03306356817,2222,1262,0.5679567957,-0.0443036472,0.02747409553
self,usdt,-86400000,oos_warm,3,5,0.03306356817,0.07283805907,2384,1353,0.567533557,-0.02860215589,0.02641842778
self,usdt,-86400000,oos_warm,4,5,0.07283805907,0.8795720935,2311,1403,0.607096495,-0.1105202164,0.02621883037
self,usdt,-43200000,is,0,5,-0.5529615283,-0.01053361166,2997,1747,0.5829162496,-0.07788120988,0.02346047078
self,usdt,-43200000,is,1,5,-0.01053361166,0.008108764887,2992,1741,0.5818850267,-0.07719011282,0.02350817376
self,usdt,-43200000,is,2,5,0.008108764887,0.02606950067,3000,1751,0.5836666667,-0.07135131789,0.02339120031
self,usdt,-43200000,is,3,5,0.02606950067,0.05660288557,2996,1705,0.5690921228,-0.02094828362,0.02342622615
self,usdt,-43200000,is,4,5,0.05660288557,0.669359386,2997,1703,0.5682349016,-0.004413466347,0.02332817379
self,usdt,-43200000,oos_warm,0,5,-0.5529615283,-0.01053361166,1134,648,0.5714285714,-0.06248753679,0.03848544749
self,usdt,-43200000,oos_warm,1,5,-0.01053361166,0.008108764887,1872,1098,0.5865384615,-0.1033723515,0.02983370357
