symbol,timeframe,segment,side,trigger_time,broke,r_multiple,trend_dev,volume_pctl,vol_balance,rsi_slope_5_3,rsi_slope_10_5,rsi_slope_14_5,zone_width_atr,freshness_bars,prior_taps,approach_mom,tap_rsi
ETH/USDT:USDT,15m,is,long,1742684400000,False,1.5,0.0007189385488703959,0.07841140529531568,0.238325263322087,-3.6668829147321347,-10.640118917767872,-7.095916027196388,1.5889152804399083,76.0,0.0,-1.5512334951330191,38.601316661190474
ETH/USDT:USDT,15m,is,long,1742769900000,False,1.5,-0.004011026837985154,0.3268839103869654,0.3439955288028372,2.2821200367737333,-1.0394876697895796,0.905957210816986,1.248934331938724,171.0,1.0,-0.5857979211728376,34.70045993242182
ETH/USDT:USDT,15m,is,long,1742778000000,False,1.5,0.0019890583590942423,0.6221995926680245,0.3186709029960619,5.299617981980724,8.831360583058398,6.326142625037704,1.8679355809718643,180.0,2.0,0.1295102002807397,50.54778992378885
ETH/USDT:USDT,15m,is,long,1742926500000,False,1.5,0.008742985955282112,0.5,0.30507599705526667,3.7288786997141727,-1.752028207163697,1.2404372517624083,1.6117875345147772,15.0,2.0,0.8656747599783602,51.741698988369045
ETH/USDT:USDT,15m,is,long,1742935500000,False,1.5,0.008407622911599244,0.5010183299389002,0.30507599705526667,4.41711823833284,-0.08016699653640558,1.1508797071249859,1.7059794669319945,25.0,3.0,0.7848479002646982,52.4522548841019
ETH/USDT:USDT,15m,is,long,1743015600000,False,1.5,-0.027195840040500907,0.7535641547861507,0.4923049736878749,-0.5317182661914401,0.6346747335292839,2.7978015955707676,1.4719507328522774,444.0,3.0,-1.5801508958930914,25.645332287589383
ETH/USDT:USDT,15m,is,long,1743081300000,True,-1.0,-0.009630600623611763,0.28411405295315684,0.38801276690021624,2.4411885954599697,-7.506687856023639,-3.296563950074791,2.518366244668457,49.0,0.0,-0.1856787999476817,38.02255249508783
ETH/USDT:USDT,15m,is,long,1743082200000,False,1.5,-0.013104699137631681,0.754582484725051,0.4923049736878749,-1.17714446193758,-7.938092517365064,-4.434129297795003,1.9505978389965033,518.0,4.0,-1.1925052290808116,30.57962041694786
ETH/USDT:USDT,15m,is,long,1743406200000,False,1.5,-0.02032402422972701,0.28818737270875766,0.6150927402836018,-2.908690473905118,-0.1915508250549891,-0.9190940281150048,1.4516125994050035,20.0,0.0,-1.0013292985049713,44.06693575787315
ETH/USDT:USDT,15m,is,long,1743570900000,False,1.5,-0.00016363397976115746,0.9093686354378818,0.3194845098120987,-0.6593282621486054,0.858578273306577,1.116641304310555,2.2476409599437144,57.0,0.0,-1.7091838060177977,31.30169889564941
ETH/USDT:USDT,15m,is,long,1743596100000,False,1.5,-0.0007850181264152933,0.9103869653767821,0.3194845098120987,-4.029739292267628,-3.33133334312285,0.6475352456154013,2.2544404689885527,85.0,1.0,-1.1871581886440616,42.3316661344623
ETH/USDT:USDT,15m,is,long,1743602400000,False,1.5,0.0020164306561853973,0.9114052953156823,0.3194845098120987,3.611236447379227,-2.082523256039856,-3.015999627186339,1.713071524713017,92.0,3.0,1.2282399611150114,50.66285716906922
ETH/USDT:USDT,15m,is,long,1743624900000,True,-1.0,0.031987108766777794,0.9643584521384929,0.26395115819603315,6.017218550697365,0.9480663239258575,-1.4391574244830565,2.351063840208346,117.0,4.0,2.144573906770115,71.47382207268372
ETH/USDT:USDT,15m,is,long,1743631200000,True,-1.0,-0.0036497023623961455,0.3054989816700611,0.11230402614609643,-7.5754415047986186,-6.65442559617302,-3.8439860926529192,0.6142553784220217,163.0,0.0,-1.556113625335781,42.132729608349734
ETH/USDT:USDT,15m,is,long,1743633900000,False,1.5,-0.04125853287766146,0.7209775967413442,0.8816130348968642,-6.741857997054012,-13.033963870048716,-6.8801794313867575,0.6229531459879888,273.0,2.0,-2.950356548243925,25.831249607977085
ETH/USDT:USDT,15m,is,long,1743676200000,True,-1.0,-0.028201668633479615,0.7219959266802444,0.8816130348968642,-4.690688297414532,0.30891641444576123,-0.8705806868932058,1.4817603268305677,320.0,4.0,-2.26388978350903,34.64077355558601
ETH/USDT:USDT,15m,is,long,1743731100000,False,1.5,-0.0075048072618155715,0.21792260692464357,0.4569334667482584,-5.268236150005606,-2.193413059300404,-1.2529219397862832,1.0712207922899533,25.0,0.0,-0.583128952648525,55.84399549219106
ETH/USDT:USDT,15m,is,long,1743922800000,True,-1.0,-0.004015731249074728,0.11303462321792261,0.2431952988345355,-5.530714060283685,-2.026471903396768,-0.9204504414657038,2.2685681592154423,29.0,0.0,-2.227033781409398,38.22747499334631
ETH/USDT:USDT,15m,is,long,1743960600000,False,1.5,-0.05274746116442697,0.2668024439918534,0.39136165673586615,-9.962803403814465,-1.5943050909090601,0.9724766988779123,0.5693829414436369,50986.0,1.0,-4.227685979095774,18.534784461460518
ETH/USDT:USDT,15m,is,long,1744119000000,False,1.5,-0.013192819276666712,0.7983706720977597,0.3955116979486659,-4.730636643031623,2.235395981523439,1.7420525868789483,1.2392038436545725,47.0,0.0,-0.6735245849748149,55.42249765096033
ETH/USDT:USDT,15m,is,long,1744122600000,True,-1.0,-0.027467500608954976,0.7993890020366599,0.3955116979486659,-1.8894675308927447,-2.4460283253577444,0.35082110381115683,0.9121352093200632,51.0,1.0,-1.0491801545627462,40.450134152835794
ETH/USDT:USDT,15m,is,long,1744245000000,True,-1.0,0.0661761753478336,0.7596741344195519,0.3234763850614299,-4.146424819409347,-7.498000904321529,-5.230291845783441,1.1347446692429641,15.0,0.0,-1.1807737487840888,56.3167847847835
ETH/USDT:USDT,15m,is,long,1744409700000,False,1.5,0.007778480408418886,0.670061099796334,0.15288761803899104,-1.2495658533248246,1.7117221057706118,-1.282957105040282,3.1285124319790865,19.0,3.0,-0.40781568998840567,50.911508241840764
