floor,hold,threshold,segment,num_trades,mean_net_r,se_net_r,mean_cost_r,mean_gross_r,median_stop_width
0.01,12,20.0,full,4181,0.03791664679647125,0.03467271650180837,0.07425598277877986,0.1121726295752511,0.014566099691348748
0.01,12,20.0,is,2965,0.07053977926898855,0.03443619514957272,0.07283083129347973,0.14337061056246828,0.014987345605847096
0.01,12,20.0,oos_warm,1216,-0.041629066839231066,0.08461440313336406,0.07773096152377573,0.036101894684544666,0.013845679709991895
0.01,16,20.0,full,4181,0.025717194914816492,0.0355470589869984,0.07465316170262357,0.10037035661744007,0.014566099691348748
0.01,16,20.0,is,2965,0.07476420668996656,0.03694813517157997,0.07335496951324862,0.14811917620321519,0.014987345605847096
0.01,16,20.0,oos_warm,1216,-0.09387523100074303,0.08252263490274024,0.07781857275648603,-0.016056658244257005,0.013845679709991895
0.01,24,20.0,full,4181,-0.008960164611145733,0.03673700616542131,0.07488055763962984,0.0659203930284841,0.014566099691348748
0.01,24,20.0,is,2965,0.027082452913630144,0.03688911894642835,0.07365815162742435,0.10074060454105449,0.014987345605847096
0.01,24,20.0,oos_warm,1216,-0.09684368513825137,0.08866227915773707,0.07786117756248248,-0.018982507575768887,0.013845679709991895
0.01,4,25.0,full,6447,-0.0053320579585556015,0.02264025134899587,0.07353646017435961,0.06820440221580401,0.014646061898104334
0.01,4,25.0,is,4699,0.019115683871155524,0.021995238621453944,0.07186465239380908,0.0909803362649646,0.015086798006688197
0.01,4,25.0,oos_warm,1748,-0.07105284677881472,0.058947021265503566,0.07803063909930577,0.006977792320491047,0.01382414972499255
0.01,8,25.0,full,6444,0.021130427468771078,0.02604611111006405,0.07389833219930268,0.09502875966807375,0.014647155384086825
0.01,8,25.0,is,4698,0.04721338512679455,0.02551041292228709,0.07229593068832652,0.11950931581512106,0.015088698454092178
0.01,8,25.0,oos_warm,1746,-0.04905155138426125,0.06728612166601745,0.07820994863605318,0.029158397251791937,0.013813994296642023
0.01,12,25.0,full,6441,0.04050025982156253,0.028488102297646072,0.07420857473925863,0.11470883456082115,0.014648248870069316
0.01,12,25.0,is,4698,0.06559819809654735,0.028174163872612224,0.07276363923345314,0.1383618373300005,0.015088698454092178
0.01,12,25.0,oos_warm,1743,-0.02714753938433426,0.07290202997425459,0.07810318575834867,0.05095564637401441,0.013815605841618705
0.01,16,25.0,full,6436,0.037758360416114425,0.029615504340634688,0.07447559940516632,0.11223395982128075,0.014649398314314832
0.01,16,25.0,is,4696,0.07198452360502068,0.030711471950995196,0.07308352222414337,0.14506804582916405,0.015088698454092178
0.01,16,25.0,oos_warm,1740,-0.05461293977647369,0.07159279791586023,0.0782326077052144,0.023619667928740706,0.013813994296642023
0.01,24,25.0,full,6435,0.011197030007978214,0.030368216264999658,0.07477822403407,0.08597525404204821,0.01465054775856035
0.01,24,25.0,is,4695,0.04168454032851002,0.0305795442300203,0.07351853102441065,0.11520307135292067,0.015090598901496157
0.01,24,25.0,oos_warm,1740,-0.07106668318449175,0.07617612390768103,0.07817722327565106,0.007110540091159315,0.013813994296642023
0.015,4,15.0,full,1017,0.04826591932523875,0.053260856509183184,0.05208801813733355,0.10035393746257229,0.02025025173020061
0.015,4,15.0,is,736,0.04213766423246473,0.04194973528969568,0.050843834846329795,0.09298149907879452,0.020890902635995696
0.015,4,15.0,oos_warm,281,0.06431714974616998,0.15859670585881067,0.055346804266083495,0.11966395401225347,0.019041306231713434
0.015,8,15.0,full,1017,0.08236637457870943,0.057845573987154224,0.05250161290198342,0.13486798748069284,0.02025025173020061
0.015,8,15.0,is,736,0.0774342864878133,0.0468890628528167,0.05145115658697828,0.12888544307479158,0.020890902635995696
0.015,8,15.0,oos_warm,281,0.0952845839555761,0.16978227415571556,0.055252986025982505,0.1505375699815586,0.019041306231713434
0.015,12,15.0,full,1017,0.1344222671699936,0.06448271140353601,0.05264441602927922,0.1870666831992728,0.02025025173020061
0.015,12,15.0,is,736,0.14098076750196806,0.05586447758610019,0.05171729552105335,0.1926980630230214,0.020890902635995696
0.015,12,15.0,oos_warm,281,0.11724413106916337,0.18206302391372498,0.05507274590135852,0.1723168769705219,0.019041306231713434
0.015,16,15.0,full,1017,0.14194242678133875,0.06750740566007288,0.05307481083671702,0.19501723761805578,0.02025025173020061
0.015,16,15.0,is,736,0.15694092889361688,0.06105075793450964,0.05224857380348367,0.20918950269710054,0.020890902635995696
0.015,16,15.0,oos_warm,281,0.10265809384668893,0.18497227636387523,0.055238904987819415,0.15789699883450836,0.019041306231713434
0.015,24,15.0,full,1017,0.09751212362384068,0.06793809427207309,0.05315792771413936,0.15067005133798003,0.02025025173020061
0.015,24,15.0,is,736,0.11138490254660392,0.06153682715435869,0.052544400333311404,0.16392930287991533,0.020890902635995696
