segment,axis,bucket,arm,category,num_trades,trade_share,net_r_sum,gain_share,loss_share,win_rate
full,timeframe,1h,1_봉마감,트리거 전에 이미 손절,18,0.002020655590480467,-20.072898547645362,0.0,0.0033802883067946695,0.0
full,timeframe,1h,1_봉마감,아직 들고 있음,2944,0.33048944768747196,806.2141476395024,0.4425193426780568,0.24973787912917156,0.5302309782608695
full,timeframe,1h,1_봉마감,트리거 안 옴,4664,0.5235743152222722,-3416.4751569489376,0.19691616145608162,0.746881832564033,0.1509433962264151
full,timeframe,1h,2_교차,트리거 전에 이미 익절,733,0.08228558599012124,1064.7734905824593,0.20582746112367187,0.0,1.0
full,timeframe,1h,2_교차,트리거 전에 이미 손절,235,0.026380781320161653,-265.2353377205517,0.0,0.044665791964095175,0.0
full,timeframe,1h,2_교차,아직 들고 있음,4485,0.503480017961383,1158.6242242826802,0.6693321478134767,0.38798188784033333,0.5282051282051282
full,timeframe,1h,2_교차,트리거 안 옴,3455,0.3878536147283341,-2723.2470381457224,0.12484039106285355,0.5673523201955709,0.1287988422575977
full,timeframe,1h,C_고정오프셋,트리거 전에 이미 익절,410,0.046026044005388414,579.0011803116142,0.11192459615608703,0.0,1.0
full,timeframe,1h,C_고정오프셋,트리거 전에 이미 손절,288,0.032330489447687474,-329.44084444219925,0.0,0.055478038291543026,0.0
full,timeframe,1h,C_고정오프셋,아직 들고 있음,5277,0.5923888639425235,1968.0394216893635,0.8515303149836028,0.41039950083432036,0.5688838355126019
full,timeframe,1h,C_고정오프셋,트리거 안 옴,2933,0.32925460260440054,-2982.6844185599152,0.03654508886031014,0.5341224608741361,0.04602795772246846
full,timeframe,2h,1_봉마감,트리거 전에 이미 익절,620,0.14351851851851852,908.8562863405623,0.35357810909064397,0.0,1.0
full,timeframe,2h,1_봉마감,트리거 전에 이미 손절,13,0.0030092592592592593,-13.930669718977537,0.0,0.0050358871695512465,0.0
full,timeframe,2h,1_봉마감,아직 들고 있음,1356,0.3138888888888889,400.15922034216857,0.41407735993381095,0.2401086705566246,0.532448377581121
full,timeframe,2h,1_봉마감,트리거 안 옴,2331,0.5395833333333333,-1490.9099340732814,0.2323445309755442,0.7548554422738245,0.1758901758901759
full,timeframe,2h,2_교차,트리거 전에 이미 익절,410,0.09490740740740741,599.4673313547186,0.2332145672177172,0.0,1.0
