symbol,timeframe,segment,threshold,r_multiple,guard,num_candidates,num_trades,total_return,max_drawdown,win_rate,sharpe,n_take_profit,n_stop_loss,n_end_of_data,fill_rate_full,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate,tp_dist_frac_median,stop_frac_median
ETH/USDT:USDT,1h,oos,1.15,3.0,0.003,48,30,-0.0659185537940888,0.1040536353885676,0.2,-15.994167526903098,6,24,0,0.7010869565217391,-0.3702298114829421,2.8464252764882754,-1.1743935834757464,0.1489619647079059,0.2920782120202885,-0.0920782120202884,0.6546780890729131,0.8333333333333334,0.0072555393918978,0.0416666666666666,0.021475246507493,0.0071584155024976
ETH/USDT:USDT,1h,is,1.28,1.0,0.003,101,82,0.2646637219238683,0.0213302753234615,0.8048780487804879,42.18573623167897,66,16,0,0.6666666666666666,0.4356784924473124,0.8190379948649646,-1.145679455025503,0.1543232916855869,0.5831268282822928,0.221751220498195,2.6152145605473898,0.7439024390243902,0.0070442576009353,0.0891089108910891,0.0061285440528902,0.0061285440528902
ETH/USDT:USDT,1h,oos,1.28,1.0,0.003,63,52,0.2486339573226696,0.0109834890855664,0.8269230769230769,65.44686637801735,43,9,0,0.6666666666666666,0.5009465603135113,0.8506625791512961,-1.1699188630225714,0.1302972694129028,0.5790010927566968,0.2479219841663801,3.971285094662497,0.6923076923076923,0.0077401157230568,0.0317460317460317,0.0076786433809342,0.0076786433809342
ETH/USDT:USDT,1h,is,1.28,1.5,0.003,101,79,0.2447052074812056,0.041728300303765,0.6329113924050633,28.86729893321833,50,29,0,0.6666666666666666,0.405417628490398,1.320412771939498,-1.1721602050425333,0.1562982522430527,0.4702611381359701,0.1626502542690932,1.9211080173233903,0.7468354430379747,0.0069922229400244,0.0891089108910891,0.0091928160793353,0.0061285440528902
ETH/USDT:USDT,1h,oos,1.28,1.5,0.003,63,48,0.3656193183704168,0.0114766406848708,0.7708333333333334,69.95016138859532,37,11,0,0.6666666666666666,0.773771507138077,1.3523597950623103,-1.1723890976979816,0.1300900114856058,0.4643586936743701,0.3064746396589632,4.306037832203224,0.6666666666666666,0.0077603304282876,0.0317460317460317,0.0115179650714014,0.0076786433809342
ETH/USDT:USDT,1h,is,1.28,2.0,0.003,101,74,0.2639354535545379,0.0417283003037649,0.5675675675675675,27.439250510986344,42,32,0,0.6666666666666666,0.5233830243918571,1.8090703903894048,-1.1640816434799242,0.1607989631726162,0.3915311528704307,0.1760364146971368,1.8410525536298443,0.7432432432432432,0.0069557851511055,0.0891089108910891,0.0122570881057804,0.0061285440528902
ETH/USDT:USDT,1h,oos,1.28,2.0,0.003,63,45,0.2338825560199853,0.0323952941498039,0.5555555555555556,35.899059118677535,25,20,0,0.6666666666666666,0.5124884076115127,1.8598662976472895,-1.1717339549332082,0.1311970694129241,0.3865067480238624,0.1690488075316931,2.288972573454749,0.6666666666666666,0.0077225515680148,0.0317460317460317,0.0153572867618685,0.0076786433809342
ETH/USDT:USDT,1h,is,1.28,3.0,0.003,101,69,0.2539449996897645,0.0902308653811169,0.4202898550724637,21.55831759222192,29,40,0,0.6666666666666666,0.5042273360885037,2.811964169841952,-1.1688818683827469,0.1524029574978891,0.2936264947598984,0.1266633603125653,1.6629772361911548,0.7246376811594203,0.0071553230039419,0.0891089108910891,0.0183856321586707,0.0061285440528902
ETH/USDT:USDT,1h,oos,1.28,3.0,0.003,63,42,-0.0060671121158246,0.1137837084225537,0.2619047619047619,-0.2395541473695744,11,31,0,0.6666666666666666,-0.1115835833060011,2.8633318726280375,-1.167198745089047,0.1356591841841376,0.289589350830972,-0.0276845889262101,0.97655224484128,0.6904761904761905,0.0075856990694515,0.0317460317460317,0.0230359301428028,0.0076786433809342
ETH/USDT:USDT,1h,is,1.55,1.0,0.003,164,124,0.3802520542160559,0.0256731529880302,0.75,33.48562493665334,93,31,0,0.7043010752688172,0.3471547839823807,0.841799788352885,-1.1367802291291322,0.1290522258175867,0.5745434701073262,0.1754565298926738,2.124185511309822,0.5967741935483871,0.0077814645557869,0.073170731707317,0.0083055295471251,0.0083055295471251
