scope,segment,multiple,reason,count,priced,hypo_total_r,hypo_mean_r,hypo_win_rate,hypo_return_sum,actual_trades,actual_total_r,actual_mean_r,actual_win_rate,actual_return_sum
1h,is,2.0,notional,192,188,57.54414923779276,0.30608590020102533,0.574468085106383,0.9742005118866107,1293,560.0005935411646,0.43310177381373904,0.6194895591647331,8.631543455114862
1h,is,3.0,cell_busy,258,254,79.07684513640831,0.3113261619543634,0.5748031496062992,1.9409434706995798,1286,558.2145029418983,0.4340703755380236,0.619751166407465,12.966928615090467
1h,is,3.0,notional,200,196,63.143104571647804,0.32215869679412146,0.5816326530612245,1.5762900143904783,1286,558.2145029418983,0.4340703755380236,0.619751166407465,12.966928615090467
1h,is,5.0,cell_busy,258,254,79.0768451364083,0.31132616195436336,0.5748031496062992,3.2349057844992974,1289,559.8491607157102,0.4343282860478745,0.6198603568657874,21.60150164409901
1h,is,5.0,notional,197,193,61.508446797835845,0.3186966155328282,0.5803108808290155,2.552865655285573,1289,559.8491607157102,0.4343282860478745,0.6198603568657874,21.60150164409901
1h,oos_warm,1.0,cell_busy,142,136,8.370248899371079,0.06154594778949323,0.4852941176470588,0.07080805459733042,652,153.87099425901894,0.23599845745248305,0.553680981595092,1.156597995704816
1h,oos_warm,1.0,notional,150,136,22.048527292479285,0.1621215242094065,0.5220588235294118,0.1738081792175234,652,153.87099425901894,0.23599845745248305,0.553680981595092,1.156597995704816
1h,oos_warm,2.0,cell_busy,144,138,6.0331054897481415,0.04371815572281262,0.4782608695652174,0.1108418793064898,656,154.21329791348452,0.23508124681933618,0.5533536585365854,2.312451736864456
1h,oos_warm,2.0,notional,144,130,24.04336704763673,0.1849489772895133,0.5307692307692308,0.3709387664468556,656,154.21329791348452,0.23508124681933618,0.5533536585365854,2.312451736864456
1h,oos_warm,3.0,cell_busy,142,136,8.370248899371084,0.061545947789493266,0.4852941176470588,0.21242416379199142,657,150.56645889510705,0.2291726923822025,0.5509893455098934,3.4675397940316977
1h,oos_warm,3.0,notional,144,131,25.353062656391256,0.19353482943810119,0.5343511450381679,0.6199228089568065,657,150.56645889510705,0.2291726923822025,0.5509893455098934,3.4675397940316977
1h,oos_warm,5.0,cell_busy,144,138,6.033105489748138,0.043718155722812596,0.4782608695652174,0.2771046982662241,653,152.70936851312777,0.23385814473679598,0.552833078101072,5.775336115773837
1h,oos_warm,5.0,notional,147,133,25.54729644799348,0.1920849356991991,0.5338345864661654,0.9895485995709326,653,152.70936851312777,0.23385814473679598,0.552833078101072,5.775336115773837
1h,oos,1.0,cell_busy,141,135,9.431227312865932,0.06986094305826616,0.4888888888888889,0.08141783873227895,643,144.01536624294388,0.22397413101546482,0.5489891135303266,1.0948915456447428
1h,oos,1.0,notional,145,131,19.87480844020838,0.15171609496342275,0.5190839694656488,0.15623706398055417,643,144.01536624294388,0.22397413101546482,0.5489891135303266,1.0948915456447428
1h,oos,2.0,cell_busy,142,136,8.236289976488992,0.060560955709477886,0.4852941176470588,0.14941440194081998,646,145.16131280043422,0.22470791455175576,0.5495356037151703,2.1891102405392258
1h,oos,2.0,notional,141,127,19.923799219094946,0.15688030881177123,0.5196850393700787,0.28136212954290485,646,145.16131280043422,0.22470791455175576,0.5495356037151703,2.1891102405392258
1h,oos,3.0,cell_busy,141,135,9.431227312865925,0.06986094305826611,0.4888888888888889,0.24425351619683672,641,145.9700425669256,0.2277223752994159,0.5507020280811232,3.2826347804796625
