arm,segment,axis,bucket,num_trades,num_candidates,win_rate,median_stop_width,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,net_r,cost_share_of_net,identity_max_abs
taker_tp,is,timeframe,4h,953,35382,0.41343126967471144,0.023863866279998466,0.06189450136366116,0.05666360160444699,0.011332194136189638,0.010190550792640495,0.01247592983964246,0.0,-0.00030151251472524825,0.09036076385819435,-0.028466262494533153,3.1743107784363267,4.691595208371315e-16
taker_tp,is,stop_width,0.30~0.40%,2861,35382,0.4058021670744495,0.0034843867896167413,0.15864737877649077,0.28836324587012163,0.057685612828371265,0.047152432212579205,0.06816690709732566,0.0,0.00035221108112701977,0.46172040908952483,-0.3030730303130337,1.5234625417267573,5.822160780646421e-16
taker_tp,is,stop_width,0.40~0.50%,2528,35382,0.3959651898734177,0.00449330090740515,0.10143057001578208,0.22308590594948532,0.04462934165196676,0.035535631773239075,0.05367438939632092,0.0,0.0003356838001184861,0.35726095257113055,-0.25583038255534657,1.3964758563961432,5.310230782436257e-16
taker_tp,is,stop_width,0.50~0.75%,5025,35382,0.4077611940298507,0.0060790617367529635,0.10198639791601972,0.16521781888174253,0.03304988181912908,0.027183262556877686,0.03889120851299386,0.0,0.0006587233393609389,0.26500089511010416,-0.16301449719408528,1.6256277795624137,5.710622594315399e-16
taker_tp,is,stop_width,0.75~1.00%,3182,35382,0.41923318667504716,0.008602491819474607,0.10631327116326511,0.11651376558687632,0.023303767851156572,0.019779370620722752,0.026824084883821073,0.0,0.0005401461840154861,0.18696113512659218,-0.08064786396332667,2.3182403840430266,5.954486836927771e-16
taker_tp,is,stop_width,1.00~1.50%,3112,35382,0.4019922879177378,0.012032464441786949,0.04658071112671814,0.08322327302031014,0.016648316531217643,0.013608867392819383,0.019673108644858488,0.0,0.00028927103606360904,0.1334428366252693,-0.08686212549855143,1.5362603189752093,5.862384032988822e-16
taker_tp,is,stop_width,≥1.50%,4030,35382,0.42208436724565757,0.022049113568163265,0.07723728082267743,0.04409134405747821,0.008814950355956074,0.007578933645297458,0.010064225441320762,0.0,0.0007185821766452989,0.0712680356766978,0.005969245145979538,11.939204025604296,6.144670756261648e-16
taker_tp,oos_warm,overall,전체,9514,18402,0.40277485810384694,0.006104004352793345,0.09183833876886718,0.16984830618788507,0.033977457642405375,0.02783743057078884,0.040086280727054606,0.0,-0.00015955972462913665,0.2715899154035048,-0.17975157663463676,1.5109181264959848,5.960296889280461e-16
taker_tp,oos_warm,timeframe,15m,6224,18402,0.4087403598971722,0.005154721268135654,0.12088333401141156,0.1981253102039687,0.039632780194250365,0.032684557994792626,0.04655010560323127,0.0,0.0002445707149266015,0.3172373247111696,-0.19635399069975654,1.6156398124663272,5.420155235887039e-16
taker_tp,oos_warm,timeframe,1h,1820,18402,0.39285714285714285,0.0085745952591403,0.04917219055557274,0.13408325292070858,0.02682513923177176,0.021255676071896115,0.03236063796670143,0.0,-0.0005378671228647081,0.21398683906821314,-0.16481464851264024,1.2983484235128633,5.452919307615685e-16
taker_tp,oos_warm,timeframe,2h,953,18402,0.40083945435466944,0.01222482769312122,0.05452078084577018,0.10487155030861493,0.020979342412632513,0.017721030200875117,0.024217514316604724,0.0,-0.0011591293779336595,0.1666303078607936,-0.11210952701502347,1.4863171070061152,5.536540150468972e-16
taker_tp,oos_warm,timeframe,4h,517,18402,0.3694390715667311,0.017992690746212705,-0.038838697866892605,0.07510782708362561,0.015032962011156727,0.011302037250699708,0.018718308161633536,0.0,-0.0018504659362480317,0.11831066857086754,-0.15714936643776012,0.7528548873770047,5.960296889280461e-16
taker_tp,oos_warm,stop_width,0.30~0.40%,1877,18402,0.4038359083644113,0.0034908577216066876,0.15384307072585376,0.28858352116501335,0.05773017058589935,0.046824783153013375,0.06858166183860966,0.0,-0.000339322571705716,0.46138081417083,-0.3075377434449751,1.500241267957995,5.189036260580092e-16
taker_tp,oos_warm,stop_width,0.40~0.50%,1543,18402,0.4024627349319507,0.004457303875487115,0.11831614965564947,0.22437778272637227,0.044886156792778915,0.03638497766645239,0.05334491126587723,0.0,-0.0001847393438084889,0.35880908910767234,-0.24049293945202302,1.4919734854804447,5.368665785133144e-16
taker_tp,oos_warm,stop_width,0.50~0.75%,2642,18402,0.42240726722180166,0.0060849229951673274,0.13881042531566806,0.16565391973498494,0.03313346135592154,0.028333774421643643,0.037922410892431584,0.0,-0.00014717170088613242,0.2648963947040956,-0.12608596938842787,2.100918888826085,5.38421080195015e-16
taker_tp,oos_warm,stop_width,0.75~1.00%,1239,18402,0.3922518159806295,0.00858327955300061,0.038933407950919215,0.11662720270266572,0.023333207973340497,0.01850240748882122,0.028132930939959035,0.0,2.1634349431075333e-05,0.18661738345421755,-0.1476839755032986,1.2636264890502582,5.420155235887039e-16
taker_tp,oos_warm,stop_width,1.00~1.50%,1151,18402,0.4005212858384014,0.011994836055830157,0.04292282074798799,0.08326067371434272,0.016656166382025925,0.013489545572194955,0.019806652050670368,0.0,-0.000249512523643608,0.13296352519559035,-0.0900407044476022,1.4767046305481364,5.452919307615685e-16
taker_tp,oos_warm,stop_width,≥1.50%,1062,18402,0.3672316384180791,0.02059302502553091,-0.058338145423923154,0.04713634798904629,0.009437819964058852,0.007066284443234818,0.011767165687517685,0.0,5.002038039206158e-05,0.0754576384642497,-0.133795783888173,0.5639762051644128,5.960296889280461e-16
taker_tp,oos,overall,전체,9225,17946,0.4009756097560976,0.006049058508875294,0.08797867379573128,0.17112328814787373,0.034232967692079654,0.027928243649858984,0.0405044338885598,0.0,-0.00015869051317550888,0.27363024286519666,-0.18565156906946473,1.47389135592392,5.45972659613232e-16
taker_tp,oos,timeframe,15m,6081,17946,0.4079921065614208,0.005140021846420809,0.11929665673655891,0.19869242899438333,0.03974641941127367,0.03270136986572161,0.046759710647922816,0.0,0.00025111539563693207,0.3181510443149384,-0.19885438757837795,1.5999196607595092,5.324974792215983e-16
taker_tp,oos,timeframe,1h,1755,17946,0.3886039886039886,0.008499393419282722,0.03881820574188518,0.13463587756669781,0.02693675533961483,0.02106243737640387,0.03277274623409596,0.0,-0.0005603496422804822,0.21484746687453196,-0.1760292611326468,1.2205213240805102,5.45972659613232e-16
taker_tp,oos,timeframe,2h,911,17946,0.3995609220636663,0.011785146962686649,0.05227756221963075,0.10677665290203871,0.021360777875600187,0.018023779107046674,0.024675977007880722,0.0,-0.0012003320939916004,0.1696368547985747,-0.117359292578944,1.445448852586302,4.417528611294295e-16
taker_tp,oos,timeframe,4h,478,17946,0.3598326359832636,0.017549937415574597,-0.06190484123114175,0.07699618520078272,0.015413130238043504,0.011290328774871248,0.019480371290642975,0.0,-0.0019122103453633155,0.12126780515897712,-0.18317264639011893,0.6620410173072587,3.8281574447119336e-16
