symbol,timeframe,segment,arm,lens,num_candidates,num_trades,win_rate,total_return,max_drawdown
SOL/USDT:USDT,2h,oos,band,baseline,73,50,0.62,0.2161242154946931,0.0312835345958267
SOL/USDT:USDT,4h,full,off,baseline,88,76,0.5789473684210527,0.3364607263108504,0.0412724490098484
SOL/USDT:USDT,4h,full,freeze,baseline,128,95,0.5684210526315789,0.4114802965350533,0.0412724490098485
SOL/USDT:USDT,4h,full,band,baseline,118,87,0.5747126436781609,0.3909681764717057,0.0412724490098485
SOL/USDT:USDT,4h,is,off,baseline,44,38,0.6052631578947368,0.1839623396345101,0.02110188125852
SOL/USDT:USDT,4h,is,freeze,baseline,59,49,0.5714285714285714,0.1982244476954079,0.0322911556763675
SOL/USDT:USDT,4h,is,band,baseline,56,45,0.6,0.220597722543583,0.0211018812585202
SOL/USDT:USDT,4h,oos_warm,off,baseline,44,38,0.5526315789473685,0.1288034100167548,0.0412724490098483
SOL/USDT:USDT,4h,oos_warm,freeze,baseline,69,46,0.5652173913043478,0.1779765462554267,0.0412724490098482
SOL/USDT:USDT,4h,oos_warm,band,baseline,62,42,0.5476190476190477,0.1395795279488886,0.0412724490098484
SOL/USDT:USDT,4h,oos,off,baseline,37,32,0.53125,0.0870083192687559,0.0412724490098482
SOL/USDT:USDT,4h,oos,freeze,baseline,55,37,0.5135135135135135,0.0859160561631104,0.0423970134248622
SOL/USDT:USDT,4h,oos,band,baseline,48,34,0.5,0.0659149768939307,0.0423676655004319
BNB/USDT:USDT,1h,full,off,baseline,296,220,0.6090909090909091,1.067979652057256,0.0782552678566436
BNB/USDT:USDT,1h,full,freeze,baseline,420,286,0.5979020979020979,1.336521808995186,0.1161549955085246
BNB/USDT:USDT,1h,full,band,baseline,395,257,0.6108949416342413,1.3670022926427854,0.0876864035959986
BNB/USDT:USDT,1h,is,off,baseline,190,142,0.6619718309859155,0.8529515079235287,0.046145444488873
BNB/USDT:USDT,1h,is,freeze,baseline,267,191,0.6492146596858639,1.1963472444125942,0.0464450656767841
BNB/USDT:USDT,1h,is,band,baseline,248,170,0.6705882352941176,1.1749668158350848,0.046445065676784
BNB/USDT:USDT,1h,oos_warm,off,baseline,106,78,0.5128205128205128,0.1160462878894735,0.0782552678566434
BNB/USDT:USDT,1h,oos_warm,freeze,baseline,153,95,0.4947368421052631,0.0638216770773335,0.10987697038943
BNB/USDT:USDT,1h,oos_warm,band,baseline,147,87,0.4942528735632184,0.0882935203468698,0.0876864035959986
BNB/USDT:USDT,1h,oos,off,baseline,106,78,0.5128205128205128,0.1160462878894735,0.0782552678566434
BNB/USDT:USDT,1h,oos,freeze,baseline,153,95,0.4947368421052631,0.0638216770773335,0.10987697038943
BNB/USDT:USDT,1h,oos,band,baseline,147,87,0.4942528735632184,0.0882935203468698,0.0876864035959986
BNB/USDT:USDT,2h,full,off,baseline,127,110,0.6,0.4372065549895562,0.0500228624285745
BNB/USDT:USDT,2h,full,freeze,baseline,199,149,0.6040268456375839,0.7404735163692975,0.0429108277885995
BNB/USDT:USDT,2h,full,band,baseline,184,135,0.5925925925925926,0.57439190461355,0.0599947686795943
BNB/USDT:USDT,2h,is,off,baseline,81,72,0.5972222222222222,0.2621283509823204,0.0318355601923884
BNB/USDT:USDT,2h,is,freeze,baseline,132,100,0.59,0.440506206253098,0.0409907500073687
BNB/USDT:USDT,2h,is,band,baseline,124,92,0.5978260869565217,0.3861712132964354,0.0318355601923884
BNB/USDT:USDT,2h,oos_warm,off,baseline,46,38,0.6052631578947368,0.1387166399288717,0.0429108277885992
BNB/USDT:USDT,2h,oos_warm,freeze,baseline,67,49,0.6326530612244898,0.2082374298799064,0.0429108277885995
BNB/USDT:USDT,2h,oos_warm,band,baseline,60,43,0.5813953488372093,0.1357845910459418,0.0529573890390698
BNB/USDT:USDT,2h,oos,off,baseline,46,38,0.6052631578947368,0.1387166399288717,0.0429108277885992
BNB/USDT:USDT,2h,oos,freeze,baseline,67,49,0.6326530612244898,0.2082374298799064,0.0429108277885995
BNB/USDT:USDT,2h,oos,band,baseline,60,43,0.5813953488372093,0.1357845910459418,0.0529573890390698
BNB/USDT:USDT,4h,full,off,baseline,71,61,0.6229508196721312,0.3620290124854666,0.0365578064770352
BNB/USDT:USDT,4h,full,freeze,baseline,121,87,0.5977011494252874,0.464456562574909,0.0508040071320479
BNB/USDT:USDT,4h,full,band,baseline,102,72,0.5833333333333334,0.3399844007474641,0.0428885389645907
BNB/USDT:USDT,4h,is,off,baseline,46,40,0.625,0.2251429162465778,0.0363784624916279
BNB/USDT:USDT,4h,is,freeze,baseline,81,57,0.5964912280701754,0.2783325506457955,0.0508040071320479
BNB/USDT:USDT,4h,is,band,baseline,68,46,0.5652173913043478,0.1789639871374929,0.0408117739320388
BNB/USDT:USDT,4h,oos_warm,off,baseline,25,21,0.6190476190476191,0.1117307168197659,0.0365578064770353
BNB/USDT:USDT,4h,oos_warm,freeze,baseline,40,30,0.6,0.1455990554532045,0.0428885389645906
BNB/USDT:USDT,4h,oos_warm,band,baseline,34,26,0.6153846153846154,0.1365778898818833,0.0428885389645908
BNB/USDT:USDT,4h,oos,off,baseline,24,20,0.6,0.0957420265370777,0.0365578064770352
BNB/USDT:USDT,4h,oos,freeze,baseline,37,27,0.5925925925925926,0.1246067392805702,0.0428885389645909
BNB/USDT:USDT,4h,oos,band,baseline,31,23,0.5652173913043478,0.0888251654451951,0.0428885389645909
XRP/USDT:USDT,1h,full,off,baseline,317,246,0.6219512195121951,1.510248694624167,0.0990836751184677
