lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
baseline,19,all,full,DOT,36,5822,0.5882858124355892,49930977.74574342,0.2029115497890466,12,0.12043853909651342,5.0,0,2182,1269,23
baseline,19,all,full,BCH,36,5828,0.5863074811256005,38292942.78748643,0.21496947492553867,13,0.12050462338217574,5.0,0,2168,1273,21
baseline,19,all,full,ETC,36,5819,0.5856676404880564,34266078.63806287,0.21667752775687066,11,0.11043853909651342,5.0,0,2191,1266,24
baseline,19,all,full,ATOM,36,5805,0.5879414298018949,43358722.11466033,0.21489814910756388,12,0.12043853909651342,5.000000000000001,0,2200,1265,29
baseline,19,all,full,XLM,36,5856,0.5889685792349727,60332663.68439486,0.21481149336870478,13,0.12050462338217574,5.0,0,2172,1293,22
baseline,19,all,full,ALGO,36,5748,0.5885525400139179,45472931.251227036,0.19794529927576668,12,0.1204385390965134,5.0,0,2181,1231,26
baseline,19,all,full,XMR,36,5716,0.5862491252624212,30567551.404075757,0.22135808608287108,13,0.12050462338217574,5.0,0,2138,1239,25
baseline,19,all,full,THETA,36,5788,0.5889771941948859,45252866.81361644,0.19225296418871396,13,0.12050669722025104,5.0,0,2215,1261,20
baseline,19,all,full,VET,36,5780,0.5894463667820069,48251198.76268937,0.1891796895427419,13,0.12050462338217574,5.0,0,2194,1261,23
baseline,19,1h,oos_warm,,19,1748,0.5532036613272311,30.64252589741395,0.1615405903984372,7,0.06016228346756511,5.0,0,940,376,1
baseline,19,1h,full,,19,4924,0.5885458976441917,1791043.8082528377,0.16671490332786787,8,0.0702152681260493,5.000000000000001,0,2185,1080,3
baseline,19,4h,oos_warm,,19,469,0.5650319829424307,3.4082794710372006,0.1032947909777996,7,0.06535375294728063,4.53902590164612,0,52,113,0
baseline,19,4h,full,,19,1224,0.5841503267973857,89.38961191764152,0.2168745683733233,8,0.08031136955523044,4.539025901646119,0,98,263,0
pen_5bp,9,all,oos_warm,,18,934,0.5438972162740899,5.679318457812015,0.09145553963809325,7,0.06930001135821755,4.555801705445583,0,463,200,0
pen_5bp,9,all,full,,18,2630,0.5836501901140685,2611.675737281836,0.09145553963809333,8,0.08043388010398918,5.0,0,1063,529,0
pen_5bp,9,1h,oos_warm,,9,725,0.5365517241379311,2.34561942022692,0.09965941104293582,4,0.039774932840309085,3.9525104440388055,0,433,152,0
pen_5bp,9,1h,full,,9,2088,0.5795019157088123,290.86402519820405,0.10153135455277913,6,0.049999999999999996,5.0,0,1010,432,0
pen_5bp,9,4h,oos_warm,,9,209,0.569377990430622,1.0235798469278736,0.0668492261579066,4,0.040106050469288564,3.427839819273697,0,30,48,0
pen_5bp,9,4h,full,,9,542,0.5996309963099631,8.319043327941387,0.09030413785063308,7,0.07000000000000002,3.427839819273697,0,53,97,0
pen_5bp,12,all,oos_warm,,24,1264,0.5403481012658228,11.145525920765056,0.137253302707111,9,0.08094235912692718,5.0,0,601,278,1
pen_5bp,12,all,full,,24,3531,0.5791560464457661,29444.149158514534,0.13725330270711103,9,0.08094235912692717,5.0,0,1384,750,2
pen_5bp,12,1h,oos_warm,,12,989,0.5369059656218402,4.706857974619046,0.10775590255145344,6,0.05592886450718982,4.817277512557705,0,562,218,0
pen_5bp,12,1h,full,,12,2812,0.577524893314367,2106.751634054531,0.10775590255145348,6,0.05592886450718982,5.0,0,1317,605,0
pen_5bp,12,4h,oos_warm,,12,276,0.5507246376811594,1.201724907216516,0.07664567663938872,5,0.05010719031037911,3.4278398192736965,0,37,60,0
pen_5bp,12,4h,full,,12,721,0.5852981969486823,14.265417734460392,0.136406179831653,7,0.07,3.427839819273697,0,65,145,0
pen_5bp,15,all,oos_warm,,30,1545,0.540453074433657,20.538386688485634,0.1468233884651047,9,0.08255293895400811,5.0,0,736,333,3
pen_5bp,15,all,full,,30,4405,0.5791146424517594,421091.18442056683,0.146823388465105,11,0.1104338801039892,5.000000000000001,0,1682,923,7
pen_5bp,15,1h,oos_warm,,15,1207,0.5352112676056338,6.9966390649431744,0.15249038769944215,6,0.05592886450718982,5.0,0,695,257,0
pen_5bp,15,1h,full,,15,3502,0.5796687607081668,18326.977384799786,0.15249038769944198,6,0.06053099934620802,5.0,0,1606,743,1
pen_5bp,15,4h,oos_warm,,15,341,0.5571847507331378,1.8252996775955017,0.09330117359323518,6,0.055353752947280635,3.9206255897983544,0,39,76,0
pen_5bp,15,4h,full,,15,908,0.5770925110132159,25.090263271659637,0.16855739458897656,7,0.06999999999999998,3.9206255897983544,0,73,181,0
pen_5bp,19,all,oos_warm,,38,2084,0.5427063339731286,60.8126060474847,0.20586162346966322,9,0.08686873201558916,5.0,0,921,461,15
pen_5bp,19,all,full,,38,5808,0.5752410468319559,15289954.834671399,0.20586162346966336,12,0.12043853909651338,5.0,0,2099,1269,22
pen_5bp,19,1h,oos_warm,,19,1642,0.5371498172959805,16.2717692983353,0.16130902727706078,7,0.0601622834675651,5.0,0,866,359,1
pen_5bp,19,1h,full,,19,4640,0.575,302371.933930705,0.1613090272770614,8,0.07021526812604928,5.0,0,2003,1024,2
pen_5bp,19,4h,oos_warm,,19,453,0.565121412803532,3.27541322731197,0.10329479097779974,6,0.06032316125977207,4.53902590164612,0,49,105,0
pen_5bp,19,4h,full,,19,1184,0.5768581081081081,68.0313693809871,0.20048205240290826,8,0.08031606021145571,4.53902590164612,0,87,249,0
