segment,indicator,convention,bucket,order,num_trades,share_of_trades,win_rate,mean_net_r,sum_net_r,share_of_total_net_r,total_trades,zero_duration_trades,negative_raw_trades,negative_raw_min
full,realized_net_r_today_before,strict,[-5R ~ -3R),2,3318,0.06712251173329017,0.41742013261000604,-0.06310759438110183,-209.39099815649587,0.042925787497817856,49432,11411,0,0
full,realized_net_r_today_before,strict,[-10R ~ -5R),3,5866,0.11866806926687166,0.4024889191953631,-0.1007849748333247,-591.2046623722827,0.12119874267825331,49432,11411,0,0
full,realized_net_r_today_before,strict,[-20R ~ -10R),4,5936,0.12008415601229973,0.3957210242587601,-0.10736471178172283,-637.3169291363067,0.1306518967373204,49432,11411,0,0
full,realized_net_r_today_before,strict,< -20R,5,7333,0.14834520148891406,0.3645165689349516,-0.17462277713082763,-1280.5088247003591,0.26250817934917464,49432,11411,0,0
full,realized_net_r_today_before,settled,≥ 0R,0,17270,0.3493688299077521,0.4376375217139548,-0.024158267653671878,-417.21328237891333,0.08552998389777587,49432,11411,0,0
full,realized_net_r_today_before,settled,[-3R ~ 0R),1,6832,0.13821006635377892,0.42754683840749413,-0.04398760994850478,-300.52335116818466,0.061608195309027364,49432,11411,0,0
full,realized_net_r_today_before,settled,[-5R ~ -3R),2,3437,0.06952985920051788,0.41809717777131217,-0.06436513126433444,-221.22295615551747,0.04535137464922688,49432,11411,0,0
full,realized_net_r_today_before,settled,[-10R ~ -5R),3,6028,0.12194529859200517,0.3964830789648308,-0.11924552476703419,-718.8120232956821,0.14735863735558455,49432,11411,0,0
full,realized_net_r_today_before,settled,[-20R ~ -10R),4,6394,0.12934940928952904,0.3920863309352518,-0.12259894615592841,-783.8976617210062,0.16070138995145872,49432,11411,0,0
full,realized_net_r_today_before,settled,< -20R,5,9471,0.1915965366564169,0.3339668461619681,-0.257238685072935,-2436.3075863257673,0.4994504188369143,49432,11411,0,0
is,open_cells_before,wan408,0–1,0,10781,0.31168868715487585,0.37250718857248866,-0.1716444183134582,-1850.4984738373928,0.5996712226229342,34589,8700,7303,-95
is,open_cells_before,wan408,2–3,1,5787,0.1673075255138917,0.42025228961465355,-0.05928034219577187,-343.0553402869318,0.1111702701978387,34589,8700,7303,-95
is,open_cells_before,wan408,4–6,2,9659,0.2792506288126283,0.4263381302412258,-0.04223348675376821,-407.93324855464715,0.13219455912440073,34589,8700,7303,-95
is,open_cells_before,wan408,7–10,3,6826,0.1973459770447252,0.4170817462642836,-0.054802488606962095,-374.08178723112326,0.12122467858331884,34589,8700,7303,-95
is,open_cells_before,wan408,11+,4,1536,0.04440718147387898,0.404296875,-0.0718009149548733,-110.28620537068538,0.03573926947150477,34589,8700,7303,-95
is,open_cells_before,interval,0–1,0,5191,0.15007661395241262,0.37584280485455596,-0.1654955858474922,-859.0875861343319,0.27839531369569187,34589,8700,7303,-95
is,open_cells_before,interval,2–3,1,7760,0.22434878140449277,0.40760309278350515,-0.08568722280680265,-664.9328489807885,0.21547766731392534,34589,8700,7303,-95
is,open_cells_before,interval,4–6,2,11495,0.33233108791812427,0.41087429317094387,-0.08025402150014428,-922.5199771441585,0.29895116932516336,34589,8700,7303,-95
is,open_cells_before,interval,7–10,3,8306,0.24013414669403568,0.4139176498916446,-0.06504895347554893,-540.2966075679094,0.17508813534300838,34589,8700,7303,-95
is,open_cells_before,interval,11+,4,1837,0.05310937003093469,0.41317365269461076,-0.05390203345323365,-99.01803545359022,0.03208771432220764,34589,8700,7303,-95
is,open_cells_before,open_end,0–1,0,2669,0.07716325999595247,0.4275009366804046,-0.04134739418591566,-110.3561950822089,0.035761950287767914,34589,8700,7303,-95
is,open_cells_before,open_end,2–3,1,5349,0.1546445401717309,0.4309216676014208,-0.03170866063035458,-169.60962571176665,0.054963574981111187,34589,8700,7303,-95
is,open_cells_before,open_end,4–6,2,10231,0.29578767816357804,0.41657706969015734,-0.06682407639143557,-683.6771255607774,0.22155192428458634,34589,8700,7303,-95
is,open_cells_before,open_end,7–10,3,12140,0.3509786348261008,0.3896210873146623,-0.1263542821810009,-1533.940985677351,0.4970878275868255,34589,8700,7303,-95
is,open_cells_before,open_end,11+,4,4200,0.12142588684263783,0.38,-0.14006455315444816,-588.2711232486822,0.190634722859708,34589,8700,7303,-95
is,realized_net_r_today_before,strict,≥ 0R,0,14348,0.4148139581948018,0.41448285475327573,-0.07957314173552633,-1141.7154376213318,0.3699834947424141,34589,8700,0,0
is,realized_net_r_today_before,strict,[-3R ~ 0R),1,4781,0.13822313452253607,0.41413930140138044,-0.0717534186359668,-343.0530944985573,0.1111695424292513,34589,8700,0,0
is,realized_net_r_today_before,strict,[-5R ~ -3R),2,2134,0.061695914886235506,0.42221180880974696,-0.046272717973246384,-98.74598015490778,0.03199955227512222,34589,8700,0,0
is,realized_net_r_today_before,strict,[-10R ~ -5R),3,3838,0.11096013183382,0.39421573736321003,-0.11710862278148855,-449.4628942353531,0.14565262664109652,34589,8700,0,0
is,realized_net_r_today_before,strict,[-20R ~ -10R),4,4204,0.12154153054439272,0.4008087535680305,-0.08711086390403393,-366.2140718525586,0.11867507231937566,34589,8700,0,0
is,realized_net_r_today_before,strict,< -20R,5,5284,0.15276533001821388,0.38001514004542014,-0.1299514717861604,-686.6635769180716,0.22251971159273728,34589,8700,0,0
is,realized_net_r_today_before,settled,≥ 0R,0,12278,0.3549683425366446,0.43639029157843295,-0.02200599020108797,-270.1895476889581,0.08755743314209971,34589,8700,0,0
is,realized_net_r_today_before,settled,[-3R ~ 0R),1,4600,0.13299025701812714,0.43630434782608696,-0.016121967605064822,-74.16105098329818,0.024032577569185306,34589,8700,0,0
is,realized_net_r_today_before,settled,[-5R ~ -3R),2,2244,0.06487611668449507,0.42201426024955435,-0.049870740394547856,-111.90994144536539,0.03626545623193,34589,8700,0,0
is,realized_net_r_today_before,settled,[-10R ~ -5R),3,3947,0.11411142270664083,0.3891563212566506,-0.13438205492693578,-530.4059707966155,0.17188298260766904,34589,8700,0,0
is,realized_net_r_today_before,settled,[-20R ~ -10R),4,4385,0.12677440804880163,0.39954389965792475,-0.09639339776889747,-422.68504921661537,0.13697501718147104,34589,8700,0,0
is,realized_net_r_today_before,settled,< -20R,5,7135,0.20627945300529069,0.34113524877365103,-0.23496895517167923,-1676.5034951499313,0.5432865332676432,34589,8700,0,0
oos_warm,open_cells_before,wan408,0–1,0,4443,0.29933301893148284,0.37474679270763,-0.18775462112877808,-834.1937816751611,0.4654782833354297,14843,2711,2390,-131
oos_warm,open_cells_before,wan408,2–3,1,3228,0.21747625143165128,0.4191449814126394,-0.0778347730142794,-251.25064729009387,0.1401973049387342,14843,2711,2390,-131
oos_warm,open_cells_before,wan408,4–6,2,4508,0.3037121875631611,0.4181455190771961,-0.07591436210564739,-342.22194437225846,0.19095908730729755,14843,2711,2390,-131
oos_warm,open_cells_before,wan408,7–10,3,2390,0.16101866199555345,0.3916317991631799,-0.13374876761760776,-319.65955460608257,0.17836932376912473,14843,2711,2390,-131
oos_warm,open_cells_before,wan408,11+,4,274,0.018459880078151317,0.3759124087591241,-0.16348860518507388,-44.795877820710245,0.02499600064941209,14843,2711,2390,-131
oos_warm,open_cells_before,interval,0–1,0,2891,0.19477194637202722,0.3708059494984434,-0.19764461636461617,-571.3905859101053,0.3188346819240989,14843,2711,2390,-131
oos_warm,open_cells_before,interval,2–3,1,3951,0.26618608098093377,0.40572007086813466,-0.1102051972353838,-435.4207342770014,0.24296380573936596,14843,2711,2390,-131
oos_warm,open_cells_before,interval,4–6,2,5038,0.3394192548676144,0.41425168717745137,-0.08610899825879766,-433.8171332278226,0.24206899990417058,14843,2711,2390,-131
