symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,arm
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,75,0.4266666666666667,-0.08180881037049,0.1533641847298068,-9.996045516800033,0.7875308370335955,0.0666666666666666,0.6798029556650246,203,138,1.0,Cadopt
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,178,0.4775280898876404,0.0516018611013121,0.0624149288545404,3.2006326848914,1.0626371846948626,0.1938202247191011,0.6505376344086021,372,242,1.0,A
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,166,0.5,0.1143614835113494,0.0488804304565712,6.735020652393293,1.1502030511167995,0.25,0.6305555555555555,360,227,1.0,B
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,133,0.4962406015037593,0.0768093213039583,0.0464928936836311,5.88895063408427,1.1292989053487976,0.2406015037593984,0.5305555555555556,360,191,1.0,C
TRX/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,144,0.4861111111111111,0.0593262900576077,0.0585676881146633,4.390756485146214,1.090742487403335,0.2152777777777778,0.775,360,279,1.0,Cadopt
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,80,0.4375,-0.0851137834304774,0.144069069918097,-13.607648166033188,0.7210213867279528,0.09375,0.6763005780346821,173,117,1.0,A
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,75,0.44,-0.0779435976659944,0.1337024358068427,-13.028617407671758,0.7303112263388158,0.1,0.6566265060240963,166,109,1.0,B
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,58,0.4137931034482758,-0.0752791475271622,0.1164104139170146,-16.477667671794162,0.6742293924875374,0.0344827586206896,0.5602409638554217,166,93,1.0,C
TRX/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,65,0.4307692307692308,-0.0737961219822003,0.127483638409722,-14.47778969013626,0.7076373530917317,0.0769230769230769,0.7771084337349398,166,129,1.0,Cadopt
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,623,0.5024077046548957,0.21352132547634065,0.14760042243545413,8.273474243155185,1.0827636153266058,0.25601926163723915,0.568698347107438,1936,1101,1.0,A
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,594,0.5,0.20535339070702685,0.1411964787532368,8.315803041540857,1.0830269298600317,0.25,0.5473908413205538,1878,1028,1.0,B
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,448,0.5200892857142857,0.3076258887556425,0.1078451203016651,15.102728940107843,1.1600119978267347,0.3002232142857143,0.46166134185303515,1878,867,1.0,C
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,531,0.5178907721280602,0.3895838281702823,0.11448409325322606,15.678483058459877,1.1638283905295743,0.2947269303201507,0.7960596379126731,1878,1495,1.0,Cadopt
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,317,0.42902208201892744,-0.16498567889668847,0.21958680899857488,-12.583141500984349,0.8606558867234724,0.07255520504731862,0.5881731784582893,947,557,1.0,A
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,295,0.4406779661016949,-0.11169660258902259,0.1951250653664478,-8.50822489490864,0.9010094804607789,0.1016949152542373,0.5660377358490566,901,510,1.0,B
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,232,0.4482758620689655,-0.06379353896112806,0.11859366684155816,-6.0089993172961185,0.9263706399747503,0.1206896551724138,0.4839067702552719,901,436,1.0,C
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,263,0.4600760456273764,-0.05738427538314609,0.13994660164667228,-4.535553748097638,0.941657917349997,0.15019011406844107,0.806881243063263,901,727,1.0,Cadopt
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,729,0.48148148148148145,-0.038120201291550256,0.2548930956859026,-0.3212009455677563,0.9861648429572911,0.2037037037037037,0.5845410628019324,1863,1089,1.0,A
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,693,0.4805194805194805,-0.026314053575833714,0.26139896116263234,0.006861570132075348,0.9899084369294958,0.2012987012987013,0.568561872909699,1794,1020,1.0,B
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,541,0.48428835489833644,0.05116429936051282,0.19494407314866702,2.784823340335342,1.0242344936327943,0.21072088724584104,0.4738015607580825,1794,850,1.0,C
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,653,0.4793261868300153,-0.03258072592161243,0.2829992927952583,-0.2795002459979519,0.9864340042792336,0.19831546707503828,0.7887402452619844,1794,1415,1.0,Cadopt
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,430,0.4813953488372093,0.08035706459841713,0.1648842260190393,4.528587717990392,1.0402572848833507,0.20348837209302326,0.5685053380782918,1124,639,1.0,A
