timeframe,month,filled,guard_rejected,guard_reject_rate,ceiling_below_guard,ceiling_share_of_rejects,median_stop_width_pct,p10_stop_width_pct,p90_stop_width_pct,median_zone_ceiling_pct,path_observed,path_unfilled,median_path_delta_bps,path_deeper_share,path_guard_reject_rate,engine_guard_reject_rate_on_path_subset
1h,2020-11,29,2,0.06896551724137931,0,0.0,1.807970273432851,0.6270396276820647,2.4724433322120465,2.0266660906599068,28,1,0.0,0.25,0.07142857142857142,0.07142857142857142
1h,2020-12,51,1,0.0196078431372549,0,0.0,1.5647942018175505,0.8772946768852778,3.2406111889642584,1.6930904387435128,44,7,0.0,0.20454545454545456,0.022727272727272728,0.022727272727272728
1h,2021-01,66,3,0.045454545454545456,0,0.0,2.0868327569641374,1.1128662842889798,3.862301999167829,2.3306312694415476,58,8,0.0,0.2413793103448276,0.034482758620689655,0.034482758620689655
1h,2021-02,31,0,0.0,0,,2.5460287543956253,1.7207380409997888,3.8338219034677703,3.0912545406113123,31,0,0.0,0.25806451612903225,0.0,0.0
1h,2021-03,64,0,0.0,0,,1.538873176778957,0.8638151846540619,2.261219128280507,1.7022635298555966,58,6,0.0,0.1724137931034483,0.0,0.0
1h,2021-04,46,2,0.043478260869565216,0,0.0,1.8239144443194932,0.6409415893284885,2.8348547412878125,2.0062608193369638,43,3,0.0,0.13953488372093023,0.023255813953488372,0.023255813953488372
1h,2021-05,79,1,0.012658227848101266,0,0.0,2.4745686548792905,1.1114370776433364,4.18381001425205,2.6894335552435837,72,7,0.0,0.1527777777777778,0.013888888888888888,0.013888888888888888
1h,2021-06,73,4,0.0547945205479452,0,0.0,1.4736110286758513,0.7030694847710091,2.7678468376911693,1.5522836692850304,62,11,0.0,0.1935483870967742,0.06451612903225806,0.06451612903225806
1h,2021-07,48,2,0.041666666666666664,0,0.0,1.112168725823556,0.6367053230847514,2.057142577417095,1.159696030693078,37,11,0.0,0.10810810810810811,0.05405405405405406,0.02702702702702703
1h,2021-08,81,2,0.024691358024691357,0,0.0,1.2165845600333496,0.6346631136008979,2.180610434474163,1.3188254766969003,69,12,0.0,0.21739130434782608,0.0,0.0
1h,2021-09,60,0,0.0,0,,1.4186618897305654,0.9205511838808774,2.3236827288920057,1.4137396197764298,59,1,0.0,0.13559322033898305,0.0,0.0
1h,2021-10,62,5,0.08064516129032258,0,0.0,1.0883773130533045,0.5423020860931925,1.6430220553250263,1.1799118555470616,57,5,0.0,0.2807017543859649,0.07017543859649122,0.07017543859649122
1h,2021-11,61,2,0.03278688524590164,0,0.0,0.9559350090157808,0.4495976027318126,1.8496958747177876,1.1233612737751344,55,6,0.0,0.2,0.01818181818181818,0.01818181818181818
1h,2021-12,76,2,0.02631578947368421,0,0.0,1.2748861122543178,0.7930687433094953,2.212090524794017,1.3771980197977198,65,11,0.0,0.1076923076923077,0.0,0.0
1h,2022-01,80,0,0.0,0,,1.1699363519141068,0.7515079510487708,2.5199660199563745,1.3204406856469926,67,13,0.0,0.13432835820895522,0.0,0.0
1h,2022-02,62,0,0.0,0,,1.4288773696125243,0.6163650016129675,1.8934124200304925,1.5286427109104106,55,7,0.0,0.12727272727272726,0.0,0.0
1h,2022-03,32,1,0.03125,0,0.0,0.9029869333691218,0.4244071278794996,1.802260794954163,1.147470589750184,25,7,0.0,0.24,0.0,0.0
1h,2022-04,48,1,0.020833333333333332,0,0.0,0.9424498658499993,0.6139241653784873,1.3249856703236549,0.941888075191898,43,5,0.0,0.16279069767441862,0.023255813953488372,0.023255813953488372
1h,2022-05,66,1,0.015151515151515152,0,0.0,1.4923062751316511,0.823049901171681,2.4004722864950865,1.5490910459693574,58,8,0.0,0.15517241379310345,0.017241379310344827,0.017241379310344827
1h,2022-06,98,2,0.02040816326530612,0,0.0,1.3032295075721072,0.6433780431995679,2.6640949075324314,1.4728538677130514,86,12,0.0,0.2441860465116279,0.011627906976744186,0.011627906976744186
1h,2022-07,57,2,0.03508771929824561,0,0.0,1.0263592795663967,0.5791258809849475,1.7033009943428132,1.2283257634187448,52,5,0.0,0.17307692307692307,0.038461538461538464,0.038461538461538464
1h,2022-08,61,0,0.0,0,,1.164532178229268,0.6633035702295337,1.585798414517502,1.1960971867800103,58,3,0.0,0.08620689655172414,0.0,0.0
1h,2022-09,51,0,0.0,0,,1.2286095067616107,0.565521816271655,2.014347786610653,1.351319116334361,46,5,0.0,0.17391304347826086,0.0,0.0
1h,2022-10,49,8,0.16326530612244897,4,0.5,0.6008060934206545,0.264884972058501,1.052420660023303,0.7069154231441466,45,4,0.0,0.15555555555555556,0.2,0.17777777777777778
1h,2022-11,61,1,0.01639344262295082,0,0.0,1.2069575073285423,0.4549690217709219,3.61096022761422,1.411193674121895,56,5,0.0,0.16071428571428573,0.017857142857142856,0.017857142857142856
1h,2022-12,42,6,0.14285714285714285,1,0.16666666666666666,0.5741033384247921,0.2635813040905705,0.9516520551054826,0.6438804511408016,36,6,0.0,0.2777777777777778,0.16666666666666666,0.16666666666666666
1h,2023-01,28,1,0.03571428571428571,0,0.0,1.1519379609187603,0.398149838961301,1.7465408384002974,1.1319419601189271,26,2,0.0,0.15384615384615385,0.0,0.0
1h,2023-02,33,2,0.06060606060606061,0,0.0,0.812076873226813,0.5006944126816378,1.2672761890309798,0.9479273489521196,28,5,0.0,0.25,0.07142857142857142,0.07142857142857142
1h,2023-03,58,1,0.017241379310344827,0,0.0,0.9421701118565953,0.5539346069370881,1.9479634683708356,1.1360790149445368,53,5,0.0,0.11320754716981132,0.0,0.0
1h,2023-04,51,6,0.11764705882352941,2,0.3333333333333333,0.756756770314173,0.1939754959195639,1.2266974064208045,0.8492080127346331,41,10,0.0,0.0975609756097561,0.024390243902439025,0.024390243902439025
1h,2023-05,33,8,0.24242424242424243,4,0.5,0.5239043829263947,0.2158360547412741,0.9197342424070416,0.7086914132985811,29,4,0.0,0.1724137931034483,0.20689655172413793,0.20689655172413793
1h,2023-06,42,5,0.11904761904761904,0,0.0,0.6097491389699838,0.2009508235395604,1.3066951827025794,0.6286162923850246,38,4,0.0,0.18421052631578946,0.10526315789473684,0.10526315789473684
1h,2023-07,34,5,0.14705882352941177,3,0.6,0.5482023268660337,0.2020335815316393,1.0052593681586894,0.71932172281017,30,4,0.0,0.23333333333333334,0.1,0.1
1h,2023-08,40,13,0.325,1,0.07692307692307693,0.4082859668190173,0.1726299096279699,0.8864327389407481,0.519466759641594,31,9,0.0,0.4838709677419355,0.22580645161290322,0.22580645161290322
1h,2023-09,72,4,0.05555555555555555,2,0.5,0.556294914343542,0.3471262192648023,0.8766795028091113,0.5869328597802996,69,3,0.0,0.2318840579710145,0.07246376811594203,0.057971014492753624
1h,2023-10,42,0,0.0,0,,0.6196060414299916,0.3881134843428055,0.9384599072230256,0.6823203805645853,37,5,0.0,0.10810810810810811,0.0,0.0
