symbol,timeframe,segment,offset_bps,assumption,seed,penetration_bps,dropout_rate,num_trades,win_rate,total_return,max_drawdown,profit_factor,sharpe,mean_r,eligible_setups,num_filled,fill_rate,num_dropped,num_penetrations
ETH/USDT:USDT,15m,is,0.0,pen_5bp_drop_50,0,5.0,0.5,158,0.43670886075949367,-0.07440901026351185,0.15095047685821822,0.9016723756755306,-7.986755778529014,0.09177215189873418,1549,202,0.13040671400903808,191,0
ETH/USDT:USDT,15m,is,0.0,pen_5bp_drop_50,1,5.0,0.5,152,0.4407894736842105,-0.09438226505437705,0.20789055447011748,0.8667570290613398,-11.12079807814233,0.10197368421052631,1549,193,0.12459651387992253,200,1
ETH/USDT:USDT,15m,is,0.0,pen_5bp_drop_50,2,5.0,0.5,162,0.4506172839506173,-0.0792326356093452,0.17213577556426465,0.8930333200539472,-8.66847067421636,0.12654320987654322,1549,202,0.13040671400903808,191,1
ETH/USDT:USDT,15m,is,2.0,pen_5bp_drop_50,0,5.0,0.5,167,0.40119760479041916,-0.15806792900949312,0.21545048029871822,0.7991781310681424,-17.822818738615613,0.0029940119760479044,1549,207,0.13363460296965785,193,0
ETH/USDT:USDT,15m,is,2.0,pen_5bp_drop_50,1,5.0,0.5,163,0.4171779141104294,-0.12424520339163773,0.17814138001571503,0.8390051907411521,-14.129944769220248,0.04294478527607362,1549,195,0.12588766946417043,205,1
ETH/USDT:USDT,15m,is,2.0,pen_5bp_drop_50,2,5.0,0.5,164,0.45121951219512196,-0.048138963880911254,0.14690279336697604,0.9367727665682573,-4.671795686379813,0.12804878048780488,1549,206,0.1329890251775339,194,1
ETH/USDT:USDT,15m,is,5.0,pen_5bp_drop_50,0,5.0,0.5,171,0.4093567251461988,-0.15646337343175382,0.1674903553972841,0.809282806560506,-17.539093881168085,0.023391812865497075,1549,213,0.13750806972240154,199,1
ETH/USDT:USDT,15m,is,5.0,pen_5bp_drop_50,1,5.0,0.5,165,0.40606060606060607,-0.1663268752695458,0.18369670298110888,0.7840275564491046,-20.12528104746439,0.015151515151515152,1549,202,0.13040671400903808,210,1
ETH/USDT:USDT,15m,is,5.0,pen_5bp_drop_50,2,5.0,0.5,162,0.43209876543209874,-0.10599948728279032,0.16215317205123556,0.8629558428824181,-11.714971741784794,0.08024691358024691,1549,208,0.1342801807617818,204,0
ETH/USDT:USDT,15m,is,10.0,pen_5bp_drop_50,0,5.0,0.5,168,0.42857142857142855,-0.07685479960957291,0.17590223664083096,0.9028175202557959,-7.593689363536041,0.07142857142857142,1549,215,0.13879922530664945,205,1
ETH/USDT:USDT,15m,is,10.0,pen_5bp_drop_50,1,5.0,0.5,171,0.4269005847953216,-0.08755998762807067,0.2099037855459379,0.8877620498796779,-8.806492032825005,0.06725146198830409,1549,209,0.13492575855390573,211,1
ETH/USDT:USDT,15m,is,10.0,pen_5bp_drop_50,2,5.0,0.5,174,0.4367816091954023,-0.08279666289042326,0.13527464331944558,0.9014141454919189,-7.954807703799556,0.09195402298850575,1549,212,0.1368624919302776,208,1
ETH/USDT:USDT,15m,is,20.0,pen_5bp_drop_50,0,5.0,0.5,179,0.31843575418994413,-0.38584922264637334,0.40297074505324665,0.5623847825388439,-49.39220218217661,-0.20391061452513967,1549,220,0.14202711426726922,213,1
ETH/USDT:USDT,15m,is,20.0,pen_5bp_drop_50,1,5.0,0.5,179,0.3407821229050279,-0.31659136543146044,0.31659136543146044,0.6394337673300252,-37.765118307097254,-0.14804469273743018,1549,216,0.1394448030987734,217,1
ETH/USDT:USDT,15m,is,20.0,pen_5bp_drop_50,2,5.0,0.5,178,0.33707865168539325,-0.34253718448822035,0.34730697591806464,0.6195792816321016,-41.562675071011384,-0.15730337078651685,1549,217,0.14009038089089734,216,1
ETH/USDT:USDT,15m,oos,0.0,baseline,0,0.0,0.0,158,0.5189873417721519,0.1565115742898528,0.04486484996428602,1.2069361894223651,17.78044086008705,0.2974683544303797,889,258,0.29021372328458944,0,0
ETH/USDT:USDT,15m,oos,2.0,baseline,0,0.0,0.0,160,0.5125,0.13034287871441483,0.04444277027247291,1.1661459712859423,14.886721662268615,0.28125,889,259,0.29133858267716534,0,0
ETH/USDT:USDT,15m,oos,5.0,baseline,0,0.0,0.0,164,0.5,0.10967659680131692,0.0599841846863977,1.1341628868187337,12.41493585810224,0.25,889,264,0.296962879640045,0,0
ETH/USDT:USDT,15m,oos,10.0,baseline,0,0.0,0.0,168,0.5059523809523809,0.10903084107256945,0.06819764872055008,1.1302952395680983,11.988959064184813,0.2648809523809524,889,267,0.30033745781777277,0,0
ETH/USDT:USDT,15m,oos,20.0,baseline,0,0.0,0.0,172,0.4476744186046512,-0.0403984254115654,0.12272177329367319,0.9556143021015688,-3.1564390631172268,0.11918604651162791,889,270,0.30371203599550056,0,0
ETH/USDT:USDT,15m,oos,0.0,pen_5bp_drop_50,0,5.0,0.5,100,0.53,0.13422439125326274,0.04070431340660064,1.283121121669896,23.116354024491127,0.325,889,129,0.14510686164229472,115,0
ETH/USDT:USDT,15m,oos,0.0,pen_5bp_drop_50,1,5.0,0.5,87,0.5287356321839081,0.08555317753929757,0.042378397460779,1.213383010860047,18.122952753854552,0.3218390804597701,889,123,0.13835770528683913,121,0
ETH/USDT:USDT,15m,oos,0.0,pen_5bp_drop_50,2,5.0,0.5,90,0.5,0.075071803850347,0.03651522634039294,1.1751878356340517,15.484552769613892,0.25,889,120,0.13498312710911137,124,0
ETH/USDT:USDT,15m,oos,2.0,pen_5bp_drop_50,0,5.0,0.5,96,0.5520833333333334,0.12037330288002067,0.07214536229815012,1.2665534338690032,22.310171218292666,0.3802083333333333,889,131,0.14735658042744657,118,0
ETH/USDT:USDT,15m,oos,2.0,pen_5bp_drop_50,1,5.0,0.5,89,0.550561797752809,0.13638732338925674,0.05306356748056139,1.3420345615859395,26.674605312423413,0.37640449438202245,889,125,0.140607424071991,124,0
ETH/USDT:USDT,15m,oos,2.0,pen_5bp_drop_50,2,5.0,0.5,93,0.44086021505376344,-0.06385715617572714,0.10761225395033519,0.869780236073163,-12.018932403754103,0.10215053763440861,889,124,0.13948256467941508,125,0
ETH/USDT:USDT,15m,oos,5.0,pen_5bp_drop_50,0,5.0,0.5,101,0.49504950495049505,0.06877651062873702,0.07693097283876182,1.136162994996113,12.760809335768394,0.2376237623762376,889,138,0.15523059617547807,120,0
ETH/USDT:USDT,15m,oos,5.0,pen_5bp_drop_50,1,5.0,0.5,95,0.49473684210526314,0.014188645730774807,0.06270302764415439,1.0313286310279788,3.6619960424173907,0.23684210526315788,889,130,0.14623172103487064,128,0
ETH/USDT:USDT,15m,oos,5.0,pen_5bp_drop_50,2,5.0,0.5,94,0.5425531914893617,0.1302346921122851,0.039131596145098105,1.2978102147310266,24.469189853452043,0.35638297872340424,889,128,0.1439820022497188,130,0
ETH/USDT:USDT,15m,oos,10.0,pen_5bp_drop_50,0,5.0,0.5,105,0.4666666666666667,-0.03213159147980714,0.0857597208035342,0.9386799717019557,-4.666824215145911,0.16666666666666666,889,143,0.1608548931383577,121,0
ETH/USDT:USDT,15m,oos,10.0,pen_5bp_drop_50,1,5.0,0.5,99,0.5151515151515151,0.0675988835035334,0.06736316411358906,1.142538303312396,12.839785275841225,0.2878787878787879,889,132,0.1484814398200225,132,0
ETH/USDT:USDT,15m,oos,10.0,pen_5bp_drop_50,2,5.0,0.5,100,0.49,0.050199572139254814,0.05872534257395271,1.1012905866904343,9.55122102412191,0.225,889,130,0.14623172103487064,134,0
ETH/USDT:USDT,15m,oos,20.0,pen_5bp_drop_50,0,5.0,0.5,111,0.46846846846846846,0.04526762164732609,0.12314304867731417,1.0796063247376124,7.893046037660775,0.17117117117117117,889,144,0.16197975253093364,124,0
ETH/USDT:USDT,15m,oos,20.0,pen_5bp_drop_50,1,5.0,0.5,95,0.4421052631578947,-0.009479987009788965,0.08716407879173808,0.9818261310543777,-0.6725496082508735,0.10526315789473684,889,133,0.14960629921259844,135,0
