symbol,timeframe,segment,arm,lens,cost,num_candidates,num_trades,win_rate,total_return,max_drawdown
BNB/USDT:USDT,4h,oos,on,baseline,base,37,27,0.5925925925925926,0.1246067392805702,0.0428885389645909
XRP/USDT:USDT,1h,full,off,baseline,base,317,246,0.6219512195121951,1.510248694624167,0.0990836751184677
XRP/USDT:USDT,1h,full,on,baseline,base,466,311,0.617363344051447,2.22575120770464,0.1042630742657523
XRP/USDT:USDT,1h,is,off,baseline,base,189,153,0.673202614379085,1.1599659258078006,0.0346411745061265
XRP/USDT:USDT,1h,is,on,baseline,base,297,203,0.6748768472906403,1.9006568398665609,0.0357743933587462
XRP/USDT:USDT,1h,oos_warm,off,baseline,base,127,93,0.5376344086021505,0.1621705067802708,0.0990836751184674
XRP/USDT:USDT,1h,oos_warm,on,baseline,base,168,108,0.5092592592592593,0.1120761213012134,0.1042630742657525
XRP/USDT:USDT,1h,oos,off,baseline,base,126,92,0.5434782608695652,0.1748043969966616,0.0990836751184679
XRP/USDT:USDT,1h,oos,on,baseline,base,167,107,0.514018691588785,0.1241654382704715,0.1042630742657525
XRP/USDT:USDT,2h,full,off,baseline,base,132,101,0.594059405940594,0.4491155349680197,0.0585586672160316
XRP/USDT:USDT,2h,full,on,baseline,base,184,135,0.6,0.6549245194699582,0.053017465727358
XRP/USDT:USDT,2h,is,off,baseline,base,85,64,0.640625,0.3644396011707936,0.0417902209626145
XRP/USDT:USDT,2h,is,on,baseline,base,119,93,0.6451612903225806,0.5816651547175916,0.0417902209626144
XRP/USDT:USDT,2h,oos_warm,off,baseline,base,47,37,0.5135135135135135,0.0620591294217556,0.0523962738183357
XRP/USDT:USDT,2h,oos_warm,on,baseline,base,65,42,0.5,0.046317872359935,0.0523962738183357
XRP/USDT:USDT,2h,oos,off,baseline,base,46,36,0.5,0.0467916595084281,0.0623683888617287
XRP/USDT:USDT,2h,oos,on,baseline,base,64,41,0.4878048780487805,0.0312766884997387,0.062368388861729
XRP/USDT:USDT,4h,full,off,baseline,base,69,58,0.5862068965517241,0.2354777687168118,0.0419799363467984
XRP/USDT:USDT,4h,full,on,baseline,base,95,75,0.5866666666666667,0.3153623329271702,0.0419799363467983
XRP/USDT:USDT,4h,is,off,baseline,base,38,33,0.696969696969697,0.2347375290027705,0.0206351001902518
XRP/USDT:USDT,4h,is,on,baseline,base,53,44,0.6363636363636364,0.2472511749052817,0.0366564327613557
XRP/USDT:USDT,4h,oos_warm,off,baseline,base,31,25,0.44,0.0005995117963564,0.0419799363467986
XRP/USDT:USDT,4h,oos_warm,on,baseline,base,42,31,0.5161290322580645,0.0546090149220024,0.0419799363467984
XRP/USDT:USDT,4h,oos,off,baseline,base,31,25,0.44,0.0005995117963564,0.0419799363467986
XRP/USDT:USDT,4h,oos,on,baseline,base,42,31,0.5161290322580645,0.0546090149220024,0.0419799363467984
TRX/USDT:USDT,1h,full,off,baseline,base,330,227,0.6299559471365639,1.0297312523163895,0.0399790540874693
TRX/USDT:USDT,1h,full,on,baseline,base,468,299,0.6086956521739131,1.3006226190755563,0.0538639698938297
TRX/USDT:USDT,1h,is,off,baseline,base,220,162,0.6666666666666666,0.9194723486066446,0.0377963505000054
TRX/USDT:USDT,1h,is,on,baseline,base,325,215,0.6372093023255814,1.1103276287948771,0.0538639698938297
TRX/USDT:USDT,1h,oos_warm,off,baseline,base,110,65,0.5384615384615384,0.0574422985513603,0.0399790540874692
TRX/USDT:USDT,1h,oos_warm,on,baseline,base,143,84,0.5357142857142857,0.090173197604085,0.0405494131898474
