scope,universe,symbol,timeframe,segment,scenario,leverage,num_trades,total_return,max_drawdown,win_rate,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,skipped_zone,liquidations
series,15m,SOL/USDT:USDT,15m,is,single,1.0,609,0.8656988117993307,0.10240577842249762,0.5155993431855501,19.758136944363425,1,,,,,,
series,15m,SOL/USDT:USDT,15m,is,lev_1,1.0,628,0.8547922396059883,0.10240577842249773,0.5127388535031847,19.104010849327285,2,1.0000000000000002,0.02,376.0,1.0,103.0,0.0
series,15m,SOL/USDT:USDT,15m,is,lev_2,2.0,628,1.25050390580422,0.12950967053531656,0.5127388535031847,21.06761696036078,2,2.0000000000000004,0.020110268861055363,105.0,0.0,103.0,0.0
series,15m,SOL/USDT:USDT,15m,is,lev_3,3.0,628,1.2747548717203714,0.1338536830774685,0.5127388535031847,20.857203721854,2,3.0,0.020110268861055363,9.0,0.0,103.0,0.0
series,15m,SOL/USDT:USDT,15m,oos,single,1.0,283,0.14176446353892772,0.12162554836730528,0.508833922261484,10.35062762721232,1,,,,,,
series,15m,SOL/USDT:USDT,15m,oos,lev_1,1.0,295,0.1152104169394861,0.12162554836730505,0.5016949152542373,8.393106410232853,3,1.0000000000000002,0.03,213.0,2.0,48.0,0.0
series,15m,SOL/USDT:USDT,15m,oos,lev_2,2.0,296,0.2047637290413266,0.15796915539174802,0.5,11.094083725058534,3,2.0000000000000004,0.030000000000000002,85.0,0.0,48.0,0.0
series,15m,SOL/USDT:USDT,15m,oos,lev_3,3.0,296,0.24664560101302813,0.15618044081462662,0.5,12.412879381853283,3,3.0,0.030000000000000002,9.0,0.0,48.0,0.0
series,1h,SOL/USDT:USDT,1h,is,single,1.0,157,0.2856327300052324,0.06339721773509423,0.5159235668789809,13.368633240457651,1,,,,,,
series,1h,SOL/USDT:USDT,1h,is,lev_1,1.0,173,0.2970211244575963,0.10837203747523053,0.5086705202312138,12.54214247780884,3,1.0000000000000002,0.03010298761853539,40.0,0.0,24.0,0.0
series,1h,SOL/USDT:USDT,1h,is,lev_2,2.0,173,0.3519098389948858,0.1129447741839336,0.5086705202312138,13.803918212403712,3,2.0,0.03010298761853539,10.0,0.0,24.0,0.0
series,1h,SOL/USDT:USDT,1h,is,lev_3,3.0,173,0.361283615112167,0.11294477418393388,0.5086705202312138,13.988002540153056,3,3.0,0.030102987618535394,1.0,0.0,24.0,0.0
series,1h,SOL/USDT:USDT,1h,oos,single,1.0,65,-0.002094998631009912,0.05408158780845132,0.4461538461538462,0.2580897624815545,1,,,,,,
