segment,symbol,timeframe,reason,exit_ms,is_long,stop_price,exit_price,quantity,notional,bar_high,bar_low,bar_range_bp,adverse_bp,charged_slippage_bp
full,BTC/USDT:USDT,15m,stop_loss,1600607160000,True,10791.82,10786.42409,0.9237239804131365,9968.662926302095,10820.02,10785.0,32.418391651570275,6.319601327671986,4.999999999999329
full,LINK/USDT:USDT,15m,stop_loss,1600607100000,True,9.877,9.872061500000001,787.3990948060006,7777.140859398868,10.07,9.863,207.69578086590153,14.174344436570946,4.999999999999731
full,TRX/USDT:USDT,15m,stop_loss,1600618920000,True,0.0265,0.02648675,373617.3542571008,9900.85988781317,0.02656,0.02649,26.390197926484678,3.7735849056602238,4.999999999999764
full,XRP/USDT:USDT,1h,stop_loss,1600698480000,True,0.2339,0.23378305000000002,10696.743055674418,2501.9682007222464,0.2346,0.2339,29.88260405549653,0.0,4.999999999999008
full,XRP/USDT:USDT,15m,stop_loss,1600681380000,True,0.2409,0.24077955,30256.842301616456,7288.873310459405,0.2415,0.2402,53.97550342536831,29.057700290577262,4.999999999999758
full,BTC/USDT:USDT,15m,stop_loss,1600678380000,True,10812.76,10807.353620000002,0.9180933997847575,9927.123589456634,10820.44,10810.0,9.653062998256631,2.552539777078395,4.999999999998645
full,ADA/USDT:USDT,15m,stop_loss,1600675680000,True,0.08802,0.08797599,113048.39891361393,9950.520072376297,0.08817,0.08786,35.22126910185818,18.177686889344166,4.999999999999671
full,SOL/USDT:USDT,15m,stop_loss,1600676040000,True,2.6972,2.6958514,1986.1209865460169,5356.965524911917,2.7059,2.6917,52.61597747146958,20.39151712887461,5.000000000000123
full,ETH/USDT:USDT,15m,stop_loss,1600678440000,True,365.69,365.507155,27.20026226275272,9946.863906866041,366.89,365.42,40.14693231008645,7.383302797450895,4.999999999999622
full,BCH/USDT:USDT,15m,stop_loss,1600680480000,True,223.21,223.098395,44.61600428363611,9958.738316150417,223.84,222.78,47.46764587344956,19.264369875901924,4.999999999999878
full,BNB/USDT:USDT,15m,stop_loss,1600680480000,True,25.111,25.098444500000003,258.3321148668595,6486.97773642171,25.202,24.89,124.57078974686623,88.00923897893357,4.999999999999092
full,SOL/USDT:USDT,15m,stop_loss,1600680540000,True,2.5342,2.5329329,1311.9737923639789,3324.803984608795,2.5796,2.5322,185.4532649947185,7.892036934731986,4.9999999999989875
full,LTC/USDT:USDT,15m,stop_loss,1600680480000,True,46.45,46.426775000000006,214.31940835841408,9955.136518248335,46.54,46.32,47.38315744130925,27.98708288482294,4.999999999999246
full,DOGE/USDT:USDT,15m,stop_loss,1600680540000,True,0.00272,0.0027186400000000005,3648905.2554452615,9925.022294811111,0.002736,0.00272,58.651026392961704,0.0,4.999999999999005
full,ETH/USDT:USDT,15m,stop_loss,1600680480000,True,363.1,362.91845000000006,27.432830651283826,9960.860809481157,365.53,362.59,80.75591935395259,14.045717433215305,4.999999999998865
full,ETH/USDT:USDT,15m,stop_loss,1600680480000,True,363.1,362.91845000000006,27.432830651283826,9960.860809481157,365.53,362.59,80.75591935395259,14.045717433215305,4.999999999998865
full,BTC/USDT:USDT,1h,stop_loss,1600683240000,True,10661.9,10656.56905,0.7983585747702748,8512.019288343194,10684.0,10661.0,21.5507144530335,0.8441272193508064,4.999999999999601
full,ETH/USDT:USDT,15m,stop_loss,1600681380000,True,360.75,360.56962500000003,27.601248930016883,9957.15055150359,362.27,360.59,46.48202971529776,4.4352044352051285,4.999999999999155
full,BTC/USDT:USDT,4h,stop_loss,1600681680000,True,10740.0,10734.630000000001,0.9278616993945462,9965.234651497427,10769.07,10716.0,49.401747352929,22.3463687150838,4.999999999999051
full,BTC/USDT:USDT,15m,stop_loss,1600683240000,True,10661.9,10656.56905,0.9330844983593108,9948.453613057136,10684.0,10661.0,21.5507144530335,0.8441272193508064,4.999999999999601
full,DOGE/USDT:USDT,15m,stop_loss,1600732380000,True,0.002597,0.0025957015,3830651.494222229,9948.201930495128,0.002603,0.002597,23.076923076922807,0.0,5.00000000000003
full,DOT/USDT:USDT,15m,stop_loss,1600760340000,True,3.911,3.9090445000000003,807.7100773140079,3158.954112375085,3.922,3.903,48.56230031948915,20.455126566095647,4.99999999999943
full,ETH/USDT:USDT,15m,stop_loss,1600759020000,True,340.0,339.83000000000004,29.287123719669523,9957.622064687637,340.74,339.84,26.44802962179418,4.705882352941912,4.9999999999987965
full,TRX/USDT:USDT,15m,stop_loss,1600759980000,True,0.02489,0.024877555,398977.7616182861,9930.556486679141,0.02493,0.02482,44.22110552763918,28.1237444756933,4.999999999999926
full,LTC/USDT:USDT,15m,stop_loss,1600760100000,True,43.05,43.028475,231.2924581930256,9957.140325209752,43.1,42.96,32.535440390425414,20.905923344946878,4.999999999999282
full,TRX/USDT:USDT,15m,stop_loss,1600776360000,True,0.02462,0.02460769,403470.5568974986,9933.445110816416,0.02473,0.02461,48.642075395216295,4.061738424045326,4.999999999999194
full,LINK/USDT:USDT,15m,stop_loss,1600836360000,True,8.487,8.4827565,565.8272054246968,4802.175492439402,8.512,8.315,234.1475010399964,202.66289619418004,4.999999999999293
full,SOL/USDT:USDT,15m,stop_loss,1600826880000,True,2.8661,2.86466695,3476.9571385604663,9965.306854828152,3.0137,2.8276,637.1869275674941,134.3288789644464,4.999999999999002
full,SOL/USDT:USDT,15m,stop_loss,1600826880000,True,2.8661,2.86466695,3476.9571385604663,9965.306854828152,3.0137,2.8276,637.1869275674941,134.3288789644464,4.999999999999002
full,ETH/USDT:USDT,15m,stop_loss,1600841940000,True,338.06,337.89097000000004,26.074403205198774,8814.712747549498,338.34,338.0,10.054114794333472,1.774832869904818,4.99999999999893
