symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
ETH/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752364800000,731,5,0.6,0.02261584056023821,0.010300160784638204,6.441604198321956,2.071066890686565,0.5,0.6666666666666666,15,10,1.0
ETH/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752364800000,731,6,0.6666666666666666,0.037953555116542886,0.01030016078463822,9.40382319376541,2.7762394670090598,0.6666666666666666,0.7058823529411765,17,12,1.0
ETH/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752451200000,1783987200000,366,4,0.5,0.008341699261919166,0.010482601488935811,2.842418999874662,1.3943620913009442,0.25,0.8,5,4,1.0
ETH/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752451200000,1783987200000,366,4,0.5,0.008341699261919166,0.010482601488935811,2.842418999874662,1.3943620913009442,0.25,0.8,5,4,1.0
SOL/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784072700000,105312,1124,0.5088967971530249,1.3576447123538928,0.13549469840628578,15.517817406882646,1.1552068715902426,0.2722419928825623,0.7677873338545739,2558,1964,1.0
SOL/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784072700000,105312,1199,0.5154295246038365,1.644318528717311,0.12571276085727917,16.85708748438134,1.1788422672014531,0.2885738115095913,0.7735781137508999,2778,2149,1.0
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752479100000,70208,754,0.5079575596816976,0.8782298566728896,0.13549469840628578,16.51184581476274,1.161835587353925,0.26989389920424406,0.7623820754716981,1696,1293,1.0
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,802,0.5099750623441397,0.8813857934774747,0.11109731859732591,15.980828332666006,1.157416943623342,0.27493765586034913,0.7660979636763896,1817,1392,1.0
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784072700000,35104,355,0.504225352112676,0.18432190020113068,0.1538582828633276,10.617576384250802,1.1116755648279941,0.2605633802816901,0.7796407185628742,835,651,1.0
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,379,0.5197889182058048,0.30642565557413765,0.14520948585018373,15.783021578328812,1.1751578306614254,0.2994722955145119,0.7886266094420601,932,735,1.0
SOL/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784070000000,26328,258,0.4573643410852713,0.12193877156941361,0.11567873428537986,4.124809117730647,1.0815293158041184,0.1434108527131783,0.753968253968254,630,475,1.0
SOL/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784070000000,26328,275,0.46545454545454545,0.19118529837741463,0.10015388627009152,5.6417017050158025,1.1158652803398899,0.16363636363636364,0.7660818713450293,684,524,1.0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752476400000,17552,177,0.4689265536723164,0.14849040657690912,0.11567873428537986,6.785090045085389,1.1571648064266704,0.17231638418079095,0.7922705314009661,414,328,1.0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,188,0.48404255319148937,0.23807119597469756,0.08620082053527221,9.59177738522881,1.2366038057673752,0.21010638297872342,0.802247191011236,445,357,1.0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784070000000,8776,71,0.39436619718309857,-0.0840189793175503,0.13562524392664108,-9.771514633874265,0.8049534081482249,-0.014084507042253521,0.6666666666666666,198,132,1.0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,77,0.38961038961038963,-0.0972434580422514,0.15036831507456003,-10.521169340743148,0.7933246015187639,-0.025974025974025976,0.6877828054298643,221,152,1.0
SOL/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784059200000,6582,70,0.5,0.1468762751188504,0.0660060899627194,7.631414369153632,1.3807517653423256,0.25,0.813953488372093,129,105,1.0
SOL/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784059200000,6582,74,0.5,0.15004097942229147,0.08665661406064282,7.415192638392178,1.3736347965552513,0.25,0.8257575757575758,132,109,1.0
SOL/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752465600000,4388,40,0.475,0.05698185012372069,0.0660060899627194,5.446262140767069,1.249928014228049,0.1875,0.7746478873239436,71,55,1.0
SOL/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752465600000,4388,40,0.45,0.03089688596818778,0.08665661406064282,3.1306060922748147,1.1314381453942208,0.125,0.7746478873239436,71,55,1.0
SOL/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784059200000,2194,20,0.5,0.03531552138429288,0.0210716298251033,6.748538204014965,1.3310687876442067,0.25,0.8333333333333334,42,35,1.0
SOL/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784059200000,2194,24,0.5416666666666666,0.0644325158075646,0.0210716298251033,10.171786285734312,1.5440531994858995,0.3541666666666667,0.8636363636363636,44,38,1.0
SOL/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1783987200000,1097,7,0.2857142857142857,-0.021133836203080136,0.03967393902316131,-4.738127420053445,0.5774953315590289,-0.2857142857142857,0.5,18,9,1.0
SOL/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1783987200000,1097,7,0.2857142857142857,-0.02114371267584629,0.039683628431722656,-4.740005542718764,0.5773801041711566,-0.2857142857142857,0.5263157894736842,19,10,1.0
SOL/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752364800000,731,6,0.3333333333333333,-0.01136370039217054,0.03967393902316131,-2.7487589558300023,0.7176736222084142,-0.16666666666666666,0.5714285714285714,14,8,1.0
SOL/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752364800000,731,6,0.3333333333333333,-0.011373675442744207,0.039683628431722656,-2.750973411872992,0.7174947913790015,-0.16666666666666666,0.6,15,9,1.0
SOL/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752451200000,1783987200000,366,0,0.0,0.0,0.0,,,,0.0,1,0,1.0
SOL/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752451200000,1783987200000,366,0,0.0,0.0,0.0,,,,0.0,1,0,1.0
BNB/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784072700000,105312,800,0.45875,-0.19269169377934542,0.3401708370959441,-5.060835040332605,0.9397774821824185,0.146875,0.7856829161176987,2277,1789,1.0
BNB/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784072700000,105312,839,0.46245530393325385,-0.2141259069961613,0.3764335942256094,-5.855005491735329,0.931045631129922,0.15613825983313467,0.7891321978913219,2466,1946,1.0
BNB/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752479100000,70208,534,0.46441947565543074,-0.03491544190698951,0.2791310223239227,-0.6437505992465898,0.9841552627167471,0.16104868913857678,0.7942551770207081,1497,1189,1.0
BNB/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,560,0.4607142857142857,-0.11313410260916626,0.32055867495324125,-4.171972697387739,0.948226630231753,0.15178571428571427,0.7970204841713222,1611,1284,1.0
BNB/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784072700000,35104,262,0.44656488549618323,-0.16118512439306124,0.19142877723801321,-14.120312806760431,0.841612285673818,0.11641221374045801,0.7674418604651163,774,594,1.0
BNB/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,275,0.4618181818181818,-0.1297496248694055,0.16341114431802214,-10.898492423752462,0.8732641039474986,0.15454545454545454,0.7724056603773585,848,655,1.0
BNB/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784070000000,26328,231,0.4805194805194805,0.1482028191698364,0.2073634101664444,5.624978298565095,1.1151839112905038,0.2012987012987013,0.7322314049586777,605,443,1.0
BNB/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784070000000,26328,242,0.49586776859504134,0.19620828611100952,0.19746742758756863,6.924449983008883,1.1472882287601422,0.2396694214876033,0.7518573551263001,673,506,1.0
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752476400000,17552,137,0.48905109489051096,0.15323733220223912,0.08497748803517911,9.367484531953199,1.201397079927265,0.22262773722627738,0.7175,400,287,1.0
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,146,0.5,0.16449432512358309,0.0814755105101669,9.484296993856885,1.202674769720369,0.25,0.7388392857142857,448,331,1.0
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784070000000,8776,88,0.4431818181818182,-0.06020784160240128,0.15298108993779969,-5.680930084183913,0.8639012447261502,0.10795454545454546,0.7771739130434783,184,143,1.0
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,90,0.45555555555555555,-0.05111324565718751,0.15355661994000966,-4.7175429012813055,0.8836870907820372,0.1388888888888889,0.7902439024390244,205,162,1.0
BNB/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784059200000,6582,65,0.5230769230769231,0.17806623648025433,0.05232600607749476,9.87662413613196,1.5147785064278687,0.3076923076923077,0.7430555555555556,144,107,1.0
BNB/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784059200000,6582,72,0.5416666666666666,0.23586257550788087,0.05118827984772232,11.48204076648995,1.6152390308512576,0.3541666666666667,0.7483443708609272,151,113,1.0
