timeframe,segment,feature,axis,n,positive_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations
1h,oos,tap_rsi,death_vs_winner,530,0.2037735849056604,0.11516571266983892,0.0045,-1,False,2000
1h,oos,stop_width_frac,death_vs_rest,769,0.14044213263979194,0.020783841677156405,0.52,-1,False,2000
1h,oos,stop_width_frac,death_vs_winner,530,0.2037735849056604,0.01081903252750862,0.79,-1,False,2000
1h,oos,stop_width_atr,death_vs_rest,769,0.14044213263979194,0.16400766728426866,0.0,-1,False,2000
1h,oos,stop_width_atr,death_vs_winner,530,0.2037735849056604,0.228195915264144,0.0,-1,False,2000
1h,oos,rsi_ema_slope,death_vs_rest,769,0.14044213263979194,0.004975746402664616,0.9015,-1,False,2000
1h,oos,rsi_ema_slope,death_vs_winner,530,0.2037735849056604,-0.0015266271041697635,0.973,-1,True,2000
1h,oos,rsi_ema_curv,death_vs_rest,769,0.14044213263979194,0.023648495331472657,0.515,-1,False,2000
1h,oos,rsi_ema_curv,death_vs_winner,530,0.2037735849056604,0.02668226717700405,0.5525,-1,False,2000
1h,oos,rsi_ema_death_shape,death_vs_rest,769,0.14044213263979194,-0.04588874355900684,0.237,1,False,2000
1h,oos,rsi_ema_death_shape,death_vs_winner,530,0.2037735849056604,-0.0638096094596177,0.148,1,False,2000
4h,is,trend_dev,death_vs_rest,344,0.11046511627906977,-0.04344478394604774,0.403,-1,True,2000
4h,is,trend_dev,death_vs_winner,256,0.1484375,-0.07494497584681994,0.24,-1,True,2000
4h,is,volume_pctl,death_vs_rest,344,0.11046511627906977,0.0875152494084515,0.091,-1,False,2000
4h,is,volume_pctl,death_vs_winner,256,0.1484375,0.08631334854675149,0.163,-1,False,2000
4h,is,vol_balance,death_vs_rest,344,0.11046511627906977,-0.06359215617869318,0.229,0,False,2000
4h,is,vol_balance,death_vs_winner,256,0.1484375,-0.07603464285347643,0.2125,0,False,2000
4h,is,rsi_slope_5_3,death_vs_rest,344,0.11046511627906977,0.1160098261463604,0.0365,-1,False,2000
4h,is,rsi_slope_5_3,death_vs_winner,256,0.1484375,0.1426414043795336,0.027,-1,False,2000
4h,is,rsi_slope_10_5,death_vs_rest,344,0.11046511627906977,0.1482978100658202,0.0065,-1,False,2000
4h,is,rsi_slope_10_5,death_vs_winner,256,0.1484375,0.17731245368413331,0.006,-1,False,2000
4h,is,rsi_slope_14_5,death_vs_rest,344,0.11046511627906977,0.1318192064862203,0.0125,-1,False,2000
4h,is,rsi_slope_14_5,death_vs_winner,256,0.1484375,0.14529468238966908,0.0225,-1,False,2000
4h,is,zone_width_atr,death_vs_rest,344,0.11046511627906977,0.09199096328522649,0.092,0,False,2000
4h,is,zone_width_atr,death_vs_winner,256,0.1484375,0.12424031658696767,0.048,0,False,2000
4h,is,freshness_bars,death_vs_rest,344,0.11046511627906977,0.01565625645463333,0.7785,1,True,2000
4h,is,freshness_bars,death_vs_winner,256,0.1484375,0.03070242187868482,0.631,1,True,2000
4h,is,prior_taps,death_vs_rest,344,0.11046511627906977,-0.018409608125250408,0.7585,1,False,2000
4h,is,prior_taps,death_vs_winner,256,0.1484375,-0.02323883310540152,0.7295,1,False,2000
4h,is,approach_mom,death_vs_rest,344,0.11046511627906977,0.09651696510943014,0.0885,-1,False,2000
4h,is,approach_mom,death_vs_winner,256,0.1484375,0.10535272128376946,0.1025,-1,False,2000
4h,is,tap_rsi,death_vs_rest,344,0.11046511627906977,0.03343487261934956,0.5555,-1,False,2000
4h,is,tap_rsi,death_vs_winner,256,0.1484375,0.0232749687692742,0.7115,-1,False,2000
4h,is,stop_width_frac,death_vs_rest,344,0.11046511627906977,-0.08189263176767447,0.097,-1,True,2000
4h,is,stop_width_frac,death_vs_winner,256,0.1484375,-0.06868693111061226,0.264,-1,True,2000
4h,is,stop_width_atr,death_vs_rest,344,0.11046511627906977,0.10676535873360042,0.0465,-1,False,2000
4h,is,stop_width_atr,death_vs_winner,256,0.1484375,0.15196516869939458,0.014,-1,False,2000
4h,is,rsi_ema_slope,death_vs_rest,344,0.11046511627906977,0.11447016561218612,0.035,-1,False,2000
4h,is,rsi_ema_slope,death_vs_winner,256,0.1484375,0.13460337218545051,0.035,-1,False,2000
4h,is,rsi_ema_curv,death_vs_rest,344,0.11046511627906977,-0.038024811170444955,0.482,-1,True,2000
4h,is,rsi_ema_curv,death_vs_winner,256,0.1484375,-0.037807331258854965,0.5345,-1,True,2000
4h,is,rsi_ema_death_shape,death_vs_rest,344,0.11046511627906977,0.07481434970942508,0.187,1,True,2000
4h,is,rsi_ema_death_shape,death_vs_winner,256,0.1484375,0.09079139683275503,0.1995,1,True,2000
4h,oos,trend_dev,death_vs_rest,215,0.11627906976744186,-0.03863427147037149,0.5595,-1,True,2000
4h,oos,trend_dev,death_vs_winner,148,0.16891891891891891,-0.030035720478182835,0.696,-1,True,2000
4h,oos,volume_pctl,death_vs_rest,215,0.11627906976744186,0.05081686553039662,0.3665,-1,False,2000
4h,oos,volume_pctl,death_vs_winner,148,0.16891891891891891,0.021645408173202405,0.7685,-1,False,2000
4h,oos,vol_balance,death_vs_rest,215,0.11627906976744186,0.13807047305651862,0.0355,0,False,2000
4h,oos,vol_balance,death_vs_winner,148,0.16891891891891891,0.18739144597341412,0.022,0,False,2000
4h,oos,rsi_slope_5_3,death_vs_rest,215,0.11627906976744186,0.09270552412797077,0.165,-1,False,2000
4h,oos,rsi_slope_5_3,death_vs_winner,148,0.16891891891891891,0.12893329798026393,0.1215,-1,False,2000
4h,oos,rsi_slope_10_5,death_vs_rest,215,0.11627906976744186,0.11857551684820748,0.0775,-1,False,2000
4h,oos,rsi_slope_10_5,death_vs_winner,148,0.16891891891891891,0.1479174252506918,0.074,-1,False,2000
4h,oos,rsi_slope_14_5,death_vs_rest,215,0.11627906976744186,0.11186582875753134,0.1035,-1,False,2000
4h,oos,rsi_slope_14_5,death_vs_winner,148,0.16891891891891891,0.1320196053245744,0.1145,-1,False,2000
4h,oos,zone_width_atr,death_vs_rest,215,0.11627906976744186,0.18520912227788974,0.006,0,False,2000
4h,oos,zone_width_atr,death_vs_winner,148,0.16891891891891891,0.20344005955852348,0.014,0,False,2000
4h,oos,freshness_bars,death_vs_rest,215,0.11627906976744186,-0.06833788935692343,0.34,1,False,2000
4h,oos,freshness_bars,death_vs_winner,148,0.16891891891891891,-0.09607142490597537,0.267,1,False,2000
4h,oos,prior_taps,death_vs_rest,215,0.11627906976744186,0.1637208395182325,0.023,1,True,2000
4h,oos,prior_taps,death_vs_winner,148,0.16891891891891891,0.191536837768818,0.038,1,True,2000
4h,oos,approach_mom,death_vs_rest,215,0.11627906976744186,0.08506138422542997,0.226,-1,False,2000
4h,oos,approach_mom,death_vs_winner,148,0.16891891891891891,0.12471358505257325,0.1315,-1,False,2000
4h,oos,tap_rsi,death_vs_rest,215,0.11627906976744186,0.005941092222050847,0.9325,-1,False,2000
4h,oos,tap_rsi,death_vs_winner,148,0.16891891891891891,0.015669805967911656,0.8635,-1,False,2000
4h,oos,stop_width_frac,death_vs_rest,215,0.11627906976744186,-0.018197466519844715,0.7585,-1,True,2000
4h,oos,stop_width_frac,death_vs_winner,148,0.16891891891891891,-0.03321534708892485,0.645,-1,True,2000
4h,oos,stop_width_atr,death_vs_rest,215,0.11627906976744186,0.1842923751993542,0.0045,-1,False,2000
4h,oos,stop_width_atr,death_vs_winner,148,0.16891891891891891,0.22666622069716677,0.0055,-1,False,2000
4h,oos,rsi_ema_slope,death_vs_rest,215,0.11627906976744186,0.16134210552114203,0.023,-1,False,2000
4h,oos,rsi_ema_slope,death_vs_winner,148,0.16891891891891891,0.20496578964673842,0.011,-1,False,2000
4h,oos,rsi_ema_curv,death_vs_rest,215,0.11627906976744186,0.12216365636503604,0.062,-1,False,2000
4h,oos,rsi_ema_curv,death_vs_winner,148,0.16891891891891891,0.15837308177220516,0.0555,-1,False,2000
4h,oos,rsi_ema_death_shape,death_vs_rest,215,0.11627906976744186,0.0007228067943617222,1.0,1,True,2000
4h,oos,rsi_ema_death_shape,death_vs_winner,148,0.16891891891891891,-0.002355647665657364,1.0,1,False,2000
