symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
TRX/USDT:USDT,4h,is,50,44,0.75,0.38383514487184145,0.03174749222355513,,
TRX/USDT:USDT,4h,oos,36,25,0.52,0.04583187172103026,0.022644133622070562,,
TRX/USDT:USDT,4h,oos_warm,36,25,0.52,0.04583187172103026,0.022644133622070562,,
DOGE/USDT:USDT,15m,full,1398,983,0.595116988809766,6.704046603707319,0.06389071968792986,,
DOGE/USDT:USDT,15m,is,851,597,0.6180904522613065,3.6621468611046324,0.061737924425504014,,
DOGE/USDT:USDT,15m,oos,541,381,0.5590551181102362,0.6463777866094722,0.0638907196879302,,
DOGE/USDT:USDT,15m,oos_warm,547,386,0.5595854922279793,0.6524675934129526,0.06389071968792982,,
DOGE/USDT:USDT,1h,full,292,232,0.6077586206896551,1.385969872403974,0.058709688351933555,,
DOGE/USDT:USDT,1h,is,185,143,0.6713286713286714,1.1806061751480854,0.048836547558539986,,
DOGE/USDT:USDT,1h,oos,107,89,0.5056179775280899,0.09417734371129281,0.058709688351933895,,
DOGE/USDT:USDT,1h,oos_warm,107,89,0.5056179775280899,0.09417734371129281,0.058709688351933895,,
DOGE/USDT:USDT,2h,full,140,116,0.5948275862068966,0.48290232455052284,0.0708308549632522,,
DOGE/USDT:USDT,2h,is,78,66,0.6515151515151515,0.3776818127714689,0.031692113068049775,,
DOGE/USDT:USDT,2h,oos,56,45,0.4888888888888889,0.03622354040957853,0.07083085496325257,,
DOGE/USDT:USDT,2h,oos_warm,62,50,0.52,0.07637504596753224,0.07083085496325257,,
DOGE/USDT:USDT,4h,full,82,63,0.5873015873015873,0.25486366933716254,0.043010507965810615,,
DOGE/USDT:USDT,4h,is,50,41,0.5853658536585366,0.17224664190285038,0.043010507965810615,,
DOGE/USDT:USDT,4h,oos,27,19,0.5789473684210527,0.061538799794255285,0.02132968063638109,,
DOGE/USDT:USDT,4h,oos_warm,32,22,0.5909090909090909,0.070477512565277,0.026872158241135955,,
LINK/USDT:USDT,15m,full,1481,1037,0.5689488910318226,4.452182049768578,0.08025072246757524,,
LINK/USDT:USDT,15m,is,914,665,0.5699248120300752,2.357900397197208,0.08025072246757524,,
LINK/USDT:USDT,15m,oos,564,369,0.5636856368563685,0.578394287572953,0.05526190008979297,,
LINK/USDT:USDT,15m,oos_warm,567,372,0.5672043010752689,0.6236878420573286,0.05526190008979297,,
LINK/USDT:USDT,1h,full,329,266,0.5488721804511278,0.891616080816185,0.06055816693638752,,
LINK/USDT:USDT,1h,is,220,174,0.5804597701149425,0.7202269154666399,0.06055816693638752,,
LINK/USDT:USDT,1h,oos,105,88,0.4659090909090909,0.0488561780015094,0.06266510990441726,,
LINK/USDT:USDT,1h,oos_warm,109,92,0.4891304347826087,0.09963171940200173,0.05745764199138006,,
LINK/USDT:USDT,2h,full,145,119,0.5294117647058824,0.29414032748321844,0.07766892598601428,,
LINK/USDT:USDT,2h,is,93,75,0.5733333333333334,0.2663370052892196,0.07766892598601428,,
LINK/USDT:USDT,2h,oos,51,43,0.4418604651162791,0.007082772373014996,0.0778529407927208,,
LINK/USDT:USDT,2h,oos_warm,52,44,0.45454545454545453,0.021955705375322942,0.07132734686428918,,
LINK/USDT:USDT,4h,full,66,59,0.6101694915254238,0.31414487056924334,0.04108371641767411,,
LINK/USDT:USDT,4h,is,46,40,0.55,0.13585981168488015,0.04108371641767411,,
LINK/USDT:USDT,4h,oos,20,19,0.7368421052631579,0.15696044269750437,0.01057822855703581,,
LINK/USDT:USDT,4h,oos_warm,20,19,0.7368421052631579,0.15696044269750437,0.01057822855703581,,
LTC/USDT:USDT,15m,full,1528,960,0.5583333333333333,2.404413390134322,0.06599030567211586,,
LTC/USDT:USDT,15m,is,944,618,0.5760517799352751,1.7920604969670675,0.051972657980648256,,
LTC/USDT:USDT,15m,oos,581,339,0.5250737463126843,0.2202932984176703,0.06599030567211671,,
LTC/USDT:USDT,15m,oos_warm,584,342,0.5263157894736842,0.21931934993257837,0.06599030567211675,,
LTC/USDT:USDT,1h,full,303,242,0.5454545454545454,0.549485978278709,0.08580892212189543,,
LTC/USDT:USDT,1h,is,193,158,0.5632911392405063,0.3963446677840053,0.08580892212189543,,
LTC/USDT:USDT,1h,oos,110,84,0.5119047619047619,0.10967300124956873,0.07958650875956336,,
LTC/USDT:USDT,1h,oos_warm,110,84,0.5119047619047619,0.10967300124956873,0.07958650875956336,,
LTC/USDT:USDT,2h,full,131,120,0.6,0.5179563438310377,0.032552225092782786,,
LTC/USDT:USDT,2h,is,79,73,0.6301369863013698,0.38025196138483713,0.03139056807109708,,
LTC/USDT:USDT,2h,oos,52,47,0.5531914893617021,0.09976756874740476,0.03255222509278269,,
LTC/USDT:USDT,2h,oos_warm,52,47,0.5531914893617021,0.09976756874740476,0.03255222509278269,,
LTC/USDT:USDT,4h,full,67,53,0.5849056603773585,0.23283807980148685,0.041083316098326994,,
LTC/USDT:USDT,4h,is,30,28,0.6071428571428571,0.13606613648226612,0.02085845513354908,,
LTC/USDT:USDT,4h,oos,37,25,0.56,0.08518161065769182,0.04108331609832715,,
LTC/USDT:USDT,4h,oos_warm,37,25,0.56,0.08518161065769182,0.04108331609832715,,
