lens,scope,arm,family,take_profit_r,partial_r,breakeven,segment,stress_k,num_cells,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,skipped_notional
pen_5bp,both_no15m,A0,A,1.5,,False,full,1.0,36,5732,0.5832170272156315,44305.2447456864,0.1604995679937801,276045.88161510427,14,0.1106158675297535,0.1106158675297535,0,5
pen_5bp,both_no15m,A0,A,1.5,,False,is,1.0,36,3738,0.6032637774210808,12350.5103390747,0.1604995679937801,76950.42730303999,11,0.1106158675297535,0.1106158675297535,0,5
pen_5bp,both_no15m,A0,A,1.5,,False,oos_warm,1.0,36,1965,0.5419847328244275,46.404809981219636,0.1931721242801138,240.2251885677316,13,0.1179655192841001,0.1179655192841001,0,49
pen_5bp,both_no15m,A0,A,1.5,,False,oos,1.0,36,1873,0.5339028296849974,26.815516721608404,0.1931721242801131,138.81669946707223,10,0.0905429239939991,0.0905429239939991,0,41
pen_5bp,both,A1_be_off,A,1.5,1.0,False,full,1.0,48,17178,0.5697403655838864,791303.509576516,0.2563323798158564,3087021.27349253,16,0.1128656188076864,0.1128656188076864,0,7
pen_5bp,both,A1_be_off,A,1.5,1.0,False,is,1.0,48,11446,0.5850952297745937,241183.11275229853,0.1348466794464978,1788572.8721113307,15,0.1128656188076864,0.1128656188076864,0,7
pen_5bp,both,A1_be_off,A,1.5,1.0,False,oos_warm,1.0,48,5656,0.5367751060820368,433.8169880053539,0.2043365512043037,2123.051335889518,14,0.1060717110651301,0.1060717110651301,0,122
pen_5bp,both,A1_be_off,A,1.5,1.0,False,oos,1.0,48,5491,0.531597158987434,230.46927112021936,0.2043365512043043,1127.890579350076,11,0.0940548701907374,0.0940548701907374,0,127
pen_5bp,both_no15m,A1_be_off,A,1.5,1.0,False,full,1.0,36,5733,0.583289726146869,36569.6053860221,0.1244101211385944,293943.9737807433,14,0.1106056067895642,0.1106056067895642,0,4
pen_5bp,both_no15m,A1_be_off,A,1.5,1.0,False,is,1.0,36,3739,0.6031024338058304,9872.63411241108,0.1244101211385944,79355.55421100219,11,0.1106056067895642,0.1106056067895642,0,4
pen_5bp,both_no15m,A1_be_off,A,1.5,1.0,False,oos_warm,1.0,36,1977,0.5452706120384421,49.14898447573126,0.1631963561443851,301.16471738037797,14,0.1094514570233998,0.1094514570233998,0,26
pen_5bp,both_no15m,A1_be_off,A,1.5,1.0,False,oos,1.0,36,1884,0.5371549893842887,29.37699646835072,0.1631963561443854,180.01012499543725,10,0.0870824710173039,0.0870824710173039,0,20
pen_5bp,both,A1_be_on,A,1.5,1.0,True,full,1.0,48,18834,0.6660295210788999,3170407.604032774,0.2124535020044362,14922830.521130094,16,0.11306734059389009,0.11306734059389009,0,5
pen_5bp,both,A1_be_on,A,1.5,1.0,True,is,1.0,48,12570,0.6802704852824184,555639.7557303978,0.1644863929395333,3378028.6976969335,15,0.11306734059389009,0.11306734059389009,0,4
pen_5bp,both,A1_be_on,A,1.5,1.0,True,oos_warm,1.0,48,6169,0.6352731398930135,425.63777584810134,0.22136515074717728,1922.7858333230838,12,0.10858393604697489,0.10858393604697489,0,149
pen_5bp,both,A1_be_on,A,1.5,1.0,True,oos,1.0,48,5995,0.6316930775646372,218.34455361513741,0.2213651507471775,986.3546853610669,11,0.09607715706023705,0.09607715706023705,0,155
pen_5bp,both_no15m,A1_be_on,A,1.5,1.0,True,full,1.0,36,6351,0.6792631081719415,69234.39887890428,0.133240233930296,519620.8144990494,13,0.11061131815447675,0.11061131815447675,0,6
pen_5bp,both_no15m,A1_be_on,A,1.5,1.0,True,is,1.0,36,4139,0.6941290166706934,13917.475835415342,0.133240233930296,104454.00330575976,11,0.11061131815447675,0.11061131815447675,0,6
pen_5bp,both_no15m,A1_be_on,A,1.5,1.0,True,oos_warm,1.0,36,2189,0.6500685244403838,63.271808845714325,0.14978165979084204,422.42694422046253,12,0.11715581551850011,0.11715581551850011,0,37
pen_5bp,both_no15m,A1_be_on,A,1.5,1.0,True,oos,1.0,36,2092,0.6457934990439771,37.79202967318044,0.14978165979084154,252.3141332921138,10,0.09026414010298218,0.09026414010298218,0,34
