segment,indicator,bucket,order,num_trades,share_of_trades,win_rate,mean_net_r,sum_net_r,share_of_total_net_r
oos_warm,stops_today_before,11–20,4,2358,0.15886276359226573,0.42027141645462257,-0.0645523605912832,-152.2144662742458,0.08493533519019314
oos_warm,stops_today_before,21+,5,2997,0.20191335983291786,0.34134134134134136,-0.25228009763018144,-756.0834525976537,0.42189289264029517
oos,open_cells_before,0–1,0,4459,0.3067978533094812,0.36891679748822603,-0.20460663737134552,-912.3409960388296,0.5036345134543856
oos,open_cells_before,2–3,1,3271,0.2250584835558002,0.4212778966676857,-0.0725066980130366,-237.1694092006427,0.13092330666673896
oos,open_cells_before,4–6,2,4406,0.30315123159488094,0.42056286881525196,-0.06959160319079012,-306.6206036586213,0.16926206233105343
oos,open_cells_before,7–10,3,2196,0.15109398651438008,0.38979963570127507,-0.13749770601987762,-301.9449624196513,0.16668099416608007
oos,open_cells_before,11+,4,202,0.013898445025457548,0.33663366336633666,-0.2645449326803221,-53.43807640142506,0.029499123381741092
oos,realized_net_r_today_before,≥ 0R,0,5479,0.3769781202697124,0.42416499361197296,-0.07271608214183918,-398.41141405513685,0.21993283163151062
oos,realized_net_r_today_before,[-3R ~ 0R),1,2247,0.15460299986239162,0.3951935914552737,-0.1406079735044239,-315.9461164644405,0.17440997317257337
oos,realized_net_r_today_before,[-5R ~ -3R),2,1163,0.08001926517132242,0.4075666380051591,-0.09641679709734799,-112.1327350242157,0.061900008540038104
oos,realized_net_r_today_before,[-10R ~ -5R),3,2032,0.1398101004541076,0.42273622047244097,-0.05799462060255671,-117.84506906439523,0.06505335645217368
oos,realized_net_r_today_before,[-20R ~ -10R),4,1679,0.11552222375120408,0.38594401429422276,-0.15100899682607363,-253.54410567097761,0.13996253906515832
oos,realized_net_r_today_before,< -20R,5,1934,0.13306729049126187,0.3138572905894519,-0.317287801158224,-613.6346074400053,0.33874129113854573
oos,stops_today_before,0,0,2209,0.15198844089720656,0.4146672702580353,-0.1007824834724635,-222.62850599067187,0.12289637293786235
oos,stops_today_before,1–2,1,2236,0.15384615384615385,0.4405187835420394,-0.025654576546097815,-57.363633157074716,0.0316661265913448
oos,stops_today_before,3–5,2,2323,0.1598321177927618,0.3805424020662936,-0.18154274725895914,-421.72380188256204,0.23280183910996613
oos,stops_today_before,6–10,3,2659,0.1829503233796615,0.4208349003384731,-0.06641441012644496,-176.59591652621714,0.09748525922201061
oos,stops_today_before,11–20,4,2279,0.15680473372781065,0.4186046511627907,-0.0701184778368991,-159.80001099029306,0.08821350913148752
oos,stops_today_before,21+,5,2828,0.19457823035640567,0.3330975954738331,-0.2734802613763622,-773.4021791723524,0.42693689300732846
