scope,unit,offset_ms,dropped,n_stop,n_tp,delta,z,full_delta,sign_kept
btc,usdt,-7200000,DOGEUSDT,5262,3858,0.003762566138,6.781969817,0.004517508284,True
btc,usdt,-3600000,DOGEUSDT,5262,3858,0.003581762964,7.141119293,0.004230507833,True
btc,usdt,-1800000,DOGEUSDT,5262,3858,0.003561628357,7.826642551,0.004166911581,True
btc,usdt,-300000,DOGEUSDT,5262,3858,0.001772167196,7.284002136,0.002007448594,True
self,coin,-86400000,DOTUSDT,5328,3888,-0.002063467234,2.086804155,-0.002057375843,True
self,coin,-43200000,DOTUSDT,5328,3888,0.0004228504689,0.6253330993,0.0004108647234,True
self,coin,-21600000,DOTUSDT,5328,3888,0.00129796496,2.434812532,0.001259874314,True
self,coin,-7200000,DOTUSDT,5328,3888,0.0006978880531,1.805244854,0.0006981595297,True
self,coin,-3600000,DOTUSDT,5328,3888,0.0008367247235,2.648863675,0.0008610310438,True
self,coin,-1800000,DOTUSDT,5328,3888,0.000755259484,2.815041104,0.000782389081,True
self,coin,-300000,DOTUSDT,5328,3888,1.667397887e-05,0.1033461921,-3.166905846e-06,False
self,usdt,-86400000,DOTUSDT,5328,3888,0.02514554896,8.35878103,0.02515943317,True
self,usdt,-43200000,DOTUSDT,5328,3888,0.02886051211,9.422764621,0.0287019601,True
self,usdt,-21600000,DOTUSDT,5328,3888,0.02993152215,10.16574156,0.0297971118,True
self,usdt,-7200000,DOTUSDT,5328,3888,0.02640716894,10.13889417,0.0262820967,True
self,usdt,-3600000,DOTUSDT,5328,3888,0.02635087484,10.13968853,0.02626371154,True
self,usdt,-1800000,DOTUSDT,5328,3888,0.02638515465,10.22558077,0.02629085619,True
self,usdt,-300000,DOTUSDT,5328,3888,0.01432124725,8.308527993,0.01458579518,True
btc,coin,-86400000,DOTUSDT,5328,3888,0.002471639057,3.728930001,0.002515522051,True
btc,coin,-43200000,DOTUSDT,5328,3888,0.001473416124,2.858485429,0.001569918634,True
btc,coin,-21600000,DOTUSDT,5328,3888,0.001947431002,4.477209329,0.001966887277,True
btc,coin,-7200000,DOTUSDT,5328,3888,0.001261213527,4.751285098,0.0011943967,True
btc,coin,-3600000,DOTUSDT,5328,3888,0.0009630112013,4.553609191,0.000919091142,True
btc,coin,-1800000,DOTUSDT,5328,3888,0.0007976980487,4.633565484,0.0007778655766,True
btc,coin,-300000,DOTUSDT,5328,3888,0.0001917500369,2.205380725,0.0001760584683,True
btc,usdt,-86400000,DOTUSDT,5328,3888,0.007719237675,6.552629786,0.007835372468,True
btc,usdt,-43200000,DOTUSDT,5328,3888,0.006003864078,6.036701192,0.006190313929,True
btc,usdt,-21600000,DOTUSDT,5328,3888,0.00661583082,7.742486085,0.006656553544,True
btc,usdt,-7200000,DOTUSDT,5328,3888,0.004605058876,8.070491499,0.004517508284,True
btc,usdt,-3600000,DOTUSDT,5328,3888,0.004308196031,8.283809498,0.004230507833,True
btc,usdt,-1800000,DOTUSDT,5328,3888,0.004232770338,8.922211347,0.004166911581,True
btc,usdt,-300000,DOTUSDT,5328,3888,0.002045282256,8.055287137,0.002007448594,True
self,coin,-86400000,ETHUSDT,5307,3822,-0.001984577916,1.962963867,-0.002057375843,True
self,coin,-43200000,ETHUSDT,5307,3822,0.0009594500285,1.418232823,0.0004108647234,True
self,coin,-21600000,ETHUSDT,5307,3822,0.001561072122,2.943149589,0.001259874314,True
self,coin,-7200000,ETHUSDT,5307,3822,0.0006483257336,1.68935698,0.0006981595297,True
self,coin,-3600000,ETHUSDT,5307,3822,0.0008266190222,2.631354475,0.0008610310438,True
self,coin,-1800000,ETHUSDT,5307,3822,0.0007998423847,2.994859724,0.000782389081,True
self,coin,-300000,ETHUSDT,5307,3822,8.092223138e-06,0.05015334745,-3.166905846e-06,False
self,usdt,-86400000,ETHUSDT,5307,3822,0.02763280855,8.832765759,0.02515943317,True
self,usdt,-43200000,ETHUSDT,5307,3822,0.03194003571,10.10770203,0.0287019601,True
self,usdt,-21600000,ETHUSDT,5307,3822,0.03258111562,10.67857076,0.0297971118,True
self,usdt,-7200000,ETHUSDT,5307,3822,0.02838306496,10.45779447,0.0262820967,True
self,usdt,-3600000,ETHUSDT,5307,3822,0.02832918078,10.45130031,0.02626371154,True
self,usdt,-1800000,ETHUSDT,5307,3822,0.02843423922,10.55671963,0.02629085619,True
self,usdt,-300000,ETHUSDT,5307,3822,0.01583340727,8.684994663,0.01458579518,True
btc,coin,-86400000,ETHUSDT,5307,3822,0.002810581505,4.207515075,0.002515522051,True
btc,coin,-43200000,ETHUSDT,5307,3822,0.001921516017,3.709033957,0.001569918634,True
btc,coin,-21600000,ETHUSDT,5307,3822,0.002020687172,4.588541758,0.001966887277,True
btc,coin,-7200000,ETHUSDT,5307,3822,0.00117531667,4.365801282,0.0011943967,True
btc,coin,-3600000,ETHUSDT,5307,3822,0.0008783513052,4.093909827,0.000919091142,True
btc,coin,-1800000,ETHUSDT,5307,3822,0.000748973881,4.295489383,0.0007778655766,True
btc,coin,-300000,ETHUSDT,5307,3822,0.000161790708,1.831321562,0.0001760584683,True
btc,usdt,-86400000,ETHUSDT,5307,3822,0.008585464141,7.262112137,0.007835372468,True
