arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,net_r_stderr,long_trades,short_trades,long_win_rate,short_win_rate,long_mean_net_r,short_mean_net_r,long_net_r_sum,short_net_r_sum,btc_return_corr,btc_days,scope
short_only,숏만,False,every_tap,full,False,12,12,9013,0.39986685898147123,-0.08369374976139085,-0.0003857496155019118,0.0318979841899692,0.021034978529773814,0.008275862003707791,0.025525387200019015,5.759345635097867e-06,-0.00343197112321666,0.08330800014588854,2.842170943040401e-14,0.01139380415927457,0.02793725470815002,-0.00594300607503699,2752,0.30533673582602905,635,253,-5.489289802126104,5.539941230335174,-0.9908570459318743,10,6.599236151457704,6.599236151457704,8220,0,589,0.013307037401045637,0,9013,,0.39986685898147123,,-0.08369374976139085,0.0,-754.3317665994157,-0.2541617400324133,1692,1h
short_only,숏만,False,every_tap,oos_warm,False,12,12,3031,0.4110854503464203,-0.06087177544855061,0.02755633082001998,0.03309861906694282,0.022281478498646656,0.009036519605704077,0.02647500867604075,1.7126025143232292e-05,-0.002480645603906953,0.08842810626857059,2.842170943040401e-14,0.010674335933447056,0.024028710177979508,-0.006279166666664499,941,0.31045859452325963,193,72,-1.2533004130969505,1.9378328214439178,-0.6467536307714571,10,63.9060542586696,63.9060542586696,2021,0,163,0.023071370833805446,0,3031,,0.4110854503464203,,-0.06087177544855061,0.0,-184.5023513845569,-0.25340117577396487,545,1h
short_only,숏만,False,every_tap,full,False,12,12,4393,0.3985886637832916,-0.0658537261263728,-0.0034515822567947867,0.024700518665714256,0.016411454647855688,0.006531937498020233,0.019752460556477742,1.7834583562107307e-05,-0.005012062082052009,0.06240214386957803,2.842170943040401e-14,0.01607920270593976,0.04032050386518502,-0.002884444444443295,1296,0.29501479626678806,307,104,-2.4490637293130386,2.6004048980785934,-0.9418009215113466,9,17.47850022271632,17.47850022271632,2202,0,306,0.018918498642854054,0,4393,,0.3985886637832916,,-0.0658537261263728,0.0,-289.2954188731557,-0.22196170031446646,1301,2h
short_only,숏만,False,every_tap,oos_warm,False,12,12,1439,0.40236275191104937,-0.06278568085576076,0.006141208579499565,0.026466428966557792,0.017879837054337232,0.007292037225997046,0.02112928407034712,5.444567448807325e-05,-0.0038951435564668346,0.0689268894352603,2.842170943040401e-14,0.014401493845916914,0.03524352887683597,-0.002503349282296392,419,0.29117442668519805,98,34,-0.7832082000129511,1.06312340212854,-0.7367048815263075,9,63.19665310895379,63.19665310895379,149,0,85,0.03312757690348345,0,1439,,0.40236275191104937,,-0.06278568085576076,0.0,-90.34859475143975,-0.248824146606988,404,2h
short_only,숏만,False,every_tap,full,False,12,12,2141,0.37225595516113963,-0.11377124979184723,-0.07082655128035409,0.018678088094039178,0.01201750986436967,0.004560439937009297,0.014896461100127403,5.348061034313477e-05,-0.00726128109439562,0.042944698511493004,2.842170943040401e-14,0.02287171140349089,0.054095341438299756,-0.0020910627627458798,593,0.2769733769266698,120,39,-2.3671674953889235,2.353844578668709,-1.0056600664465916,10,91.58410364960064,91.58410364960064,1642,0,153,0.026553693026348024,0,2141,,0.37225595516113963,,-0.11377124979184723,0.0,-243.58424580434493,-0.257528639839658,855,4h
short_only,숏만,False,every_tap,oos_warm,False,12,12,716,0.37988826815642457,-0.1020568645586274,-0.05466431046262297,0.01968026332021844,0.012573810629480067,0.004712638163484311,0.015592163785604239,0.00015991897590035133,-0.005326240778682843,0.04739255409600457,2.842170943040401e-14,0.02157330565826782,0.04781715176709578,-0.002945721406811682,196,0.2737430167597765,42,8,-0.6980220776026945,0.7530686574245957,-0.9269036371661598,9,0.25851916111792744,0.25851916111792744,0,0,42,0.04604719247055403,0,716,,0.37988826815642457,,-0.1020568645586274,0.0,-73.07271502397722,-0.2306110974324426,273,4h
both,롱+숏 한 지갑,False,every_tap,full,False,12,12,64766,0.40637062656332024,-0.11264609302998524,0.01593860697365724,0.0469115602686625,0.03161760888253564,0.012852794259386634,0.03752514025124203,3.387310095544514e-06,-0.00032579096827906463,0.12858470000364294,2.842170943040401e-14,0.006791992768229873,0.016103812679748496,-0.012227659574468874,20557,0.31740419355834854,6819,2804,-40.44369670298929,33.84977907917482,-1.1947994286282122,11,45.944555278032226,45.944555278032226,62410,0,3371,0.0050457684564311845,34827,29939,0.4055761334596721,0.4072948328267477,-0.11152018949059016,-0.11395581755540601,-3883.9136393887834,-3411.7232217913006,0.023838701631712363,2137,15m
both,롱+숏 한 지갑,False,every_tap,oos_warm,False,12,12,19933,0.4062108062007726,-0.1255634733535329,0.015566137523497966,0.05149751617092696,0.034739312103930844,0.014141302026533622,0.041186344926690065,1.100599637024211e-05,-0.00044587034742060716,0.1411296108770313,2.842170943040401e-14,0.006006852951435427,0.01323922977009986,-0.014275052410896891,6400,0.3210756032709577,1858,776,-13.514187999642536,12.30696996014572,-1.098092222814081,9,26.15552889806126,26.15552889806126,18242,0,660,0.009130793193442389,10550,9383,0.40777251184834123,0.4044548651817116,-0.11939397733066714,-0.13250029345810968,-1259.6064608385384,-1243.250253517443,0.02850745760796644,713,15m
both,롱+숏 한 지갑,False,every_tap,full,False,12,12,18501,0.4004107886060213,-0.08031528594801707,0.0009625695957007173,0.03012382443268637,0.020137864605304073,0.008088959252774697,0.024095050482902315,3.7815183774266215e-06,-0.0011716247483274406,0.08127785554371786,2.842170943040401e-14,0.012238704786764509,0.029848972531679552,-0.005877037037035795,5593,0.30230798335225123,1845,708,-11.172534086423022,10.335060657438223,-1.0810322703217095,10,92.30323546126581,92.30323546126581,17092,0,1271,0.009270341759202938,9899,8602,0.40155571269825235,0.3990932341315973,-0.0761321970998034,-0.08512909628380742,-753.6326190909539,-732.2804862333114,-0.006096295921442647,2076,1h
both,롱+숏 한 지갑,False,every_tap,oos_warm,False,12,12,5881,0.40265261010032305,-0.08323152724697096,0.006428923667753516,0.03329180527760231,0.0222551062487632,0.008935281332846028,0.026621250753757954,1.1896254293618419e-05,-0.00145488895253869,0.08966045091472426,2.842170943040401e-14,0.010949194114816175,0.025213888735573203,-0.006164771151179268,1813,0.30828090460805985,491,182,-3.2724060979134006,3.439503074528798,-0.9514182796192764,10,21.72407353665863,21.72407353665863,4331,0,342,0.01650635276787044,3001,2880,0.39653448850383205,0.40902777777777777,-0.0996486520509408,-0.06612465518561127,-299.04560480487334,-190.43900693456047,0.0675170072185512,696,1h
both,롱+숏 한 지갑,False,every_tap,full,False,12,12,9220,0.4027114967462039,-0.05297821429312879,0.006929371837236479,0.02237965134323827,0.015174689570159034,0.0062251547250546345,0.01789444988245688,9.166494893053384e-06,-0.0017755258854365006,0.059907586130365294,2.842170943040401e-14,0.01786916847778996,0.04390984095974759,-0.003681353393424874,2709,0.2938177874186551,949,330,-4.27307606577642,4.0941058001263375,-1.0437141281606743,10,202.54527943269454,202.54527943269454,6116,0,678,0.01304392784829959,5068,4152,0.40666929755327547,0.3978805394990366,-0.04144266283274372,-0.06705869955354114,-210.03141523634517,-278.42772054630285,-0.011932165024195173,1854,2h
both,롱+숏 한 지갑,False,every_tap,oos_warm,False,12,12,3052,0.40006553079947577,-0.0669666083706316,0.0006188756026605127,0.025138522970917922,0.017190839180867355,0.007134592142567656,0.02008263786753092,2.7691704755554455e-05,-0.0019887998933471873,0.06758548397329225,2.842170943040401e-14,0.015177469328625601,0.03580065248826453,-0.00397888888888859,907,0.2971821756225426,298,103,-1.8482582325131247,2.0226346470247885,-0.913787487637392,10,25.08598002129231,25.08598002129231,2140,0,206,0.022683816132400055,1664,1388,0.3984375,0.4020172910662824,-0.07037494307409747,-0.06288053564255741,-117.10390527529819,-87.2781834718697,0.017923410716622946,613,2h
both,롱+숏 한 지갑,False,every_tap,full,False,12,12,4527,0.39120830572122817,-0.0651720880809328,-0.022497317379838736,0.016626593373638678,0.011219548565828416,0.004577810440441277,0.013275028687759184,2.6322189755877803e-05,-0.0030505325563292187,0.04267477070109419,2.842170943040401e-14,0.024919065966034083,0.0597399508080551,-0.0026654499922992045,1303,0.28782858405124806,411,136,-2.889994877823848,2.9125187733803357,-0.9922665234770844,10,42.31698398735808,42.31698398735808,2903,0,343,0.01840308663911817,2496,2031,0.4078525641025641,0.3707533234859675,-0.02241686798518747,-0.11771616949845161,-55.95250249102793,-239.08154025135522,-0.07912833674303935,1336,4h
both,롱+숏 한 지갑,False,every_tap,oos_warm,False,12,12,1524,0.3838582677165354,-0.09071036531155147,-0.04189327806990159,0.01925030681336039,0.012508325218235928,0.004810096710319239,0.015321550735264812,7.81893392551567e-05,-0.0031513815747858604,0.04881708724164962,2.842170943040401e-14,0.021890159560444794,0.048030531325445,-0.0038987372074927923,449,0.2946194225721785,123,40,-1.2429848624552093,1.3934392809865754,-0.8920265700957977,9,22.25289830689321,22.25289830689321,628,0,104,0.0316510474856234,828,696,0.38768115942028986,0.3793103448275862,-0.07972404989883809,-0.10378029226805453,-66.01151331623794,-72.23108341856596,0.007411713057136624,450,4h
