lens,scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold,num_seeds
baseline,2h,long_only,2026-05,0.08419430156827667,23482.14904547494,23.0,-0.05804685901370987,1
baseline,2h,long_only,2026-06,0.047004465677777274,24585.914914323417,31.0,-0.17909835204471114,1
baseline,2h,long_only,2026-07,-0.000319408006140276,24578.0619762615,9.0,0.10350569003793342,1
baseline,2h,long_short,2024-08,0.016421652215483862,10164.216522154838,16.0,-0.09776683825994315,1
baseline,2h,long_short,2024-09,0.07822121515674652,10959.27388963407,41.0,0.10548630040109597,1
baseline,2h,long_short,2024-10,0.15899397133359017,12701.732368279514,39.0,0.15705170393966106,1
baseline,2h,long_short,2024-11,0.19330504517914915,15157.041317583245,49.0,0.388220820053097,1
baseline,2h,long_short,2024-12,0.2360405813212012,18734.71816129506,28.0,-0.03820692108474688,1
baseline,2h,long_short,2025-01,-0.08417743518217147,17157.677637616394,29.0,0.08245639447287978,1
baseline,2h,long_short,2025-02,-0.03557326518680415,16547.323021023767,24.0,-0.16206179500534768,1
baseline,2h,long_short,2025-03,0.12745882033231748,18656.425292941258,33.0,-0.0405800875968082,1
baseline,2h,long_short,2025-04,0.09088223847366383,20351.96298548044,37.0,0.10578130635366878,1
baseline,2h,long_short,2025-05,0.0737215751024658,21852.341753197143,46.0,0.08422653030958283,1
baseline,2h,long_short,2025-06,0.029770446443584397,22502.895723027603,37.0,0.014245624071230978,1
baseline,2h,long_short,2025-07,0.012900568679953484,22793.195874800353,24.0,0.09522529319496131,1
baseline,2h,long_short,2025-08,0.14378897364682097,26070.60611576885,32.0,-0.044473565232134304,1
baseline,2h,long_short,2025-09,0.09160028226998929,28458.680994922983,31.0,0.043969157754659705,1
baseline,2h,long_short,2025-10,0.10405275078909715,31419.885036274118,18.0,-0.07587446563713596,1
baseline,2h,long_short,2025-11,-0.03685831092195613,30261.80114447501,25.0,-0.17925581023415404,1
baseline,2h,long_short,2025-12,0.013558765955571594,30672.11382358699,11.0,0.01584618096139212,1
baseline,2h,long_short,2026-01,-0.008685188796875964,30405.72072422987,34.0,-0.11366216216216218,1
baseline,2h,long_short,2026-02,0.04400000004566951,31743.5724374846,35.0,-0.12991297452928896,1
baseline,2h,long_short,2026-03,0.023962887808126165,32504.24010243317,27.0,0.03789353612167301,1
baseline,2h,long_short,2026-04,0.09970858944239946,35745.19203394386,13.0,0.1207126229134996,1
baseline,2h,long_short,2026-05,0.11305873551485202,39786.49824603711,41.0,-0.05804685901370987,1
baseline,2h,long_short,2026-06,0.0020557547260653397,39868.28952783999,37.0,-0.17909835204471114,1
baseline,2h,long_short,2026-07,0.002659528406803613,39974.32037636995,19.0,0.10350569003793342,1
baseline,4h,long_only,2024-08,0.05187577837543733,10518.757783754374,4.0,-0.09776683825994315,1
baseline,4h,long_only,2024-09,0.021186979722185972,10741.618491621364,2.0,0.10548630040109597,1
baseline,4h,long_only,2024-10,-0.011630800981206169,10616.684864729272,11.0,0.15705170393966106,1
baseline,4h,long_only,2024-11,0.051455235829843904,11162.968888175052,5.0,0.388220820053097,1
baseline,4h,long_only,2024-12,0.07769962054354629,12030.327334925665,7.0,-0.03820692108474688,1
baseline,4h,long_only,2025-01,-0.00033308936896314645,12026.320160785255,7.0,0.08245639447287978,1
baseline,4h,long_only,2025-02,-0.008272994825361146,11926.826476326942,8.0,-0.16206179500534768,1
baseline,4h,long_only,2025-03,0.05209420961466349,12548.145074822436,14.0,-0.0405800875968082,1
baseline,4h,long_only,2025-04,0.12873400400895307,14163.518033189552,12.0,0.10578130635366878,1
baseline,4h,long_only,2025-05,0.046394606369631664,14820.628877148562,8.0,0.08422653030958283,1
baseline,4h,long_only,2025-06,0.0910581560135062,16170.168013662229,17.0,0.014245624071230978,1
baseline,4h,long_only,2025-07,0.02245000488319171,16533.188364530975,5.0,0.09522529319496131,1
baseline,4h,long_only,2025-08,0.028482199666875374,17004.089936659606,9.0,-0.044473565232134304,1
baseline,4h,long_only,2025-09,-0.015039849327919685,16748.35098605385,4.0,0.043969157754659705,1
baseline,4h,long_only,2025-10,0.01497817324466788,16999.21068868547,8.0,-0.07587446563713596,1
baseline,4h,long_only,2025-11,-0.005222707094361456,16910.428790423128,9.0,-0.17925581023415404,1
baseline,4h,long_only,2025-12,-0.0022404386303020996,16872.542012506092,3.0,0.01584618096139212,1
baseline,4h,long_only,2026-01,0.06652520006398466,17994.991245476045,13.0,-0.11366216216216218,1
baseline,4h,long_only,2026-02,0.07695514718526297,19379.79844536917,18.0,-0.12991297452928896,1
baseline,4h,long_only,2026-03,0.005008642929487994,19476.86493582747,15.0,0.03789353612167301,1
