symbol,timeframe,segment,fill,seed,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count
SOL/USDT:USDT,15m,oos,pen_5bp,0,0.0846374743471084,341,341,0,821,-0.07284751441845115,-0.21827167974171216,0.1175463230718664,0.04,200,0
SOL/USDT:USDT,1h,is,baseline,0,0.22582879998250538,193,193,0,418,0.08307954443561952,-0.09155096690191494,0.2600853441198178,0.065,200,0
SOL/USDT:USDT,1h,is,pen_5bp,0,0.1623579163407303,183,183,0,415,0.07642813430457596,-0.09807564245606663,0.2246082214497588,0.16,200,0
SOL/USDT:USDT,1h,oos,baseline,0,0.0030539969148150703,76,76,0,207,-0.015548365449557112,-0.11967497611558883,0.1322013837249817,0.36,200,0
SOL/USDT:USDT,1h,oos,pen_5bp,0,-0.01908716690315923,73,73,0,205,-0.024956280618032976,-0.12270892053349162,0.07982139192827944,0.43,200,0
BNB/USDT:USDT,15m,is,baseline,0,0.06760610368099533,558,558,0,1554,-0.20005739981389414,-0.35228508061623226,-0.01554434533159656,0.0,200,0
BNB/USDT:USDT,15m,is,pen_5bp,0,-0.033167512780599824,533,533,0,1484,-0.22548937118760043,-0.3853575088953428,-0.02439671065649145,0.035,200,0
BNB/USDT:USDT,15m,oos,baseline,0,-0.1719627838310591,271,271,0,804,-0.26072886539277423,-0.37870711090425985,-0.15928921709253901,0.05,200,0
BNB/USDT:USDT,15m,oos,pen_5bp,0,-0.18066755152265376,258,258,0,761,-0.26365330482304244,-0.37739611385213184,-0.15577235805905257,0.045,200,0
BNB/USDT:USDT,1h,is,baseline,0,0.16689587371515663,146,146,0,407,0.04512293838844275,-0.0960144878559955,0.17907871028909794,0.065,200,0
BNB/USDT:USDT,1h,is,pen_5bp,0,0.14305916899415133,141,141,0,402,0.04738472647280201,-0.09525718634855403,0.2306068662933616,0.09,200,0
BNB/USDT:USDT,1h,oos,baseline,0,-0.010560499698858803,96,96,0,195,-0.08026518806419641,-0.16761205119486658,0.02092186337526364,0.08,200,0
BNB/USDT:USDT,1h,oos,pen_5bp,0,-0.0387642130066275,91,91,0,191,-0.08326069767925284,-0.16930815256620443,0.0038318232187744797,0.205,200,0
XRP/USDT:USDT,15m,is,baseline,0,0.3524244479989251,634,634,0,1613,-0.162620673938788,-0.3593850012239085,0.08339731730033872,0.0,200,0
XRP/USDT:USDT,15m,is,pen_5bp,0,0.175492444166512,605,605,0,1535,-0.22920747207087636,-0.3835570109679702,-0.036178203086911345,0.0,200,0
XRP/USDT:USDT,15m,oos,baseline,0,-0.030573320851364952,333,333,0,886,-0.08980893321667953,-0.22440808127829104,0.0499147966648261,0.235,200,0
XRP/USDT:USDT,15m,oos,pen_5bp,0,-0.13974524292278892,311,311,0,852,-0.12151690005095257,-0.2801162089590688,0.012566750405833046,0.57,200,0
XRP/USDT:USDT,1h,is,baseline,0,0.44591189391961017,190,190,0,415,0.1533664917351962,-0.04679042678072474,0.3714404039707559,0.005,200,0
XRP/USDT:USDT,1h,is,pen_5bp,0,0.3699400490630718,180,180,0,408,0.11696869393969975,-0.07903951582537229,0.30802497665591017,0.01,200,0
XRP/USDT:USDT,1h,oos,baseline,0,-0.07071990778571689,73,73,0,184,-0.01474295800883965,-0.12246843632771251,0.08287767849827941,0.88,200,0
XRP/USDT:USDT,1h,oos,pen_5bp,0,-0.12250667944042053,68,68,0,178,-0.05177276073026321,-0.14610696048739374,0.048734788734428366,0.92,200,0
TRX/USDT:USDT,15m,is,baseline,0,-0.2314990181537166,367,367,0,1422,-0.1829179426375032,-0.2884638188521683,-0.07666836424166194,0.765,200,0
TRX/USDT:USDT,15m,is,pen_5bp,0,-0.30518286339695244,348,348,0,1295,-0.2231437428187265,-0.32867858206542117,-0.0953790201515072,0.92,200,0
TRX/USDT:USDT,15m,oos,baseline,0,-0.12008192180953665,125,125,0,763,-0.054378338756032124,-0.12731086251909182,0.012229382296277071,0.97,200,0
TRX/USDT:USDT,15m,oos,pen_5bp,0,-0.14339500971224553,113,113,0,679,-0.051369075427591664,-0.10736963355243752,0.007553406064808223,1.0,200,0
TRX/USDT:USDT,1h,is,baseline,0,0.07280995016954293,138,138,0,341,0.04368935133443399,-0.05010476743119816,0.15857854047242873,0.285,200,0
TRX/USDT:USDT,1h,is,pen_5bp,0,0.029591305090257265,132,132,0,322,0.00852050070354187,-0.11538695403268011,0.10554854497492451,0.355,200,0
