symbol,timeframe,support_n,segment,zones_switched,short_fills,wins,stops,unclosed,collapse_r_sum,stop_r_sum,net_r_sum,net_pp_sum,funding_coverage_gap
LINK/USDT:USDT,4h,2,is,1,4,0,4,0,0.0,-4.0,-4.05867774929006,-32.42995349108591,True
LINK/USDT:USDT,4h,2,oos_warm,1,1,0,1,0,0.0,-1.0,-1.0520377446327651,-2.2634092719095538,True
LINK/USDT:USDT,4h,2,oos,1,1,0,1,0,0.0,-1.0,-1.0520377446327651,-2.2634092719095538,True
LINK/USDT:USDT,4h,3,full,1,2,0,2,0,0.0,-2.0,-2.02933887464503,-16.214976745542955,True
LINK/USDT:USDT,4h,3,is,1,2,0,2,0,0.0,-2.0,-2.02933887464503,-16.214976745542955,True
LINK/USDT:USDT,4h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,True
LINK/USDT:USDT,4h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,True
LTC/USDT:USDT,4h,0,full,22,46,13,33,0,19.500000000000043,-33.0,-15.831943621161017,-37.00288654367629,True
LTC/USDT:USDT,4h,0,is,12,23,7,16,0,10.500000000000025,-16.0,-6.567731023641677,-18.31077546810139,True
LTC/USDT:USDT,4h,0,oos_warm,10,23,6,17,0,9.000000000000016,-17.0,-9.26421259751934,-18.692111075574903,True
LTC/USDT:USDT,4h,0,oos,10,23,6,17,0,9.000000000000016,-17.0,-9.26421259751934,-18.692111075574903,True
LTC/USDT:USDT,4h,1,full,8,18,5,13,0,7.500000000000013,-13.0,-6.4160919917613475,-7.658765479241572,True
LTC/USDT:USDT,4h,1,is,4,7,3,4,0,4.500000000000013,-4.0,0.1152370268875713,6.300040604607318,True
LTC/USDT:USDT,4h,1,oos_warm,4,11,2,9,0,3.0,-9.0,-6.531329018648919,-13.958806083848888,True
LTC/USDT:USDT,4h,1,oos,4,11,2,9,0,3.0,-9.0,-6.531329018648919,-13.958806083848888,True
LTC/USDT:USDT,4h,2,full,5,9,3,6,0,4.500000000000006,-6.0,-1.954607989835609,-3.194503442308476,True
LTC/USDT:USDT,4h,2,is,1,2,1,1,0,1.5000000000000062,-1.0,0.3724475206896653,0.6402476644932067,True
LTC/USDT:USDT,4h,2,oos_warm,4,7,2,5,0,3.0,-5.0,-2.327055510525275,-3.834751106801683,True
LTC/USDT:USDT,4h,2,oos,4,7,2,5,0,3.0,-5.0,-2.327055510525275,-3.834751106801683,True
LTC/USDT:USDT,4h,3,full,1,1,0,1,0,0.0,-1.0,-1.0649927021276606,-1.8281467129291424,True
LTC/USDT:USDT,4h,3,is,0,0,0,0,0,0.0,0.0,0.0,0.0,True
LTC/USDT:USDT,4h,3,oos_warm,1,1,0,1,0,0.0,-1.0,-1.0649927021276606,-1.8281467129291424,True
LTC/USDT:USDT,4h,3,oos,1,1,0,1,0,0.0,-1.0,-1.0649927021276606,-1.8281467129291424,True
BTC/USDT:USDT,2h,0,full,48,87,25,62,0,37.500000000000014,-62.0,-33.52381623578053,-59.667573249594724,False
BTC/USDT:USDT,2h,0,is,30,54,14,40,0,21.00000000000001,-40.0,-23.272408149473673,-49.82788784104029,False
BTC/USDT:USDT,2h,0,oos_warm,18,33,11,22,0,16.500000000000014,-22.0,-10.251408086306858,-9.83968540855447,False
BTC/USDT:USDT,2h,0,oos,18,33,11,22,0,16.500000000000014,-22.0,-10.251408086306858,-9.83968540855447,False
BTC/USDT:USDT,2h,1,full,19,31,9,22,0,13.500000000000002,-22.0,-11.489039208354239,-28.257574680281863,False
BTC/USDT:USDT,2h,1,is,14,21,5,16,0,7.5,-16.0,-9.880762401896856,-27.546935292422603,False
BTC/USDT:USDT,2h,1,oos_warm,5,10,4,6,0,6.000000000000002,-6.0,-1.6082768064573845,-0.7106393878592518,False
BTC/USDT:USDT,2h,1,oos,5,10,4,6,0,6.000000000000002,-6.0,-1.6082768064573845,-0.7106393878592518,False
BTC/USDT:USDT,2h,2,full,6,7,4,3,0,6.000000000000002,-3.0,2.4046006885387934,1.8465231193896032,False
BTC/USDT:USDT,2h,2,is,4,5,2,3,0,3.0,-3.0,-0.23033288184221035,0.1991620839153614,False
BTC/USDT:USDT,2h,2,oos_warm,2,2,2,0,0,3.0000000000000018,0.0,2.634933570381004,1.6473610354742418,False
BTC/USDT:USDT,2h,2,oos,2,2,2,0,0,3.0000000000000018,0.0,2.634933570381004,1.6473610354742418,False
BTC/USDT:USDT,2h,3,full,1,1,0,1,0,0.0,-1.0,-1.0708273224914826,-1.6306861347544974,False
BTC/USDT:USDT,2h,3,is,1,1,0,1,0,0.0,-1.0,-1.0708273224914826,-1.6306861347544974,False
BTC/USDT:USDT,2h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BTC/USDT:USDT,2h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BTC/USDT:USDT,1h,0,full,102,198,53,145,0,79.50000000000001,-145.0,-92.62932198111397,-86.61257551235565,False
BTC/USDT:USDT,1h,0,is,70,136,38,98,0,57.00000000000002,-98.0,-56.784225288652145,-64.34954107994909,False
BTC/USDT:USDT,1h,0,oos_warm,32,62,15,47,0,22.499999999999982,-47.0,-35.845096692461816,-22.263034432406613,False
BTC/USDT:USDT,1h,0,oos,32,62,15,47,0,22.499999999999982,-47.0,-35.845096692461816,-22.263034432406613,False
BTC/USDT:USDT,1h,1,full,35,72,18,54,0,26.999999999999975,-54.0,-36.065113681784695,-38.11089971984889,False
BTC/USDT:USDT,1h,1,is,23,46,10,36,0,15.000000000000002,-36.0,-25.320750150701457,-33.20542954540034,False
BTC/USDT:USDT,1h,1,oos_warm,12,26,8,18,0,11.999999999999975,-18.0,-10.74436353108322,-4.905470174448563,False
BTC/USDT:USDT,1h,1,oos,12,26,8,18,0,11.999999999999975,-18.0,-10.74436353108322,-4.905470174448563,False
BTC/USDT:USDT,1h,2,full,14,24,7,17,0,10.5,-17.0,-10.043606056645444,-11.641470127449887,False
BTC/USDT:USDT,1h,2,is,8,13,3,10,0,4.5,-10.0,-6.847912626083301,-10.456067540080026,False
BTC/USDT:USDT,1h,2,oos_warm,6,11,4,7,0,6.0,-7.0,-3.1956934305621445,-1.1854025873698597,False
BTC/USDT:USDT,1h,2,oos,6,11,4,7,0,6.0,-7.0,-3.1956934305621445,-1.1854025873698597,False
BTC/USDT:USDT,1h,3,full,4,5,3,2,0,4.5,-2.0,1.5035801969877076,1.0819385973600346,False
BTC/USDT:USDT,1h,3,is,1,1,1,0,0,1.5,0.0,1.316731636497795,0.7312756229099604,False
BTC/USDT:USDT,1h,3,oos_warm,3,4,2,2,0,3.0,-2.0,0.1868485604899126,0.3506629744500742,False
BTC/USDT:USDT,1h,3,oos,3,4,2,2,0,3.0,-2.0,0.1868485604899126,0.3506629744500742,False
ETH/USDT:USDT,2h,0,full,57,96,33,63,0,49.49999999999999,-63.0,-19.927556965879777,-51.00209333075975,False
ETH/USDT:USDT,2h,0,is,33,59,16,43,0,24.000000000000004,-43.0,-22.521801846868037,-49.64140844339694,False
ETH/USDT:USDT,2h,0,oos_warm,24,37,17,20,0,25.500000000000004,-20.0,2.59424488098825,-1.3606848873628157,False
ETH/USDT:USDT,2h,0,oos,22,35,16,19,0,23.999999999999996,-19.0,2.2480141653619183,-4.688970638546534,False
ETH/USDT:USDT,2h,1,full,20,31,10,21,0,14.999999999999991,-21.0,-8.352286317254284,-22.229377663841415,False
ETH/USDT:USDT,2h,1,is,11,17,4,13,0,6.0,-13.0,-8.126986547709922,-19.340420408241755,False
ETH/USDT:USDT,2h,1,oos_warm,9,14,6,8,0,8.999999999999991,-8.0,-0.22529976954436237,-2.8889572555996574,False
ETH/USDT:USDT,2h,1,oos,8,13,6,7,0,8.999999999999991,-7.0,0.891531018873426,-1.8290668071968808,False
ETH/USDT:USDT,2h,2,full,5,7,2,5,0,3.0,-5.0,-2.6002831899905243,-3.1519678712161325,False
ETH/USDT:USDT,2h,2,is,4,5,1,4,0,1.5,-4.0,-2.9524992451629544,-3.631510857131647,False
ETH/USDT:USDT,2h,2,oos_warm,1,2,1,1,0,1.5,-1.0,0.3522160551724298,0.4795429859155147,False
ETH/USDT:USDT,2h,2,oos,1,2,1,1,0,1.5,-1.0,0.3522160551724298,0.4795429859155147,False
ETH/USDT:USDT,2h,3,full,1,2,0,2,0,0.0,-2.0,-2.2666720868846983,-1.77675083946597,False
ETH/USDT:USDT,2h,3,is,1,2,0,2,0,0.0,-2.0,-2.2666720868846983,-1.77675083946597,False
ETH/USDT:USDT,2h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
ETH/USDT:USDT,2h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
ETH/USDT:USDT,1h,0,full,100,184,50,134,0,75.00000000000004,-134.0,-79.05534401960719,-94.81242090873495,False
ETH/USDT:USDT,1h,0,is,60,108,28,80,0,42.00000000000003,-80.0,-49.84666825079447,-57.5784250171894,False
