scope,leverage_mode,multiple,segment,month,monthly_return,equity_end,num_exits
1h,cap_only,5.0,full,2022-02,0.12733041264792377,100536.75039124077,42
1h,cap_only,5.0,full,2022-03,0.0885209488030465,109436.35892544847,18
1h,cap_only,5.0,full,2022-04,0.09779388377776432,120138.56549126549,29
1h,cap_only,5.0,full,2022-05,0.16113605358675143,139497.2198181015,41
1h,cap_only,5.0,full,2022-06,0.22441149686929363,170801.99972658654,66
1h,cap_only,5.0,full,2022-07,-0.0366648124164618,164539.57644625468,34
1h,cap_only,5.0,full,2022-08,0.1769445437253212,193653.95672529482,38
1h,cap_only,5.0,full,2022-09,-0.05619186093335593,182772.18051979292,35
1h,cap_only,5.0,full,2022-10,0.06076392126984742,193878.13490721595,25
1h,cap_only,5.0,full,2022-11,0.3592893243952293,263536.4790130367,39
1h,cap_only,5.0,full,2022-12,0.039931703500634574,274059.9395545865,22
1h,cap_only,5.0,full,2023-01,0.2091255830381129,331372.8842013294,21
1h,cap_only,5.0,full,2023-02,0.015649412574944455,336558.67518234527,16
1h,cap_only,5.0,full,2023-03,0.16549154839479163,392256.2914639713,39
1h,cap_only,5.0,full,2023-04,0.21790714973408942,477731.7419021496,29
1h,cap_only,5.0,full,2023-05,0.039139416004671856,496429.8832870943,8
1h,cap_only,5.0,full,2023-06,0.13075916340019877,561342.639512573,29
1h,cap_only,5.0,full,2023-07,-0.001149826870187276,560697.1926622796,15
1h,cap_only,5.0,full,2023-08,0.04536300664082171,586132.1031365086,17
1h,cap_only,5.0,full,2023-09,0.06222240211264496,622602.6505489987,44
1h,cap_only,5.0,full,2023-10,0.11916947951065304,696797.8843568759,21
1h,cap_only,5.0,full,2023-11,0.05392019480714172,734369.3620226028,25
1h,cap_only,5.0,full,2023-12,0.08194625840786429,794548.1835297254,8
1h,cap_only,5.0,full,2024-01,0.011377391086139665,803588.068950525,15
1h,cap_only,5.0,full,2024-02,0.07997021297578555,867851.1779692987,16
1h,cap_only,5.0,full,2024-03,0.10572037853603522,959600.7330171571,19
1h,cap_only,5.0,full,2024-04,0.1809614697462847,1133251.492033554,44
1h,cap_only,5.0,full,2024-05,0.25714010383110275,1424655.8983618142,37
1h,cap_only,5.0,full,2024-06,-0.0342418509169905,1375873.0434820978,25
1h,cap_only,5.0,full,2024-07,0.0947525990053324,1506240.5902534032,31
1h,cap_only,5.0,full,2024-08,0.019660311065701208,1535853.7487975706,40
1h,cap_only,5.0,full,2024-09,0.017755145635838687,1563123.05578282,21
1h,cap_only,5.0,full,2024-10,0.15193976002926157,1800623.597774668,47
1h,cap_only,5.0,full,2024-11,0.2577463085978762,2264727.6832753154,40
1h,cap_only,5.0,full,2024-12,0.04423546944533285,2364908.9755108403,42
1h,cap_only,5.0,full,2025-01,0.05332103132016841,2491008.361063401,30
1h,cap_only,5.0,full,2025-02,0.12447287305199972,2801071.328561516,46
1h,cap_only,5.0,full,2025-03,0.02565787156904764,2872940.856965489,41
1h,cap_only,5.0,full,2025-04,0.0837408216611395,3113523.2849116377,32
1h,cap_only,5.0,full,2025-05,0.10564636200875843,3442455.692992111,24
1h,cap_only,5.0,full,2025-06,0.03502335509498189,3563022.0411265157,34
1h,cap_only,5.0,full,2025-07,0.0862311074955957,3870265.377764073,26
1h,cap_only,5.0,full,2025-08,0.03402390844557779,4001946.932637207,26
1h,cap_only,5.0,full,2025-09,0.08201818804179895,4330179.368691546,37
1h,cap_only,5.0,full,2025-10,0.04558063006671631,4527551.672618402,38
1h,cap_only,5.0,full,2025-11,0.0127453055786797,4585256.702209186,26
1h,cap_only,5.0,full,2025-12,-0.017929034282594514,4503047.477600781,21
1h,cap_only,5.0,full,2026-01,0.028969461992577106,4633498.340353907,35
1h,cap_only,5.0,full,2026-02,0.031173089578217184,4777938.79917828,31
1h,cap_only,5.0,full,2026-03,0.060218112132220725,5065657.253548086,23
1h,cap_only,5.0,full,2026-04,-0.008325814255322972,5023481.532173915,29
1h,cap_only,5.0,full,2026-05,0.057826487738003474,5313971.8253962565,33
1h,cap_only,5.0,full,2026-06,0.18799554451592826,6312974.852253927,45
1h,cap_only,5.0,full,2026-07,0.01819768379494513,6427856.372420684,22
1h,combined,1.0,is,2020-09,0.020233059224060712,10202.330592240607,3
1h,combined,1.0,is,2020-10,0.05173673209660068,10730.165836852313,26
1h,combined,1.0,is,2020-11,0.03018861413460172,11054.094672901334,13
1h,combined,1.0,is,2020-12,0.19079522917203118,13163.163199306873,30
1h,combined,1.0,is,2021-01,0.23323794364529493,16233.31231578063,39
1h,combined,1.0,is,2021-02,0.14496893753029294,18586.638354796767,22
1h,combined,1.0,is,2021-03,0.09690187363135738,20387.718435885025,31
1h,combined,1.0,is,2021-04,0.08843213315654963,22190.647867365453,27
1h,combined,1.0,is,2021-05,0.2576264958039918,27907.54671705514,50
1h,combined,1.0,is,2021-06,0.11874320802770888,31221.378342421423,39
1h,combined,1.0,is,2021-07,0.0877361593271524,33960.622167085414,24
1h,combined,1.0,is,2021-08,0.19730928434938,40661.368222932724,47
1h,combined,1.0,is,2021-09,0.263676363698899,51382.80993897759,37
1h,combined,1.0,is,2021-10,0.0821512780511191,55603.97344532234,31
1h,combined,1.0,is,2021-11,0.07500291879063226,59774.43375007832,31
1h,combined,1.0,is,2021-12,0.0573607837820993,63203.14212011399,38
1h,combined,1.0,is,2022-01,0.09997580574152876,69521.92717896873,44
1h,combined,1.0,is,2022-02,0.02359624306702357,71162.38347117159,35
1h,combined,1.0,is,2022-03,0.0642656726562798,75735.68191277055,16
1h,combined,1.0,is,2022-04,0.015946770782869324,76943.4214723178,22
1h,combined,1.0,is,2022-05,0.17131268881732598,90124.80589154534,40
1h,combined,1.0,is,2022-06,0.14208949014619088,102930.59361019944,59
1h,combined,1.0,is,2022-07,0.007106974108466613,103662.11867395624,30
1h,combined,1.0,is,2022-08,0.05368591113683663,109227.31396534246,31
1h,combined,1.0,is,2022-09,-0.0019251450807006298,109017.03553918394,30
1h,combined,1.0,is,2022-10,0.05687494385895153,115217.37331514436,22
