arm,symbol,timeframe,width_label,width_threshold,guard,total_taps,surviving_taps,survival_share,adopted_point,below_sample_gate
proximal,BTC/USDT:USDT,1h,off,,0.004,1741,1605,0.9218839747271683,False,False
proximal,BTC/USDT:USDT,1h,off,,0.005,1741,1518,0.8719126938541069,False,False
proximal,BTC/USDT:USDT,1h,2.60,2.6,0.0,1741,1466,0.8420448018380241,False,False
proximal,BTC/USDT:USDT,1h,2.60,2.6,0.002,1741,1459,0.8380241240666284,False,False
proximal,BTC/USDT:USDT,1h,2.60,2.6,0.0025,1741,1445,0.8299827685238369,False,False
proximal,BTC/USDT:USDT,1h,2.60,2.6,0.003,1741,1425,0.8184951177484204,False,False
proximal,BTC/USDT:USDT,1h,2.60,2.6,0.004,1741,1330,0.7639287765651924,False,False
proximal,BTC/USDT:USDT,1h,2.60,2.6,0.005,1741,1244,0.7145318782309018,False,False
proximal,BTC/USDT:USDT,1h,1.80,1.8,0.0,1741,1131,0.6496266513497989,False,False
proximal,BTC/USDT:USDT,1h,1.80,1.8,0.002,1741,1124,0.6456059735784032,False,False
proximal,BTC/USDT:USDT,1h,1.80,1.8,0.0025,1741,1110,0.6375646180356117,False,False
proximal,BTC/USDT:USDT,1h,1.80,1.8,0.003,1741,1090,0.6260769672601952,False,False
proximal,BTC/USDT:USDT,1h,1.80,1.8,0.004,1741,995,0.5715106260769672,False,False
proximal,BTC/USDT:USDT,1h,1.80,1.8,0.005,1741,911,0.5232624928202183,False,False
proximal,BTC/USDT:USDT,1h,1.55,1.55,0.0,1741,963,0.553130384836301,False,False
proximal,BTC/USDT:USDT,1h,1.55,1.55,0.002,1741,956,0.5491097070649053,False,False
proximal,BTC/USDT:USDT,1h,1.55,1.55,0.0025,1741,942,0.5410683515221137,False,False
proximal,BTC/USDT:USDT,1h,1.55,1.55,0.003,1741,923,0.5301550832854681,False,False
proximal,BTC/USDT:USDT,1h,1.55,1.55,0.004,1741,828,0.4755887421022401,False,False
proximal,BTC/USDT:USDT,1h,1.55,1.55,0.005,1741,745,0.4279149913842619,False,False
proximal,BTC/USDT:USDT,1h,1.28,1.28,0.0,1741,744,0.4273406088454911,False,False
proximal,BTC/USDT:USDT,1h,1.28,1.28,0.002,1741,737,0.4233199310740953,False,False
proximal,BTC/USDT:USDT,1h,1.28,1.28,0.0025,1741,723,0.4152785755313039,False,False
proximal,BTC/USDT:USDT,1h,1.28,1.28,0.003,1741,704,0.40436530729465825,True,False
proximal,BTC/USDT:USDT,1h,1.28,1.28,0.004,1741,612,0.35152211372774267,False,False
proximal,BTC/USDT:USDT,1h,1.28,1.28,0.005,1741,535,0.30729465824238944,False,False
proximal,BTC/USDT:USDT,1h,1.15,1.15,0.0,1741,616,0.35381964388282594,False,False
proximal,BTC/USDT:USDT,1h,1.15,1.15,0.002,1741,609,0.3497989661114302,False,False
proximal,BTC/USDT:USDT,1h,1.15,1.15,0.0025,1741,596,0.3423319931074095,False,False
proximal,BTC/USDT:USDT,1h,1.15,1.15,0.003,1741,577,0.3314187248707639,False,False
proximal,BTC/USDT:USDT,1h,1.15,1.15,0.004,1741,489,0.28087306145893165,False,False
proximal,BTC/USDT:USDT,1h,1.15,1.15,0.005,1741,417,0.2395175186674325,False,False
proximal,BTC/USDT:USDT,1h,1.00,1.0,0.0,1741,469,0.26938541068351524,False,False
proximal,BTC/USDT:USDT,1h,1.00,1.0,0.002,1741,463,0.2659391154508903,False,False
proximal,BTC/USDT:USDT,1h,1.00,1.0,0.0025,1741,452,0.25962090752441125,False,False
proximal,BTC/USDT:USDT,1h,1.00,1.0,0.003,1741,436,0.2504307869040781,False,False
proximal,BTC/USDT:USDT,1h,1.00,1.0,0.004,1741,359,0.20620333141872488,False,False
proximal,BTC/USDT:USDT,1h,1.00,1.0,0.005,1741,298,0.17116599655370476,False,False
proximal,BTC/USDT:USDT,1h,0.90,0.9,0.0,1741,376,0.21596783457782884,False,False
