symbol,timeframe,segment,direction,entry_point,stop_variant,rsi_gate,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,returned_n,returned_mean_net_r,never_n,never_mean_net_r,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,buy_hold
SOL/USDT:USDT,4h,oos_warm,short,B_open,ob,False,0.027907727651028107,27,0.10947545858267294,0.04533493592503996,23,-0.126621013552666,4,1.4670301733608722,432,2792,0.014611691700819803,-0.05759628626554877,0.07899038299055665,0.37,200,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,short,B_open,ob,True,0.0,0,,0.0,0,,0,,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,short,B_open,atr,False,0.05968767947423185,53,0.11698002627736902,0.08158011423319647,44,-0.0900551530390695,9,1.1291520140466242,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,short,B_open,atr,True,0.0,0,,0.0,0,,0,,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,A_close,ob,False,0.1569612120308222,37,0.4022187428619202,0.0495519077131977,32,0.23557919133277355,5,1.4687118726484585,848,2792,0.037715944621249387,-0.06959915745293874,0.13570286734398743,0.01,200,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,A_close,ob,True,0.0,0,,0.0,0,,0,,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,A_close,atr,False,0.07286855019235045,103,0.07577871052356572,0.1595626790353733,91,-0.04558704207905018,12,0.9961356677600689,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,A_close,atr,True,0.0,0,,0.0,0,,0,,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,B_open,ob,False,0.16436065648791828,37,0.4194048489351682,0.049545134122859595,31,0.262000113438665,6,1.2326626490004344,848,2792,0.04064202183861948,-0.06088090311629967,0.14720316101797415,0.01,200,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,B_open,ob,True,0.0,0,,0.0,0,,0,,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,B_open,atr,False,0.10295930057410169,105,0.10085657529392252,0.14519821739000233,93,-0.014773104461773314,12,0.9969865934005657,0,2792,,,,,0,,,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,both,B_open,atr,True,0.0,0,,0.0,0,,0,,0,2792,,,,,0,,,-0.5093534417644393
BNB/USDT:USDT,1h,is,long,A_close,ob,False,-0.04659813353824393,225,-0.018456727456030914,0.29422455558442645,212,-0.10403920847709013,13,1.3771960399643193,4006,7600,-0.025481925828258617,-0.23325363206286812,0.2069854777854891,0.56,200,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,A_close,ob,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,A_close,atr,False,-0.45550611483217934,480,-0.1462570305100728,0.5335563479547533,454,-0.19116908654789894,26,0.6379765633812043,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,A_close,atr,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,B_open,ob,False,-0.027750998954630266,230,-0.009331153159798732,0.30901164518130436,216,-0.09938847857662998,14,1.380124724699883,4006,7600,0.003210920705807462,-0.1823721764002692,0.27404396211094517,0.59,200,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,B_open,ob,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,B_open,atr,False,-0.46658937905149334,483,-0.14856287735492277,0.5388494029051545,457,-0.19319803695583745,26,0.6359858894765419,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,long,B_open,atr,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,A_close,ob,False,-0.33621353147191074,223,-0.17944174871441082,0.39000393971730185,220,-0.20129794031414805,3,1.4233456352663199,3590,7600,-0.08427834500108101,-0.2760112923328125,0.10552232455161957,1.0,200,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,A_close,ob,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,A_close,atr,False,-0.46452057369104033,438,-0.1518851937073946,0.5110503736798452,431,-0.1584402869111504,7,0.25172125926671435,0,7600,,,,,0,,,16.06886306615608
BNB/USDT:USDT,1h,is,short,A_close,atr,True,0.0,0,,0.0,0,,0,,0,7600,,,,,0,,,16.06886306615608
