scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point,exclude
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27675,0.4110569105691057,-0.99999995310878,-0.096967659728177,0.9999999743073054,14,0,0,1764,False,-LTC
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8702,0.4063433693403815,-0.9989737086654435,-0.1217828139558058,0.9992284094623884,11,0,0,340,False,-LTC
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27531,0.4050706476335767,-0.9999999980231072,-0.1136470143126592,0.9999999990796956,13,0,0,1760,False,-SOL
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8584,0.4009785647716682,-0.9995332306370396,-0.1358372928908548,0.9996580014101446,11,0,0,341,False,-SOL
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,28567,0.4077782056218714,-0.9999999961739124,-0.1047985336521364,0.9999999977969556,14,0,0,2041,False,-TRX
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,9194,0.4028714378942788,-0.9996420123357916,-0.1297424488578061,0.9997253232773482,11,0,0,570,False,-TRX
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27721,0.4078496446737131,-0.9999999938360166,-0.1052220217323487,0.9999999952141676,14,0,0,1757,False,-XRP
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8771,0.4038308060654429,-0.9993511289071346,-0.127829649570299,0.9995008385765892,11,0,0,340,False,-XRP
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,36,9,22269,0.4099869774125466,-0.9999992255053752,-0.1008583923999792,0.9999994374021838,12,0,0,1759,False,-new3
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,36,9,6991,0.4038048920040051,-0.9967992507893352,-0.1298519516910758,0.9975049818972064,10,0,0,335,False,-new3
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23446,0.4094088543888083,-0.9999996958576588,-0.1034450092943557,0.9999998127018777,12,0,0,1503,False,-ADA
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7441,0.4034403977959951,-0.9983663819488048,-0.1322523655830872,0.9988896311613602,10,0,0,295,False,-ADA
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23535,0.4104525175270873,-0.999999749982612,-0.1006015748911224,0.99999983633231,13,0,0,1500,False,-BCH
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,oos_warm,44,11,7427,0.4011040797091692,-0.9988714664437728,-0.137804372869697,0.9990621108962644,10,0,0,294,False,-BCH
15m+1h+2h+4h,bollinger,1.15,1.15,0.003,True,full,44,11,23923,0.4088952054508213,-0.9999998776629588,-0.1039087481768091,0.9999999340213348,12,0,0,1501,False,-BNB
