scope,arm,fill,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
4h,long_short,baseline,full,ETH,8,8,1039,0.5563041385948027,19.50542891657025,0.1025974329033892,190.11614973775727,6,0.06,0
4h,long_short,baseline,is,ETH,8,8,663,0.5822021116138764,9.872451471766365,0.0939123977967393,105.12404861745672,6,0.06,0
4h,long_short,baseline,oos_warm,ETH,8,8,376,0.5106382978723404,0.8859986609109143,0.1025974329033892,8.635680599778881,4,0.0401072341128049,0
4h,long_short,baseline,oos,ETH,8,8,337,0.4955489614243323,0.5486259926778195,0.1025974329033888,5.347365690859292,4,0.0401072341128049,0
4h,long_short,baseline,full,SOL,8,8,1042,0.5547024952015355,18.637061823636667,0.1063283702867962,175.27835490535114,6,0.06,0
4h,long_short,baseline,is,SOL,8,8,665,0.5759398496240602,8.69039464087493,0.1063283702867962,81.73166406514643,6,0.06,0
4h,long_short,baseline,oos_warm,SOL,8,8,377,0.5172413793103449,1.0264460376882685,0.0947819979920374,10.829546321385836,4,0.0401109562983323,0
4h,long_short,baseline,oos,SOL,8,8,333,0.4954954954954955,0.553502863271977,0.0938652310588585,5.896782621510844,4,0.0401109562983323,0
4h,long_short,baseline,full,DOGE,8,8,1073,0.5470643056849953,17.965183587759284,0.1087714091729101,165.16457517986788,6,0.06,0
4h,long_short,baseline,is,DOGE,8,8,680,0.5647058823529412,7.775088848346248,0.1087714091729101,71.48099769477528,6,0.06,0
4h,long_short,baseline,oos_warm,DOGE,8,8,393,0.5165394402035624,1.1612525998905996,0.1025148628763953,11.327651106461998,5,0.0453537529472806,0
4h,long_short,baseline,oos,DOGE,8,8,347,0.4956772334293948,0.6142970264510259,0.0929101225056847,6.611734113400183,5,0.0453537529472806,0
all,long_only,pen_5bp,full,,27,9,4274,0.587739822180627,19430.85303367833,0.135145615143353,143777.16223399056,12,0.1079015706927413,0
all,long_only,pen_5bp,is,,27,9,2785,0.6086175942549371,4270.00592860283,0.135145615143353,31595.59356826712,11,0.1079015706927413,0
all,long_only,pen_5bp,oos_warm,,27,9,1481,0.5469277515192438,18.82087102572836,0.1572490705686473,119.6882815120493,12,0.1138394063883439,0
all,long_only,pen_5bp,oos,,27,9,1414,0.536067892503536,11.256480057354311,0.1572490705686465,71.58376209568968,8,0.0803258843167777,0
all,long_only,pen_5bp,full,ETH,24,8,3781,0.5879396984924623,8807.592595133912,0.1234901205565059,71322.2446900421,12,0.1076040060240931,0
all,long_only,pen_5bp,is,ETH,24,8,2480,0.6149193548387096,3000.3271844383216,0.1234901205565059,24296.090820200057,11,0.1076040060240931,0
all,long_only,pen_5bp,oos_warm,ETH,24,8,1295,0.5351351351351351,8.992480847817124,0.1693408065205514,53.10285826898897,9,0.0891663887022035,0
all,long_only,pen_5bp,oos,ETH,24,8,1242,0.5241545893719807,5.663543455067472,0.1693408065205512,33.44464675370578,8,0.0757202809919194,0
all,long_only,pen_5bp,full,SOL,24,8,3705,0.5878542510121457,8850.36191009542,0.148971931108298,59409.59376878506,11,0.1079015706927413,0
all,long_only,pen_5bp,is,SOL,24,8,2418,0.6116625310173698,2185.06485682424,0.148971931108298,14667.627925395993,11,0.1079015706927413,0
all,long_only,pen_5bp,oos_warm,SOL,24,8,1283,0.5416991426344505,9.60130361979179,0.1613737788319496,59.49729683030063,11,0.1071125448224818,0
all,long_only,pen_5bp,oos,SOL,24,8,1242,0.5322061191626409,6.616067608134789,0.1613737788319501,40.99840541643736,8,0.0803258843167777,0
all,long_only,pen_5bp,full,DOGE,24,8,3820,0.5884816753926702,12127.12423270968,0.1343966815028248,90233.8070933305,11,0.107604006024093,0
