symbol,timeframe,version,side,total_return,max_drawdown,funding_coverage,num_trades,num_wins,win_rate,avg_r,num_tp_exits,avg_tp_distance_pct,sum_return_pct,realized_pnl,gross_profit,gross_loss,profit_factor
ETH/USDT:USDT,15m,before,long,-0.6951968188509218,0.6958086890255617,1.0,192.0,79.0,0.4114583333333333,-0.2766113621854583,95.0,0.006846968931896062,-0.6193523078850272,-2986.868051755785,2439.781474486119,5426.649526241906,0.44959260086503694
ETH/USDT:USDT,15m,before,short,-0.6951968188509218,0.6958086890255617,1.0,215.0,81.0,0.3767441860465116,-0.2985797174851477,88.0,0.006588604025036138,-0.7184687452130086,-3965.100136753427,2708.631981317074,6673.732118070505,0.40586465464846794
ETH/USDT:USDT,15m,after,long,-0.7606526004477265,0.7700096557226954,1.0,192.0,71.0,0.3697916666666667,-0.30020898381657396,73.0,0.011171408032096267,-0.788790457911455,-2820.435480006039,3077.6750141396546,5898.110494145692,0.521806944307753
ETH/USDT:USDT,15m,after,short,-0.7606526004477265,0.7700096557226954,1.0,215.0,61.0,0.2837209302325581,-0.386664666385993,61.0,0.011098714601010327,-0.9578256348506741,-4786.090524471236,2921.586045378309,7707.676569849542,0.37904886367531376
ETH/USDT:USDT,1h,before,long,-0.3318514909661403,0.35169852062465723,1.0,49.0,24.0,0.4897959183673469,-0.19397146668755766,24.0,0.01641809531389006,-0.31168637152955864,-925.6326003745905,1790.99917765291,2716.6317780275003,0.6592719676397674
ETH/USDT:USDT,1h,before,short,-0.3318514909661403,0.35169852062465723,1.0,64.0,22.0,0.34375,-0.4679316509581833,24.0,0.011344580466893761,-0.4571943404680674,-2392.882309286814,1367.0895436291296,3759.9718529159422,0.3635903663930146
ETH/USDT:USDT,1h,after,long,-0.41616573221742775,0.44349625511386187,1.0,49.0,16.0,0.32653061224489793,-0.31970664022140965,16.0,0.02510492334897527,-0.4973423018683174,-1426.7180782112803,1862.0188090735385,3288.736887284819,0.5661805346218562
ETH/USDT:USDT,1h,after,short,-0.41616573221742775,0.44349625511386187,1.0,64.0,16.0,0.25,-0.5778253252554201,16.0,0.020968005370583118,-0.5461650382718489,-2734.939243963001,1537.0344738925846,4271.973717855585,0.3597949274519728
ETH/USDT:USDT,2h,before,long,-0.23947009253609494,0.24586671431495719,1.0,26.0,8.0,0.3076923076923077,-0.6134772369827106,8.0,0.023666234928324346,-0.47132892581549685,-1457.4630655711162,628.9184900414432,2086.3815556125596,0.3014398245371726
ETH/USDT:USDT,2h,before,short,-0.23947009253609494,0.24586671431495719,1.0,35.0,14.0,0.4,-0.3125515645728181,16.0,0.0174412426998745,-0.1395024687672153,-937.2378597898255,1114.1231394489116,2051.3609992387364,0.5431141275779175
ETH/USDT:USDT,2h,after,long,-0.2688330963555594,0.27901002610299985,1.0,26.0,5.0,0.19230769230769232,-0.6893324555928515,5.0,0.03331996066683016,-0.607776888895503,-1583.6719257655102,715.298210481088,2298.9701362465976,0.3111385394718159
ETH/USDT:USDT,2h,after,short,-0.2688330963555594,0.27901002610299985,1.0,35.0,11.0,0.3142857142857143,-0.36306308626689293,11.0,0.03522631302045395,-0.16911345725984017,-1104.659037790081,1409.9275970174592,2514.58663480754,0.56069955097227
ETH/USDT:USDT,4h,before,long,-0.24521968311042328,0.24521968311042328,1.0,19.0,8.0,0.42105263157894735,-0.6194969229330486,8.0,0.04040314025749743,-0.18775583174039745,-1076.3169366828542,784.3357831547637,1860.6527198376177,0.42153797685750516
ETH/USDT:USDT,4h,before,short,-0.24521968311042328,0.24521968311042328,1.0,21.0,5.0,0.23809523809523808,-0.7497666733546493,6.0,0.02006750464520556,-0.37741537848638074,-1375.8798944213765,502.18103912958156,1878.0609335509582,0.26739336842499506
ETH/USDT:USDT,4h,after,long,-0.21433038627337256,0.21433038627337256,1.0,19.0,7.0,0.3684210526315789,-0.422689200505931,7.0,0.07297961977342715,-0.03131994785286295,-789.7706446717987,1236.5965006215,2026.3671452932986,0.6102529363910081
ETH/USDT:USDT,4h,after,short,-0.21433038627337256,0.21433038627337256,1.0,21.0,4.0,0.19047619047619047,-0.7228627740062823,4.0,0.0492286312060571,-0.3891179349309528,-1353.5332180619262,793.9756062589877,2147.508824320914,0.3697193684454633
ETH/USDT:USDT,1d,before,long,-0.08115688823834188,0.1003120579532925,1.0,6.0,3.0,0.5,-0.16335781995511123,3.0,0.07943327717076427,0.019321126687036644,-82.61720434614587,207.90865395236492,290.5258582985108,0.7156287401403768
ETH/USDT:USDT,1d,before,short,-0.08115688823834188,0.1003120579532925,1.0,6.0,0.0,0.0,-1.235241071131993,0.0,,-0.41747078562440343,-728.9516780372744,0.0,728.9516780372744,0.0
ETH/USDT:USDT,1d,after,long,-0.07621971238371007,0.08562168431952179,1.0,6.0,2.0,0.3333333333333333,-0.06849865818891816,2.0,0.2081213502463255,-0.003840003705554554,-36.36750877970002,370.79911722488464,407.1666260045846,0.9106815086084917
ETH/USDT:USDT,1d,after,short,-0.07621971238371007,0.08562168431952179,1.0,6.0,0.0,0.0,-1.2352410711319932,0.0,,-0.4174707856244035,-725.8296150574001,0.0,725.8296150574001,0.0
SOL/USDT:USDT,15m,before,long,-0.4983042610128842,0.5030259763978221,1.0,192.0,88.0,0.4583333333333333,-0.15444969317696663,93.0,0.011785317305504715,-0.22944970018338973,-2125.8658366512805,5123.73703046667,7249.602867117948,0.7067610632447777
